data_type,collector,purpose,text
Facebook,social media,,"Our website includes social media features, such as the Facebook ""Like"" button."
UNSPECIFIED_DATA,we,legal,"We will retain and use your information as necessary to comply with our legal obligations, resolve disputes, and enforce our agreements.
We will retain your information for as long as your account is active or as needed to provide you services."
billing information,we,legal,"We only collect information like your name, email address, mailing address, phone number, and billing information so we can provide the services described on our website."
browser type,we,legal,"As is true of most websites, we gather certain information automatically and store it in log files.
This information includes internet protocol (IP) addresses, browser type, internet service provider (ISP), referring/exit pages, operating system, date/time stamp, and clickstream data."
clickstream datum,we,legal,"As is true of most websites, we gather certain information automatically and store it in log files.
This information includes internet protocol (IP) addresses, browser type, internet service provider (ISP), referring/exit pages, operating system, date/time stamp, and clickstream data."
cookie / pixel tag,we,"legal, services","We use cookies for our shopping cart, to remember your settings (e.g., language preference), and for authentication."
date time stamp,we,"legal, services","As is true of most websites, we gather certain information automatically and store it in log files.
This information includes internet protocol (IP) addresses, browser type, internet service provider (ISP), referring/exit pages, operating system, date/time stamp, and clickstream data."
demographic information about user base as whole,UNSPECIFIED_ACTOR,,"We and our partners, affiliates, or analytics or services providers use technologies, such as cookies, beacons, tags, and scripts, to analyze trends, administer our website, tracking users' movements around the website, and to gather demographic information about our user base as a whole."
demographic information about user base as whole,analytic provider,,"We and our partners, affiliates, or analytics or services providers use technologies, such as cookies, beacons, tags, and scripts, to analyze trends, administer our website, tracking users' movements around the website, and to gather demographic information about our user base as a whole."
demographic information about user base as whole,we,"legal, services","We and our partners, affiliates, or analytics or services providers use technologies, such as cookies, beacons, tags, and scripts, to analyze trends, administer our website, tracking users' movements around the website, and to gather demographic information about our user base as a whole."
demographic information about visitor as whole,we,"legal, services","We use this information, which does not identify individual visitors, to analyze trends, administer our website, track visitors' movements around our website, and gather demographic information about our visitors as a whole."
email address,we,"legal, services, advertising","To subscribe you to our newsletters, we will only use your email address to send the newsletter to you.
We only collect information like your name, email address, mailing address, phone number, and billing information so we can provide the services described on our website."
engineerica,we,"legal, services, advertising, analytics","At Engineerica Systems, Inc. (""Engineerica"", ""We"", ""Us"" or ""Our""), we respect your privacy and take protecting it seriously."
ip address,social media,,"Our website includes social media features, such as the Facebook ""Like"" button.
These features may collect your IP address and the page you are visiting on our website."
ip address,we,"legal, services, advertising","As is true of most websites, we gather certain information automatically and store it in log files.
This information includes internet protocol (IP) addresses, browser type, internet service provider (ISP), referring/exit pages, operating system, date/time stamp, and clickstream data."
log file,we,"legal, services, advertising, analytics","We use this information, which does not identify individual visitors, to analyze trends, administer our website, track visitors' movements around our website, and gather demographic information about our visitors as a whole.
What About Log Files?"
person name,we,"legal, services, advertising, analytics","We only collect information like your name, email address, mailing address, phone number, and billing information so we can provide the services described on our website."
personal information,we,"legal, services, advertising, analytics","When you sign up for our services, we will share your personal information only as necessary for the third party to provide that service."
phone number,we,"legal, services, advertising, analytics","We only collect information like your name, email address, mailing address, phone number, and billing information so we can provide the services described on our website."
postal address,we,"legal, services, advertising, analytics","We only collect information like your name, email address, mailing address, phone number, and billing information so we can provide the services described on our website."
report,we,"legal, services, advertising, analytics",We may receive reports based on the use of these technologies by these companies on an individual as well as aggregated basis.
