data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,advertising,"We may share your data with third party vendors, service providers, contractors or agents who perform services for us or on our behalf and require access to such information to do that work.
With your consent, or with an opportunity for you to withdraw consent, we may share your information with third parties for marketing purposes, as permitted by law."
UNSPECIFIED_DATA,business partner,advertising,"Privacy Policy

DISCLOSURE OF YOUR INFORMATION

Business Partners

We may share your information with our business partners to offer you certain products, services or promotions."
UNSPECIFIED_DATA,contractor,,"We may share your data with third party vendors, service providers, contractors or agents who perform services for us or on our behalf and require access to such information to do that work."
UNSPECIFIED_DATA,service provider,,"We may share your data with third party vendors, service providers, contractors or agents who perform services for us or on our behalf and require access to such information to do that work."
UNSPECIFIED_DATA,we,advertising,"If we believe the release of information about you is necessary to respond to legal process, to investigate or remedy potential violations of our policies, or to protect the rights, property, and safety of others, we may share your information as permitted or required by any applicable law, rule, or regulation.
Privacy Policy

DISCLOSURE OF YOUR INFORMATION

Business Partners

We may share your information with our business partners to offer you certain products, services or promotions.
The information we may collect on the service Includes:
This Privacy Policy explains how we collect, use, disclose, and safeguard your information when you visit our service.
We may share your data with third party vendors, service providers, contractors or agents who perform services for us or on our behalf and require access to such information to do that work.
We may share your information with our affiliates, in which case we will require those affiliates to honor this Privacy Policy.
With your consent, or with an opportunity for you to withdraw consent, we may share your information with third parties for marketing purposes, as permitted by law."
cookie / pixel tag,xl8,services,"XL8 may use cookies, web beacons, tracking pixels, and other tracking technologies on the service to help and improve your experience."
financial information,payment processor,,"Otherwise, all financial information is stored by our payment processor."
financial information,we,advertising,"We store only very limited, if any, financial information."
information about you,we,advertising,We may collect information about you in a variety of ways.
information we collect about you,we,advertising,We may share information we have collected about you in certain situations.
supply information,we,advertising,We may use your supplied information in a variety of ways.
track pixel,xl8,services,"XL8 may use cookies, web beacons, tracking pixels, and other tracking technologies on the service to help and improve your experience."
