data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,We may disclose information to our affiliates and subsidiaries.
UNSPECIFIED_DATA,analytic provider,analytics,We provide information to analytics providers to better understand how consumers use the Services so we can improve the Services and create new products and services.
UNSPECIFIED_DATA,nonaffiliated party,,We may disclose your information to nonaffiliated parties based on your consent to do so.
UNSPECIFIED_DATA,select vendor who perform service on behalf,,We disclose your information to select vendors who perform services on our behalf.
UNSPECIFIED_DATA,we,"advertising, analytics, legal, security, services","As we adopt additional technologies, we may also gather additional information through other methods.
Folloze processes such data to enable customers to create email campaigns from their Gmail account, and we also use the data on behalf of customers to track replies to such email campaigns.
In some circumstances, we may need to disclose your information (a) in response to a subpoena or law-enforcement procedure or as we otherwise reasonably believe we are required to do so bylaw, regulation or governmental authority, (b) to preserve our rights or property, or (c) to protect the personal safety of someone in an emergency, and we reserve the right to do so.
The California Consumer Privacy Act of 2018, as amended by the California Privacy Rights Act of 2020 (""CCPA"") requires us to provide some additional information to California residents.
The length of time for which we retain information depends on the purposes for which we collected and use it and your choices, after which time we may delete and/or aggregate it.
We disclose your information to select vendors who perform services on our behalf.
We keep your information for the time necessary for the purposes for which it is processed.
We may also retain and use this information as necessary to comply with our legal obligations, resolve disputes, and enforce our agreements.
We may disclose certain information if we believe in good faith that doing so is necessary or appropriate to (i) protect or defend the rights, safety, or property of Folloze or other parties, including to defend or enforce this Policy, our Terms of Service, or any other contractual arrangement or (ii) respond to your requests for customer service; and/or (iii) protect the rights, property or personal safety of Folloze, its agents and affiliates, its employees, users and/or the public.
We may disclose information to our affiliates and subsidiaries.
We may disclose your information to nonaffiliated parties based on your consent to do so.
We provide information to analytics providers to better understand how consumers use the Services so we can improve the Services and create new products and services.
We use your information for business and commercial purposes, such as:
You may be required to verify your identity before we fulfill your request, and we may request additional information from you in order to do this."
aggregate / deidentified / pseudonymized information,event promoter,,"We may use de-identified or aggregated data for any purpose, including without limitation for research and marketing purposes and may also disclose such data to other parties, including without limitation, advertisers, promotional partners, sponsors, event promoters, and/or others."
aggregate / deidentified / pseudonymized information,promotional partner,,"We may use de-identified or aggregated data for any purpose, including without limitation for research and marketing purposes and may also disclose such data to other parties, including without limitation, advertisers, promotional partners, sponsors, event promoters, and/or others."
aggregate / deidentified / pseudonymized information,sponsor,,"We may use de-identified or aggregated data for any purpose, including without limitation for research and marketing purposes and may also disclose such data to other parties, including without limitation, advertisers, promotional partners, sponsors, event promoters, and/or others."
aggregate / deidentified / pseudonymized information,we,"advertising, analytics, legal, security, services","We may use de-identified or aggregated data for any purpose, including without limitation for research and marketing purposes and may also disclose such data to other parties, including without limitation, advertisers, promotional partners, sponsors, event promoters, and/or others."
communication with we,we,"advertising, analytics, legal, security, services","We may collect your communications with us, such as when you submit questions, communicate with our customer support, or otherwise communicate with Folloze."
contact information,we,"advertising, analytics, legal, security, services","You may provide us with contact information or other personal identifiers, such as your name, email address, mailing address, or telephone number."
cookie / pixel tag,analytic provider,analytics,"We and our vendors, which include ad networks and analytics companies such as Google Analytics, may use cookies, web beacons, and other tracking technologies to collect information about the computers or devices (including mobile devices) you use to access the Services."
cookie / pixel tag,unaffiliated party,,"We also allow other unaffiliated parties (e.g., ad networks and ad servers such as Google Analytics) to serve tailored marketing to you and to access their own cookies or other tracking technologies on your computer, mobile phone, or other device you use to access the Services."
cookie / pixel tag,we,"advertising, analytics, legal, security, services","We and our vendors, which include ad networks and analytics companies such as Google Analytics, may use cookies, web beacons, and other tracking technologies to collect information about the computers or devices (including mobile devices) you use to access the Services."
datum about you,we,"advertising, analytics, legal, security, services",We collect data about you as described below when we provide our Services.
information about computer include mobile device you use,analytic provider,analytics,"We and our vendors, which include ad networks and analytics companies such as Google Analytics, may use cookies, web beacons, and other tracking technologies to collect information about the computers or devices (including mobile devices) you use to access the Services."
information about computer include mobile device you use,we,"advertising, analytics, legal, security, services","We and our vendors, which include ad networks and analytics companies such as Google Analytics, may use cookies, web beacons, and other tracking technologies to collect information about the computers or devices (including mobile devices) you use to access the Services."
information about you,we,"advertising, analytics, legal, security, services","We may also collect information about you from other users.
We may collect information about you or others through our affiliates or through non-affiliated parties.
When you sign in or connect with such third-party services we may receive information about you directly from such services, subject to your settings with the third-party service."
information collect,UNSPECIFIED_ACTOR,,"The information collected by the technology will be disclosed to or collected directly by these vendors, who use the information to evaluate your use of the Services.
These vendors use the sort of technology described in the ""Information we collect automatically"" section above to help us analyze how users use the Services, including by noting the third-party website from which you arrive."
information collect,we,"advertising, analytics, legal, security, services","We use this information (including the information collected by our vendors) for analytics (including to determine which portions of the Services are used most frequently and what our users like/do not like), to evaluate the success of our Services and advertising campaigns, offer you any other or additional services that can be helpful to you or our users or identify the most efficient path for getting you to the content that interests you, and as otherwise described in this Policy."
information necessary,we,"advertising, analytics, legal, security, services",We may request you provide us with information necessary to confirm your identity before responding to your request.
information we collect,we,"advertising, analytics, legal, security, services",We may disclose the information we collect in the following circumstances:
information you provide to we through user entry,we,"advertising, analytics, legal, security, services",We may collect information that you provide directly to us through user entry.
payment information for service,we,"advertising, analytics, legal, security, services","We may collect payment information for our Services, such as when we engage payment processors to collect your payment information."
personal information,UNSPECIFIED_ACTOR,"advertising, analytics","This Privacy Policy (the ""Policy"") describes how Folloze, Inc. and its affiliated companies (""Folloze,"" ""we,"" ""us,"" and ""our"") collect, use, and disclose personal data, including of users of Folloze.com and any other websites owned by Folloze, and any other services we offer (together with our websites, the ""Services"").
We may disclose your personal information to third parties for purposes of analytics and advertising."
personal information,affiliated company,,"This Privacy Policy (the ""Policy"") describes how Folloze, Inc. and its affiliated companies (""Folloze,"" ""we,"" ""us,"" and ""our"") collect, use, and disclose personal data, including of users of Folloze.com and any other websites owned by Folloze, and any other services we offer (together with our websites, the ""Services"")."
