data_type,collector,purpose,text
Google,we,"analytics, legal, security, services","For example, we allow you to use add-ons and plugins on our Services (e.g., Office 365, Google Workspace, etc.), we keep track of your preferences (e.g., display name, time zone, etc.), and more."
UNSPECIFIED_DATA,event organizer,,"If you register for or attend an event that is sponsored by FreeBusy, the event organizer may share your information with us."
UNSPECIFIED_DATA,freebusy,,"If you contact any of our reselling partners, or otherwise express interest in any of our products or services to them, the reselling partner may pass your name, email address, company name and other information to FreeBusy."
UNSPECIFIED_DATA,reselling partner,,"If you contact any of our reselling partners, or otherwise express interest in any of our products or services to them, the reselling partner may pass your name, email address, company name and other information to FreeBusy."
UNSPECIFIED_DATA,we,"analytics, legal, security, services","Generally, we collect and use information from you to provide, protect, and improve our Services, and to provide you with a personalized experience when using our Services.
If you provide us information about another person, or if another person gives us your information, we will only use that information for the specific reason for which it was provided to us.
If you register for or attend an event that is sponsored by FreeBusy, the event organizer may share your information with us.
Note that we may use offline backups and other technologies to provide the Service and all of your personal information may not be deleted immediately, but we will make commercially reasonable efforts to do it as quickly as possible.
We no longer need your personal information for the purposes of the processing, but it is required by you to establish, exercise or defense of legal claims.
We record information that you submit when you (i) register for any event, including webinars or seminars, (ii) subscribe to our newsletter or any other mailing list, (iii) submit a form in order to download any product, whitepaper, or other materials, (iv) participate in contests or respond to surveys, or (v) submit a form to request customer support or to contact FreeBusy for any other purpose."
add on,we,"analytics, legal, security, services","This Privacy Policy (the ""Policy"" ) describes how FreeBusy, Inc. (referred to as ""FreeBusy"" or ""we"" or ""us"" or ""our"") collects, uses, and handles your personal information when you use websites, pages, add-ons, mobile applications, chat bots, voice assistant skills, integration, features, or content owned or operated by FreeBusy, or any FreeBusy products and services (collectively the ""Services"" )."
alias,we,"analytics, legal, security, services","In particular, our Website may have collected the following categories of Personal Information from California Resident Registered Users, Ad-hoc Users, and Visitors within the last twelve months, for the purpose of establishing, maintaining, and supporting the Services: Identifiers: real name; alias; email address; internet protocol address."
authorization,we,"analytics, legal, security, services","To create an account on FreeBusy, you must provide us with your email address and authorization to access your Internet-accessible calendar (e.g. Microsoft Office 365 or Google Calendar) in the form of a Calendar Credential (e.g. access token or password)."
company name,freebusy,,"If you contact any of our reselling partners, or otherwise express interest in any of our products or services to them, the reselling partner may pass your name, email address, company name and other information to FreeBusy."
company name,reselling partner,,"If you contact any of our reselling partners, or otherwise express interest in any of our products or services to them, the reselling partner may pass your name, email address, company name and other information to FreeBusy."
contact information,we,"analytics, legal, security, services","To engage in meeting scheduling and to interact with others via our Services, or to invite others to sign up for FreeBusy via our referral program, you may share other individuals' contact information with us.
When you buy something from us, we ask you to provide your name, contact information, and credit card information or other payment account information."
content own,we,"analytics, legal, security, services","This Privacy Policy (the ""Policy"" ) describes how FreeBusy, Inc. (referred to as ""FreeBusy"" or ""we"" or ""us"" or ""our"") collects, uses, and handles your personal information when you use websites, pages, add-ons, mobile applications, chat bots, voice assistant skills, integration, features, or content owned or operated by FreeBusy, or any FreeBusy products and services (collectively the ""Services"" )."
cookie / pixel tag,we,"analytics, legal, security, services","In some cases, we may use cookies and similar technologies to collect personal information, or information that becomes personal information if we combine it with other information.
We collect the following types of cookies: Strictly Necessary Cookies .
We retain any information collected via cookies, clear gifs, flash cookies, webpage counters and other technical or analytics tools up to one year from expiry of the cookie or the date of collection.
We use these files to understand, secure, operate, and provide our Services.
When you access our Services, we may place small data files called ""cookies"" or ""pixel tags"" on your device."
cost estimate,we,"analytics, legal, security, services","If we determine that the request warrants a fee, we will tell you why we made that decision and provide you with a cost estimate before fulfilling your request."
credit / debit card number,we,"analytics, legal, security, services","For quick processing of future payments, if you have given us your approval, we may store your credit card information or other payment information in an encrypted format in the secured servers of our Payment Processing Service Providers.
When you buy something from us, we ask you to provide your name, contact information, and credit card information or other payment account information.
When you submit your card information, we store the name and address of the cardholder, the expiry date and the last four digits of the credit card number."
customer support team,we,"analytics, legal, security, services","We may collect information that you provide to us, such as when you correspond with us regarding our Services (e.g., inquiry to customer support team, social media, etc.)."
email address,freebusy,,"If you contact any of our reselling partners, or otherwise express interest in any of our products or services to them, the reselling partner may pass your name, email address, company name and other information to FreeBusy."
email address,freebusy,legal,"If you contact any of our reselling partners, or otherwise express interest in any of our products or services to them, the reselling partner may pass your name, email address, company name and other information to FreeBusy."
email address,reselling partner,,"If you contact any of our reselling partners, or otherwise express interest in any of our products or services to them, the reselling partner may pass your name, email address, company name and other information to FreeBusy."
email address,we,"analytics, legal, security, services","If someone has referred any of our products or services to you through any of our referral programs, that person may have provided us your name, email address and other personal information.
In particular, our Website may have collected the following categories of Personal Information from California Resident Registered Users, Ad-hoc Users, and Visitors within the last twelve months, for the purpose of establishing, maintaining, and supporting the Services: Identifiers: real name; alias; email address; internet protocol address.
To create an account on FreeBusy, you must provide us with your email address and authorization to access your Internet-accessible calendar (e.g. Microsoft Office 365 or Google Calendar) in the form of a Calendar Credential (e.g. access token or password).
When we access your calendar, we obtain your name, email address, and if available, your profile picture."
expiry date,we,"analytics, legal, security, services","When you submit your card information, we store the name and address of the cardholder, the expiry date and the last four digits of the credit card number."
feature,we,"analytics, legal, security, services","This Privacy Policy (the ""Policy"" ) describes how FreeBusy, Inc. (referred to as ""FreeBusy"" or ""we"" or ""us"" or ""our"") collects, uses, and handles your personal information when you use websites, pages, add-ons, mobile applications, chat bots, voice assistant skills, integration, features, or content owned or operated by FreeBusy, or any FreeBusy products and services (collectively the ""Services"" )."
freebusy product,we,"analytics, legal, security, services","This Privacy Policy (the ""Policy"" ) describes how FreeBusy, Inc. (referred to as ""FreeBusy"" or ""we"" or ""us"" or ""our"") collects, uses, and handles your personal information when you use websites, pages, add-ons, mobile applications, chat bots, voice assistant skills, integration, features, or content owned or operated by FreeBusy, or any FreeBusy products and services (collectively the ""Services"" )."
identifier,we,"analytics, legal, security, services","In particular, our Website may have collected the following categories of Personal Information from California Resident Registered Users, Ad-hoc Users, and Visitors within the last twelve months, for the purpose of establishing, maintaining, and supporting the Services: Identifiers: real name; alias; email address; internet protocol address."
information about,we,"analytics, legal, security, services","We use technologies like cookies, web beacons and pixel tags to gather information about how you are interacting with the Services, which may include identifying your IP address, browser type, and referring page."
information about interaction on service,we,"analytics, legal, security, services","We may store any information about your interactions on our Services or any content created, posted or shared by you on our Services (e.g., profile photos, meetings, support tickets, and other content) as long as necessary after the closure your account for the establishment or defense of legal claims, audit and crime prevention purposes."
information about you,freebusy,,"FreeBusy may also receive information about you from review sites if you comment on any review of our products and services, and from other third-party service providers that we engage for marketing our products and services."
information about you,we,"analytics, legal, security, services",We may also obtain information about you from third party sources.
information become,we,"analytics, legal, security, services","In some cases, we may use cookies and similar technologies to collect personal information, or information that becomes personal information if we combine it with other information."
information create,we,"analytics, legal, security, services","Our servers automatically record information created by your use of our Services, which may include information such as, but not limited to, your IP address, browser type, operating system, diagnostic information related to the Services (i.e., crash activity reports), the referring web page, pages visited, location, your mobile carrier, device and application IDs, and search terms."
information identify,freebusy,,"FreeBusy collects information that identifies, relates to, describes, references, is capable of being associated with, or could reasonably be linked, directly or indirectly, with a particular consumer or device (""Personal Information"")."
information use for marketing purpose,we,"analytics, legal, security, services",We store information used for marketing purposes indefinitely until you unsubscribe.
information you provide to we,we,"analytics, legal, security, services","We may collect information that you provide to us, such as when you correspond with us regarding our Services (e.g., inquiry to customer support team, social media, etc.)."
information you send we,we,"analytics, legal, security, services","When you use our Services, we collect personal information about your use of our Services and information that you send us."
integration,we,"analytics, legal, security, services","This Privacy Policy (the ""Policy"" ) describes how FreeBusy, Inc. (referred to as ""FreeBusy"" or ""we"" or ""us"" or ""our"") collects, uses, and handles your personal information when you use websites, pages, add-ons, mobile applications, chat bots, voice assistant skills, integration, features, or content owned or operated by FreeBusy, or any FreeBusy products and services (collectively the ""Services"" )."
ip address,we,"analytics, legal, security, services","We may collect information about devices you use to access the Services and how you use the Services, such as your Internet Protocol (""IP"") address and which websites you visited before accessing our Services."
mobile application,we,"analytics, legal, security, services","This Privacy Policy (the ""Policy"" ) describes how FreeBusy, Inc. (referred to as ""FreeBusy"" or ""we"" or ""us"" or ""our"") collects, uses, and handles your personal information when you use websites, pages, add-ons, mobile applications, chat bots, voice assistant skills, integration, features, or content owned or operated by FreeBusy, or any FreeBusy products and services (collectively the ""Services"" )."
office,we,"analytics, legal, security, services","For example, we allow you to use add-ons and plugins on our Services (e.g., Office 365, Google Workspace, etc.), we keep track of your preferences (e.g., display name, time zone, etc.), and more."
