data_type,collector,purpose,text
-range,Google,,"This includes your Google user ID, username, email address, birthdate or -range (optional), gender (optional), and avatar (optional).
This information is collected by Google and is provided to us under the terms of Google's Privacy Policy ."
-range,we,,"This includes your Google user ID, username, email address, birthdate or -range (optional), gender (optional), and avatar (optional).
This information is collected by Google and is provided to us under the terms of Google's Privacy Policy ."
UNSPECIFIED_DATA,we,"legal, services","Please note, however, that we may need to retain certain information for record keeping purposes, to complete transactions, or to comply with our legal obligations.
The foregoing does not apply to any Personal Data included in User Content, e.g., contained within a video uploaded to our Service - our Customer exclusively controls the disposition of that data and we will retain data in accordance with their instructions.
We may collect, receive, store, use and/or process the Personal Data and other information described in this Privacy only in compliance with applicable law, our agreements with our Customers and as described in this Privacy Policy under the following circumstances:
You can determine which information we receive from Facebook using the privacy and data settings in your Facebook account.
You can determine which information we receive from Google using your Google activity controls ."
UNSPECIFIED_DATA,we,"legal, services, advertising, security","Please note, however, that we may need to retain certain information for record keeping purposes, to complete transactions, or to comply with our legal obligations.
The foregoing does not apply to any Personal Data included in User Content, e.g., contained within a video uploaded to our Service - our Customer exclusively controls the disposition of that data and we will retain data in accordance with their instructions.
We may collect, receive, store, use and/or process the Personal Data and other information described in this Privacy only in compliance with applicable law, our agreements with our Customers and as described in this Privacy Policy under the following circumstances:
You can determine which information we receive from Facebook using the privacy and data settings in your Facebook account.
You can determine which information we receive from Google using your Google activity controls ."
active server page,we,"legal, services, advertising, security","The Service, including the GV App and all computer software in source code, object code or other form, databases, indexing, search, and retrieval methods and routines, hypertext markup language code, active server pages, intranet pages, and similar materials, and all intellectual property and other rights, title, and interest therein, including copyrights, trade secrets, rights in patents, compilations, inventions, modifications, updates, extensions, enhancements, configurations, derivative works, discoveries, improvements, processes, methods, designs and know-how, whether or not copyrightable or patentable, pertaining to any of the foregoing (all of which shall be deemed part of the Service), whether conceived by GV alone or in conjunction with others, but except for any trademarks, service marks or trade dress of Sponsor (collectively, ""GV IP""), are owned by GV and/or its licensors, protected by applicable intellectual property laws of the United States and other countries, including but not limited to copyright, and the non-public-facing elements thereof constitute trade secrets and confidential information of GV."
avatar,Google,,"This includes your Google user ID, username, email address, birthdate or -range (optional), gender (optional), and avatar (optional).
This information is collected by Google and is provided to us under the terms of Google's Privacy Policy ."
avatar,we,"legal, services","This includes your Google user ID, username, email address, birthdate or -range (optional), gender (optional), and avatar (optional).
This information is collected by Google and is provided to us under the terms of Google's Privacy Policy ."
computer software,we,"legal, services, advertising, security","The Service, including the GV App and all computer software in source code, object code or other form, databases, indexing, search, and retrieval methods and routines, hypertext markup language code, active server pages, intranet pages, and similar materials, and all intellectual property and other rights, title, and interest therein, including copyrights, trade secrets, rights in patents, compilations, inventions, modifications, updates, extensions, enhancements, configurations, derivative works, discoveries, improvements, processes, methods, designs and know-how, whether or not copyrightable or patentable, pertaining to any of the foregoing (all of which shall be deemed part of the Service), whether conceived by GV alone or in conjunction with others, but except for any trademarks, service marks or trade dress of Sponsor (collectively, ""GV IP""), are owned by GV and/or its licensors, protected by applicable intellectual property laws of the United States and other countries, including but not limited to copyright, and the non-public-facing elements thereof constitute trade secrets and confidential information of GV."
cookie / pixel tag,UNSPECIFIED_ACTOR,,"GV and our partners use ""cookies"" (small text files placed by our Site and stored on your computer), or similar technologies to help analyze trends, administer our Site, track users' movements around the Site, and track and customize your access to and use of the Site and the Service."
database,we,"legal, services, advertising, security","The Service, including the GV App and all computer software in source code, object code or other form, databases, indexing, search, and retrieval methods and routines, hypertext markup language code, active server pages, intranet pages, and similar materials, and all intellectual property and other rights, title, and interest therein, including copyrights, trade secrets, rights in patents, compilations, inventions, modifications, updates, extensions, enhancements, configurations, derivative works, discoveries, improvements, processes, methods, designs and know-how, whether or not copyrightable or patentable, pertaining to any of the foregoing (all of which shall be deemed part of the Service), whether conceived by GV alone or in conjunction with others, but except for any trademarks, service marks or trade dress of Sponsor (collectively, ""GV IP""), are owned by GV and/or its licensors, protected by applicable intellectual property laws of the United States and other countries, including but not limited to copyright, and the non-public-facing elements thereof constitute trade secrets and confidential information of GV."
