data_type,collector,purpose,text
activity status,we,,"2. PERSONAL DATA COLLECTED BY GIST

2.1 PERSONAL DATA WE COLLECT AND RECEIVE

b. We may collect the following personal data about our customers and end-users (to the extent applicable):
b. We may collect the following personal data about our customers and end-users (to the extent applicable):

Service data:

session date and time; activity status (including first seen, last seen, last heard from - and last contacted);"
aggregate / deidentified / pseudonymized information,UNSPECIFIED_ACTOR,,We may also share aggregated or anonymized information with third parties for other purposes.
aggregate / deidentified / pseudonymized information,we,,"Otherwise, we may disclose such information for any reason.
We may also share aggregated or anonymized information with third parties for other purposes."
billing,we,,"2. PERSONAL DATA COLLECTED BY GIST

2.1 PERSONAL DATA WE COLLECT AND RECEIVE

b. We may collect the following personal data about our customers and end-users (to the extent applicable):
We may collect the following personal data about:

Payment information:

billing and mailing addresses;
b. We may collect the following personal data about our customers and end-users (to the extent applicable):

Payment information:

billing and mailing addresses;"
company information,we,,"We may collect the following personal data about:

Registration, contact, and company information:"
contact,we,,"We may collect the following personal data about:

Registration, contact, and company information:"
contact information,we,,"2. PERSONAL DATA COLLECTED BY GIST

2.1 PERSONAL DATA WE COLLECT AND RECEIVE

b. We may collect the following personal data about our customers and end-users (to the extent applicable):

Registration and contact information:"
cookie / pixel tag,advertiser,,"4. SHARING YOUR PERSONAL DATA

Advertising Partners:

Third party advertising companies may use cookies and similar technologies to collect information about your activity on the Gist Services and other online services over time to serve you online targeted advertisements, including the companies listed in the third-party cookies section of our Cookie Policy."
device datum,we,,"2. PERSONAL DATA COLLECTED BY GIST

2.1 PERSONAL DATA WE COLLECT AND RECEIVE

b. We may collect the following personal data about our customers and end-users (to the extent applicable):

Device data:
We may collect the following personal data about:

Device data:"
internet activity,advertiser,advertising,"4. SHARING YOUR PERSONAL DATA

Advertising Partners:

Third party advertising companies may use cookies and similar technologies to collect information about your activity on the Gist Services and other online services over time to serve you online targeted advertisements, including the companies listed in the third-party cookies section of our Cookie Policy."
language,we,,"2. PERSONAL DATA COLLECTED BY GIST

2.1 PERSONAL DATA WE COLLECT AND RECEIVE

b. We may collect the following personal data about our customers and end-users (to the extent applicable):

Device data:

browser type and language;"
link click,we,,"2. PERSONAL DATA COLLECTED BY GIST

2.1 PERSONAL DATA WE COLLECT AND RECEIVE

b. We may collect the following personal data about our customers and end-users (to the extent applicable):
b. We may collect the following personal data about our customers and end-users (to the extent applicable):

Service data:

links clicked;"
manufacturer,we,,"2. PERSONAL DATA COLLECTED BY GIST

2.1 PERSONAL DATA WE COLLECT AND RECEIVE

b. We may collect the following personal data about our customers and end-users (to the extent applicable):
We may collect the following personal data about:

Device data:

operating system type and version number, manufacturer and model;
b. We may collect the following personal data about our customers and end-users (to the extent applicable):

Device data:

operating system type and version number, manufacturer and model;"
model,we,,"2. PERSONAL DATA COLLECTED BY GIST

2.1 PERSONAL DATA WE COLLECT AND RECEIVE

b. We may collect the following personal data about our customers and end-users (to the extent applicable):
We may collect the following personal data about:

Device data:

operating system type and version number, manufacturer and model;
b. We may collect the following personal data about our customers and end-users (to the extent applicable):

Device data:

operating system type and version number, manufacturer and model;"
payment information,we,,"2. PERSONAL DATA COLLECTED BY GIST

2.1 PERSONAL DATA WE COLLECT AND RECEIVE

b. We may collect the following personal data about our customers and end-users (to the extent applicable):

Payment information:
We may collect the following personal data about:

Payment information:"
personal information,UNSPECIFIED_ACTOR,,6.2 Certain recipients (our service providers and other companies) who process your personal data on our behalf may also transfer personal data outside the country in which you are resident.
personal information,service provider,,6.2 Certain recipients (our service providers and other companies) who process your personal data on our behalf may also transfer personal data outside the country in which you are resident.
