data_type,collector,purpose,text
UNSPECIFIED_DATA,we,services,"3. Information Collection and Use

As our Customer we collect data from you when YOU;
As a member of Glorri Talent Network we collect data from you when YOU;
If you are a California resident, you are entitled to learn what data we collect about you, ask to delete your data and not to sell (share) it.
We may collect your data by monitoring your activity on Glorri or by contacting with Analytics Service Providers (to analyze your experience with our Services, and provide you with first-class customer services) and Advertising Service Providers (to deliver high level marketing or promotional services).
We may disclose your information also:
We store your data in servers located in EU on the following address:
We use your data to provide and improve Service.
While using our Service, we may also collect the following information: sex, age, date of birth, place of birth, passport details, citizenship, registration at place of residence and actual address, telephone number (work, mobile), details of documents on education, qualification, professional training, employment agreements, information on bonuses and compensation, information on marital status, social security (or other taxpayer identification) number, office location and other data."
actual address,we,services,"While using our Service, we may also collect the following information: sex, age, date of birth, place of birth, passport details, citizenship, registration at place of residence and actual address, telephone number (work, mobile), details of documents on education, qualification, professional training, employment agreements, information on bonuses and compensation, information on marital status, social security (or other taxpayer identification) number, office location and other data."
age,we,services,"While using our Service, we may also collect the following information: sex, age, date of birth, place of birth, passport details, citizenship, registration at place of residence and actual address, telephone number (work, mobile), details of documents on education, qualification, professional training, employment agreements, information on bonuses and compensation, information on marital status, social security (or other taxpayer identification) number, office location and other data."
citizenship,we,services,"While using our Service, we may also collect the following information: sex, age, date of birth, place of birth, passport details, citizenship, registration at place of residence and actual address, telephone number (work, mobile), details of documents on education, qualification, professional training, employment agreements, information on bonuses and compensation, information on marital status, social security (or other taxpayer identification) number, office location and other data."
collect datum,glorri inc,,"GLORRI, INC. uses the collected data for various purposes:"
contact information,we,services,"While using our Service, we may ask you to provide us with certain personally identifiable information that can be used to contact or identify you ( ""Personal Data"" )."
credit / debit card number,third party payment processor govern,,"That information is provided directly to our third-party payment processors whose use of your personal information is governed by their Privacy Policy.
We will not store or collect your payment card details."
date of birth,we,"services, advertising, security","While using our Service, we may also collect the following information: sex, age, date of birth, place of birth, passport details, citizenship, registration at place of residence and actual address, telephone number (work, mobile), details of documents on education, qualification, professional training, employment agreements, information on bonuses and compensation, information on marital status, social security (or other taxpayer identification) number, office location and other data."
detail of document on education,we,"services, advertising, security","While using our Service, we may also collect the following information: sex, age, date of birth, place of birth, passport details, citizenship, registration at place of residence and actual address, telephone number (work, mobile), details of documents on education, qualification, professional training, employment agreements, information on bonuses and compensation, information on marital status, social security (or other taxpayer identification) number, office location and other data."
gender,we,"services, advertising, security","While using our Service, we may also collect the following information: sex, age, date of birth, place of birth, passport details, citizenship, registration at place of residence and actual address, telephone number (work, mobile), details of documents on education, qualification, professional training, employment agreements, information on bonuses and compensation, information on marital status, social security (or other taxpayer identification) number, office location and other data."
geolocation,we,"services, advertising, security","We may use and store information about your location if you give us permission to do so ( ""Location Data"" ).
We use this data to provide features of our Service, to improve and customize our Service.
While using our Service, we may also collect the following information: sex, age, date of birth, place of birth, passport details, citizenship, registration at place of residence and actual address, telephone number (work, mobile), details of documents on education, qualification, professional training, employment agreements, information on bonuses and compensation, information on marital status, social security (or other taxpayer identification) number, office location and other data."
information about you,we,"services, advertising, security",We may collect information about you from third parties or public sources as needed to support you matching with career opportunities.
information browser send,we,"services, advertising, security","We may also collect information that your browser sends whenever you visit our Service or when you access Service by or through any device ( ""Usage Data"" )."
information on bonus,we,"services, advertising, security","While using our Service, we may also collect the following information: sex, age, date of birth, place of birth, passport details, citizenship, registration at place of residence and actual address, telephone number (work, mobile), details of documents on education, qualification, professional training, employment agreements, information on bonuses and compensation, information on marital status, social security (or other taxpayer identification) number, office location and other data."
information on marital status,we,"services, advertising, security","While using our Service, we may also collect the following information: sex, age, date of birth, place of birth, passport details, citizenship, registration at place of residence and actual address, telephone number (work, mobile), details of documents on education, qualification, professional training, employment agreements, information on bonuses and compensation, information on marital status, social security (or other taxpayer identification) number, office location and other data."
information result from use of service,we,"services, advertising, security","Our Privacy Policy governs your visit to www.glorri.az and explains how we collect, safeguard and disclose information that results from your use of our Service."
passport number,we,"services, advertising, security, analytics","While using our Service, we may also collect the following information: sex, age, date of birth, place of birth, passport details, citizenship, registration at place of residence and actual address, telephone number (work, mobile), details of documents on education, qualification, professional training, employment agreements, information on bonuses and compensation, information on marital status, social security (or other taxpayer identification) number, office location and other data."
