data_type,collector,purpose,text
UNSPECIFIED_DATA,Google,,"Google Analytics collects information such as how often users visit this site, what pages they visit when they do so, and what other sites they used prior to coming to this site."
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,"legal, security, services","We disclose your information to third parties for a variety of business purposes, including to provide our Services, to protect us or others, or in the event of a major business transaction such as a merger, sale, or asset transfer, as described below.
We use your information for various administrative purposes, such as: Sharing information with third parties as needed to provide the Services;"
UNSPECIFIED_DATA,advertiser,"advertising, services","That said, we do share information with third-party advertisers for the purpose of promoting our Services.
We, as well as third parties that provide content, advertising, or other functionality on our Services, may use cookies, pixel tags, local storage, and other technologies ("" Technologies "") to automatically collect information through your use of our Services."
UNSPECIFIED_DATA,we,"advertising, analytics, legal, security, services","If we receive Personal Data from our affiliates or other entities in the EU, Switzerland and other countries with which we do business, we will use such information in accordance with the notices such entities provided and the choices made by the individuals to whom such Personal Data relates.
Notice will be provided in clear and conspicuous language when individuals are first asked to provide Personal Data to us, or as soon as practicable thereafter, and in any event before we use the information for a purpose other than that for which it was originally collected.
That said, we do share information with third-party advertisers for the purpose of promoting our Services.
We also use your information for other purposes as requested by you or as permitted by applicable law.
We collect information that you provide to us, information we obtain automatically when you use our Services, and information from other sources such as third-party services and organizations, as described below.
We collect information to provide Services to two types of users: candidates and members of the recruiting team.
We disclose your information to third parties for a variety of business purposes, including to provide our Services, to protect us or others, or in the event of a major business transaction such as a merger, sale, or asset transfer, as described below.
We do not directly collect or store any payment card information entered through our Services, but we may receive information associated with your payment card information (e.g., your billing details).
We may collect personal information and details associated with your purchases.
We process this data in accordance with the Privacy Shield principles of Notice and Choice, Accountability for Onward Transfer, Security, Data Integrity and Purpose Limitation, Access, Recourse, Enforcement and Liability, as described below.
We use your information for various administrative purposes, such as:
We use your information to fulfill our contract with you and provide you with our Services, such as:
We, as well as third parties that provide content, advertising, or other functionality on our Services, may use cookies, pixel tags, local storage, and other technologies ("" Technologies "") to automatically collect information through your use of our Services."
browser information,we,"advertising, analytics, legal, security, services","We may collect certain information automatically when you use our Services, such as your Internet protocol (IP) address, user settings, MAC address, cookie identifiers, mobile carrier, mobile advertising and other unique identifiers, browser or device information, location information (including approximate location derived from IP address), and Internet service provider."
business address,we,"advertising, analytics, legal, security, services","We may collect your information when you create an account to use our Services, such as your contact name, job title, business address, email address, and telephone number."
careers,we,"advertising, analytics, legal, security, services",Company : Careers
cookie / pixel tag,advertiser,"advertising, services","These third-party advertising partners may set Technologies and other tracking tools on our Services to collect information regarding your activities and your device (e.g., your IP address, cookie identifiers, pages visited, location, time of day).
We may disclose your personal information to third-party advertising partners specifically for users of our company's marketing website found at https://goodtime.io.
We, as well as third parties that provide content, advertising, or other functionality on our Services, may use cookies, pixel tags, local storage, and other technologies ("" Technologies "") to automatically collect information through your use of our Services."
cookie / pixel tag,we,"advertising, analytics, legal, security, services","We may collect certain information automatically when you use our Services, such as your Internet protocol (IP) address, user settings, MAC address, cookie identifiers, mobile carrier, mobile advertising and other unique identifiers, browser or device information, location information (including approximate location derived from IP address), and Internet service provider.
We, as well as third parties that provide content, advertising, or other functionality on our Services, may use cookies, pixel tags, local storage, and other technologies ("" Technologies "") to automatically collect information through your use of our Services."
email address,we,"advertising, analytics, legal, security, services","From Guests we collect email and, optionally (depending on user's preference) collect name and phone number.
We may collect your information when you create an account to use our Services, such as your contact name, job title, business address, email address, and telephone number."
hire,we,"advertising, analytics, legal, security, services",Products : Hire
identifier,we,"advertising, analytics, legal, security, services","We may collect certain information automatically when you use our Services, such as your Internet protocol (IP) address, user settings, MAC address, cookie identifiers, mobile carrier, mobile advertising and other unique identifiers, browser or device information, location information (including approximate location derived from IP address), and Internet service provider."
information about use of service on goodtime website,goodtime,,GoodTime utilizes Google Analytics to collect information about the use of this service only on the GoodTime website.
information about you,we,"advertising, analytics, legal, security, services","For example, if you access our Services through a third-party application, such as an app store, a third-party login service, or a social networking site, we may collect information about you from that third-party application that you have made available via your privacy settings.
We may obtain information about you from other sources, including through third-party services and organizations.
We may use personal information and other information about you to create de-identified and/or aggregated information, such as de-identified demographic information, information about the device from which you access our Services, or other analyses we create."
information collect from service,advertiser,"advertising, services","These advertising partners may use this information (and similar information collected from other services) for purposes of delivering personalized advertisements to you when you visit digital properties within their networks.
We may disclose your personal information to third-party advertising partners specifically for users of our company's marketing website found at https://goodtime.io."
information collect through use of google analytics,Google,analytics,"Google may also share such information with third parties to the extent it is legally required to do so and/or to the extent third parties process data on behalf of Google.
Google uses this information to analyze your use of the website, to generate reports about website activities for website operators and to provide further services related to website and internet use.
We do not combine the information collected through the use of Google Analytics with personally identifiable information."
information collect through use of google analytics,UNSPECIFIED_ACTOR,"legal, security, services","Google may also share such information with third parties to the extent it is legally required to do so and/or to the extent third parties process data on behalf of Google.
We do not combine the information collected through the use of Google Analytics with personally identifiable information."
information we get from google analytics,we,"advertising, analytics, legal, security, services","We use the information we get from Google Analytics only to improve this site, but in anonymous form."
information we obtain,we,"advertising, analytics, legal, security, services","We collect information that you provide to us, information we obtain automatically when you use our Services, and information from other sources such as third-party services and organizations, as described below."
information we store associate with you,UNSPECIFIED_ACTOR,"legal, security, services","We may access, preserve, and disclose any information we store associated with you to external parties if we, in good faith, believe doing so is required or appropriate to: comply with law enforcement or national security requests and legal process, such as a court order or subpoena; protect your, our, or others' rights, property, or safety; enforce our policies or contracts; collect amounts owed to us; or assist with an investigation or prosecution of suspected or actual illegal activity."
information we store associate with you,we,"advertising, analytics, legal, security, services","We may access, preserve, and disclose any information we store associated with you to external parties if we, in good faith, believe doing so is required or appropriate to: comply with law enforcement or national security requests and legal process, such as a court order or subpoena; protect your, our, or others' rights, property, or safety; enforce our policies or contracts; collect amounts owed to us; or assist with an investigation or prosecution of suspected or actual illegal activity."
information you provide to we,we,"advertising, analytics, legal, security, services","We collect information that you provide to us, information we obtain automatically when you use our Services, and information from other sources such as third-party services and organizations, as described below."
ip address,Google,analytics,"Google Analytics collects only the IP address assigned to you on the date you visit this site and assigns a user ID code, rather than your name or other identifying information."
ip address,advertiser,"advertising, services","These third-party advertising partners may set Technologies and other tracking tools on our Services to collect information regarding your activities and your device (e.g., your IP address, cookie identifiers, pages visited, location, time of day).
We may disclose your personal information to third-party advertising partners specifically for users of our company's marketing website found at https://goodtime.io."
ip address,feature,,These features may collect your IP address and which page you are visiting on our Services and may set a cookie to enable the feature to function properly.
ip address,we,"advertising, analytics, legal, security, services","We may collect certain information automatically when you use our Services, such as your Internet protocol (IP) address, user settings, MAC address, cookie identifiers, mobile carrier, mobile advertising and other unique identifiers, browser or device information, location information (including approximate location derived from IP address), and Internet service provider."
job title,we,"advertising, analytics, legal, security, services","We may collect your information when you create an account to use our Services, such as your contact name, job title, business address, email address, and telephone number."
