data_type,collector,purpose,text
UNSPECIFIED_DATA,we,"analytics, security, services","In order to provide you with the best experience possible on our Website, we collect certain information from you.
Privacy Policy

h) How Long We Keep Your Information:
We also collect data to understand how you wish to use our Website and keep a record of any correspondence you have with us.
We store the data for the duration of the contract term and, if applicable, for the duration of statutory retention periods.
We will need to verify your identity in such circumstances and may request more information or clarifications from you if needed to help us locate and provide you with the personal data requested."
audio,we,"analytics, security, services","In order for us to provide you with our Services, you will need to share with us texts, audios or video files (hereinafter, "" Content"" ) for us to provide transcription, subtitling and translation."
clarification,we,"analytics, security, services",We will need to verify your identity in such circumstances and may request more information or clarifications from you if needed to help us locate and provide you with the personal data requested.
cookie / pixel tag,we,"analytics, security, services","To collect this information, we use cookies, which are stored on your browser in accordance with your cookie settings."
datum about you,we,"analytics, security, services",We collect and process the following data about you for the following purposes:
datum about you you provide to we,we,"analytics, security, services","Personal data you give to us in order to use our services : We collect data about you that you provide to us by registering or filling in forms on our website, or by corresponding with us by phone, email, or other means."
identity datum,UNSPECIFIED_ACTOR,"security, services",We may share your identity data with third parties to help store your account information.
identity datum,we,"analytics, security, services","We may share your identity data with third parties to help store your account information.
We will store your identity data until you delete your account."
identity financial datum,UNSPECIFIED_ACTOR,"security, services",We may share your identity/financial data with third parties to help manage your financial information.
identity financial datum,we,"analytics, security, services",We may share your identity/financial data with third parties to help manage your financial information.
personal datum include in content,we,"analytics, security, services","If this is the case, we will process personal data included in the Content acting as what's known under the GDPR as the ""Processor"" and while doing so we will comply with the following obligations:
We will only process personal data included in the Content within the scope of the services we offer, excluding any use for our own purposes or for statistical purposes."
personal information we process about you,we,"analytics, security, services, advertising, legal","Privacy Policy

I. USERS PERSONAL DATA

b) Personal information we may process about you
We collect this information to improve the content and navigation of our Website.
We collect this information to prepare the customer invoices."
technical datum,we,"analytics, security, services, advertising, legal","In particular, we process the following information:
Technical Data:"
text,we,"analytics, security, services, advertising, legal","In order for us to provide you with our Services, you will need to share with us texts, audios or video files (hereinafter, "" Content"" ) for us to provide transcription, subtitling and translation."
video file,we,"analytics, security, services, advertising, legal","In order for us to provide you with our Services, you will need to share with us texts, audios or video files (hereinafter, "" Content"" ) for us to provide transcription, subtitling and translation."
