data_type,collector,purpose,text
UNSPECIFIED_DATA,Stripe,services,"For customers who pay for the Services using a payment card, their information is processed by our payment service provider, Stripe."
UNSPECIFIED_DATA,advertiser,,"These companies may use cookies and similar technologies to collect information about your interactions (including the data described in the ""Automatic data collection"" section above) over time across our Services, our communications and other online services, and use that information to serve online ads that they think will interest you.
We engage our advertising partners, including third party advertising companies and social media companies, to display ads around the web."
UNSPECIFIED_DATA,payment service provider,services,"For customers who pay for the Services using a payment card, their information is processed by our payment service provider, Stripe."
UNSPECIFIED_DATA,platform,,"You or the platforms may provide us with information through the platform, and we will treat such information in accordance with this Privacy Policy."
UNSPECIFIED_DATA,we,"security, services","If you log into our services using Google Oauth or your Microsoft account, we will use your information to verify (1) that you are associated with the email domain provided, and (2) your employment information.
You or the platforms may provide us with information through the platform, and we will treat such information in accordance with this Privacy Policy."
aggregate / deidentified / pseudonymized information,we,"security, services","We may use this anonymous data and share it with third parties for our lawful business purposes, including to analyze and improve our Services and promote our business."
analytic provider,we,"security, services, advertising","We may share your personal information with third party companies and individuals that provide services on our behalf or help us operate our Services (such as customer support, hosting, analytics, email delivery, marketing, identity verification, payment processing, and database management services)."
asset,we,"security, services, advertising","We may sell, transfer or otherwise share some or all of our business or assets, including your personal information, in connection with a business transaction (or potential business transaction) such as a corporate divestiture, merger, consolidation, acquisition, reorganization or sale of assets, or in the event of bankruptcy or dissolution."
auditor,professional advisor,,"We may disclose your personal information to professional advisors, such as lawyers, bankers, auditors and insurers, where necessary in the course of the professional services that they render to us."
banker,professional advisor,,"We may disclose your personal information to professional advisors, such as lawyers, bankers, auditors and insurers, where necessary in the course of the professional services that they render to us."
cookie / pixel tag,advertiser,,"These companies may use cookies and similar technologies to collect information about your interactions (including the data described in the ""Automatic data collection"" section above) over time across our Services, our communications and other online services, and use that information to serve online ads that they think will interest you.
We engage our advertising partners, including third party advertising companies and social media companies, to display ads around the web."
cookie / pixel tag,we,"security, services","We use the following tools for automatic data collection: Cookies , which are text files that websites store on a visitor's device to uniquely identify the visitor's browser or to store information or settings in the browser for the purpose of helping you navigate between pages efficiently, remembering your preferences, enabling functionality, helping us understand user activity and patterns, and facilitating online advertising."
customer support,we,"security, services, advertising","We may share your personal information with third party companies and individuals that provide services on our behalf or help us operate our Services (such as customer support, hosting, analytics, email delivery, marketing, identity verification, payment processing, and database management services)."
database management service,we,"security, services, advertising","We may share your personal information with third party companies and individuals that provide services on our behalf or help us operate our Services (such as customer support, hosting, analytics, email delivery, marketing, identity verification, payment processing, and database management services)."
email delivery,we,"security, services, advertising","We may share your personal information with third party companies and individuals that provide services on our behalf or help us operate our Services (such as customer support, hosting, analytics, email delivery, marketing, identity verification, payment processing, and database management services)."
hosting,we,"security, services, advertising","We may share your personal information with third party companies and individuals that provide services on our behalf or help us operate our Services (such as customer support, hosting, analytics, email delivery, marketing, identity verification, payment processing, and database management services)."
information about user,UNSPECIFIED_ACTOR,advertising,We may also share information about our users with these companies to facilitate interest-based advertising to those or similar users on other online platforms.
information about user,we,"security, services, advertising",We may also share information about our users with these companies to facilitate interest-based advertising to those or similar users on other online platforms.
information about you,advertiser,,"We, our service providers and our advertising partners may automatically log information about you, your computer or mobile device, and your interaction over time with our Services, our communications and other online services, such as:"
information about you,service provider,,"We, our service providers and our advertising partners may automatically log information about you, your computer or mobile device, and your interaction over time with our Services, our communications and other online services, such as:"
