data_type,collector,purpose,text
UNSPECIFIED_DATA,we,"analytics, services","We use this data for the sole purpose of obtaining anonymous statistical information concerning the use of the App.
We use this data for the sole purpose of obtaining anonymous statistical information concerning the use of the Platform and to check its correct operation.
We use this information solely for the purpose of providing you with health-related feedback and self-care suggestions."
age,we,"analytics, services","In such a case, we will use the location, the age range, and any other relevant Wellness Information you provided during the usage of our App.
When you start using the App, we might collect your nickname, gender and age range, preferred language, city on which you want to see therapists"
apple id,we,"analytics, services","The connection automatically causes the App to receive from Apple the information you agreed to: Apple ID, email, first name, last name."
ascendio,we,"analytics, services, advertising, legal","We recognize the importance of maintaining the confidentiality, integrity and security of your personal information ("" Personal Data "") and have written this privacy policy ("" Policy "") to explain how your Personal Data is collected, stored, used and disclosed by Ascendio TechVision S.R.L., a company incorporated under the Romanian law, having its headquarters at 202K Splaiul Independentei, Bldg. B3, Entr. B, 4th floor, suite 26, District 6, Bucharest, Romania, sole identification number 38091006, registered with the Trade Registry under no. J40/14259/2017 ("" Ascendio "", "" Us ""), as a data controller, with respect to (i) your access to and use of our application (,, App ""), (ii) the access to, and use of our therapist platform available at the URL https://specialist.im-fine.app (,, Platform ""), (iii) the access to, and use of our web database of healthcare professionals (as defined below) available at the URL https://im-fine.app/ro/psihologi-psihoterapeuti ("" Web Database ""), (iv) the access to, and use of our clinic platform available at the URL http://clinic.im-fine.app/ ("" Clinic Platform ""), (v) and the access to, and use of the content of the App, the Platform and the Web Database including of the services provided by Ascendio (collectively, "" Services "")."
bank card detail,we,"analytics, services","When you pay the subscription fee, we will process your bank card details (first and last name, card number, CCV, expiring date)."
call log file,computer system,,"Computer systems and software procedures used for the Platform's operation acquire, during their normal operation, some Personal Data (so-called log files ), the transmission of which is implicit in the use of internet communication protocols."
education,we,"analytics, services","In this case, we will need your first name, last name, phone number, email address, education (studies, certifications)."
email address,platform,,"The connection automatically causes the Platform to receive from Google the information you agreed to: email, first name, last name, profile picture."
email address,we,"analytics, services, advertising","During the provision of our services, we will use your email address and your phone number to notify you of any changes in the Terms and in connection with any other issues related to the performance of the contract between you and Ascendio.
During the provision of our services, we will use your email address and your phone number to notify you of any changes in the Terms of the App and in connection with any other issues related to the performance of the contract between you and Ascendio.
If you opt to receive such marketing messages, we will use your email to send you marketing messages about our activities and promotions.
In this case, in general, we will process the following Personal Data: first name, last name, email and any other information you voluntarily provide when you contact us.
In this case, we will need your email address.
In this case, we will need your first name, last name, phone number, email address, education (studies, certifications).
The connection automatically causes the App to receive from Google the information you agreed to: email, first name, last name, profile picture."
geolocation,we,"analytics, services, advertising","In such a case, we will use the location, the age range, and any other relevant Wellness Information you provided during the usage of our App."
image,we,"analytics, services, advertising","In such a case, we will use your nickname and image which, in case you consent, be displayed in your review and/or rating."
information you agree to,platform,,"The connection automatically causes the Platform to receive from Google the information you agreed to: email, first name, last name, profile picture."
information you agree to,we,"analytics, services, advertising","The connection automatically causes the App to receive from Apple the information you agreed to: Apple ID, email, first name, last name.
The connection automatically causes the App to receive from Google the information you agreed to: email, first name, last name, profile picture.
The connection automatically causes the Platform to receive from Google the information you agreed to: email, first name, last name, profile picture.
This information will be processed by us in order to offer you the possibility of creating the account and to the extent necessary to identify you in the context of the features offered by the App and to offer you the various features on our App.
This information will be processed by us in order to offer you the possibility of creating the account and to the extent necessary to identify you in the context of the features offered by the Platform and to offer you the various features on our Platform."
information you provide,we,"analytics, services, advertising","In this case, in general, we will process the following Personal Data: first name, last name, email and any other information you voluntarily provide when you contact us."
meeting detail,we,"analytics, services, advertising","In such a case, we will need your name, telephone number and meeting details."
nickname,we,"analytics, services, advertising","In such a case, we will use your nickname and image which, in case you consent, be displayed in your review and/or rating.
When you start using the App, we might collect your nickname, gender and age range, preferred language, city on which you want to see therapists"
option let,we,"analytics, services, advertising",We may also give you the option to let us know whether you are working with a mental health professional.
option of,we,"analytics, services, advertising","In order to improve the value of the Services for you, we may give you the option of providing certain information about your mood and goals for using the Services when you register and as you use the Services."
person name,we,"analytics, services, advertising","In such a case, we will need your name, telephone number and meeting details.
In this case, in general, we will process the following Personal Data: first name, last name, email and any other information you voluntarily provide when you contact us.
In this case, we will need your first name, last name, phone number, email address, education (studies, certifications).
In this case, we will process your first name, last name and address.
When you pay the subscription fee, we will process your bank card details (first and last name, card number, CCV, expiring date)."
personal information,authority competent,,"Privacy Policy

We may transfer Personal Data, as far as necessary, to the following categories of recipients:
We may transfer Personal Data, as far as necessary, to the following categories of recipients: public authorities, courts of law or arbitral tribunals, and authorities competent to investigate criminal offence."
personal information,company offer it service,,"Privacy Policy

We may transfer Personal Data, as far as necessary, to the following categories of recipients: companies offering IT services;"
personal information,computer system,,"Computer systems and software procedures used for the Platform's operation acquire, during their normal operation, some Personal Data (so-called log files ), the transmission of which is implicit in the use of internet communication protocols."
personal information,court of law,,"Privacy Policy

We may transfer Personal Data, as far as necessary, to the following categories of recipients:
We may transfer Personal Data, as far as necessary, to the following categories of recipients: public authorities, courts of law or arbitral tribunals, and authorities competent to investigate criminal offence."
personal information,marketing company,,"Privacy Policy

We may transfer Personal Data, as far as necessary, to the following categories of recipients: marketing companies;"
personal information,payment processor,,"Privacy Policy

We may transfer Personal Data, as far as necessary, to the following categories of recipients: payment processors;"
personal information,public authority,,"Privacy Policy

We may transfer Personal Data, as far as necessary, to the following categories of recipients:
We may transfer Personal Data, as far as necessary, to the following categories of recipients: public authorities, courts of law or arbitral tribunals, and authorities competent to investigate criminal offence."
personal information,subcontractor,,"Privacy Policy

We may transfer Personal Data, as far as necessary, to the following categories of recipients: subcontractors;"
