data_type,collector,purpose,text
UNSPECIFIED_DATA,Stripe,,"Stripe may, with your consent, store your information securely for future billing as authorized by you."
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"We may disclose information to third parties if you consent to us doing so, as well as in the following circumstances:"
UNSPECIFIED_DATA,analec,,"As you navigate our websites, ANALEC may collect information through the use of commonly-used information-gathering tools such as cookies and Web beacons."
UNSPECIFIED_DATA,we,"advertising, analytics, legal, security, services","By authorizing us to connect with an Integrated Service, you authorize us to access and store your name, email address(es) and other information that the Integrated Service makes available to us, and to use and disclose it in accordance with this Policy.
Irrespective of which country you reside in or supply information from, by using our services you authorize us to use your information in any country where we operate.
Legal Bases for Processing (for EEA & UK visitors only):

We need to process your data to comply with a legal obligation.
Privacy Policy

2. What information we collect about you
This means we may collect and use your information only where:
To respond to your requests

We use your contact information and other information shared with us via email and over other channels like chat and phone to respond to your requests.
We also use your information with your consent, including:
We collect the following information directly from you, or through the Services.
We may disclose information to third parties if you consent to us doing so, as well as in the following circumstances:
We may use a Visitor's or User's email address or other information - other than Client Data - to contact that Visitor or User (i) for administrative purposes such as customer service, to address intellectual property infringement, right of privacy violations or defamation issues related to the User or Client Data posted on the Service or (ii) with updates on promotions and events, relating to products and services offered by us and by third parties we work with.
We use the information - other than Client Data - to operate, maintain, enhance and provide all features of the Services, to provide the services and information that you request, to respond to comments and questions and to provide support to users of the Services.
We use your information for the following purposes:
We will retain and use information as necessary to comply with our legal obligations, resolve disputes, and enforce our agreements as follows:
When you use our mobile apps, we may collect certain information in addition to the information described elsewhere in this Policy.
With it, we collect: Browser information (type and language)
You may electronically submit data or information to the Services for hosting and processing purposes (""Customer Data"")."
access,we,"advertising, analytics, legal, security, services","The App will only use access to read, write, modify or control Gmail message bodies (including attachments), metadata, headers, and settings to provide a web email client that allows users to compose, send, read, and process emails and will not transfer this Gmail/Google data to others unless doing so is necessary to provide and improve these features, comply with applicable law, or as part of a merger, acquisition, or sale of assets."
browser information,we,"advertising, analytics, legal, security, services","With it, we collect: Browser information (type and language)"
browser language,we,"advertising, analytics, legal, security, services","We use website navigational information, IP address, browser type, browser language, referring URL, files accessed, errors generated, time zone, operating system and other visitor details collected in our log files to analyze trends, administer our website, track visitors' movements and to improve our website."
browser type,we,"advertising, analytics, legal, security, services","As is true of most websites, we gather certain information automatically and store it in log files.
This information may include internet protocol (IP) addresses, browser type, internet service provider (ISP), referring/exit pages, operating system, date/time stamp, and/or clickstream data.
We use website navigational information, IP address, browser type, browser language, referring URL, files accessed, errors generated, time zone, operating system and other visitor details collected in our log files to analyze trends, administer our website, track visitors' movements and to improve our website."
camera,we,"advertising, analytics, legal, security, services","Additionally, the application may contact the device storage location for storing attachments or access camera and photos to capture additional information for better service management for the Customer."
chat transcript,we,"advertising, analytics, legal, security, services","Chat Transcripts
If we communicate with you to offer support through any medium (Phone, Chat, and Email) we will collect and store the following information."
click tracking datum,we,"advertising, analytics, legal, security, services","We use your click-through tracking data for various purposes, including to help us determine interest in particular topics and measure the effectiveness of our customer communications."
click tracking url,we,"advertising, analytics, legal, security, services","In some of our email communications, we use a ""click-through tracking URL"" that, when clicked, sends you to a different web address, which logs your click, before redirecting you to your expected destination."
clickstream datum,we,"advertising, analytics, legal, security, services","As is true of most websites, we gather certain information automatically and store it in log files.
This information may include internet protocol (IP) addresses, browser type, internet service provider (ISP), referring/exit pages, operating system, date/time stamp, and/or clickstream data."
client data,UNSPECIFIED_ACTOR,,"These third parties may have access to, or process Personal Data or Client Data as part of providing those services for us."
client data,we,"advertising, analytics, legal, security, services","We process Client Data solely in accordance with the directions provided by the applicable contracting Entity or end-user (""User"")."
contact information,we,"advertising, analytics, legal, security, services","To respond to your requests

We use your contact information and other information shared with us via email and over other channels like chat and phone to respond to your requests."
cookie / pixel tag,UNSPECIFIED_ACTOR,analytics,"ANALEC and our partners use cookies or similar technologies (such as web beacons and JavaScript) to analyze trends, administer the website, track users' movements around the website, and to gather demographic information about our user base as a whole.
We and our third-party partners use technologies such as web beacons in analyzing trends, administering the website, tracking users' movements around the site, and gathering demographic information about our user base as a whole."
cookie / pixel tag,analec,analytics,"ANALEC and our partners use cookies or similar technologies (such as web beacons and JavaScript) to analyze trends, administer the website, track users' movements around the website, and to gather demographic information about our user base as a whole."
cookie / pixel tag,we,"advertising, analytics, legal, security, services","We and our third-party partners use technologies such as web beacons in analyzing trends, administering the website, tracking users' movements around the site, and gathering demographic information about our user base as a whole."
customer data,analec,"analytics, legal","In accordance with ANALEC's Terms of Service, ANALEC may access Customer Data only for the purpose described in our Terms of Use or as may be required by law."
data store in account,analec team,,"Data stored in your account is only accessed by the ANALEC team when performing the migration, or support services."
date,we,"advertising, analytics, legal, security, services","When you use the InsightsCRM Cloud application, we automatically collect Internet Protocol (""IP"") address, the date and time of your login and logout sessions."
date time stamp,we,"advertising, analytics, legal, security, services","As is true of most websites, we gather certain information automatically and store it in log files.
This information may include internet protocol (IP) addresses, browser type, internet service provider (ISP), referring/exit pages, operating system, date/time stamp, and/or clickstream data."
datum we collect about you during sign up,we,"advertising, analytics, legal, security, services","Data that we collect about you during your sign-up, and during your use of InsightsCRM, are stored on servers under our control in multiple regions around the world.
To facilitate our operations, we may transfer and access such information from around the world, including from other countries in which we have operations."
demographic information about user base as whole,UNSPECIFIED_ACTOR,analytics,"ANALEC and our partners use cookies or similar technologies (such as web beacons and JavaScript) to analyze trends, administer the website, track users' movements around the website, and to gather demographic information about our user base as a whole."
demographic information about user base as whole,analec,"analytics, legal","ANALEC and our partners use cookies or similar technologies (such as web beacons and JavaScript) to analyze trends, administer the website, track users' movements around the website, and to gather demographic information about our user base as a whole."
