data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"JobDiva, Inc. and its subsidiaries process data only in conformity to the below set of principles.
While JobDiva, Inc.'s clients control the data--which comprises resumes, CVs, contact information, identifiable information and other attributes of data subjects--JobDiva, Inc. and its subsidiaries process these data, meaning that JobDiva, Inc. supplies the technological means for holding, entering, updating, organizing, delivering, transmitting, displaying and lastly protecting the data via security measures."
UNSPECIFIED_DATA,client of jobdiva,,No client of JobDiva is allowed to hold information or reach out to you based on information stored in JobDiva for anything other than employment-related opportunities.
UNSPECIFIED_DATA,jobdiva inc.,,"JobDiva, Inc. and its subsidiaries process data only in conformity to the below set of principles."
access,jobdiva inc.,,"JobDiva, Inc. also logs the access and activity of clients and maintains a report that could show unusual activity in the system."
contact information,UNSPECIFIED_ACTOR,,"JobDiva, Inc.'s software provides data subjects with identifiable contact information for any specified data holder (that is, the JobDiva, Inc client), with whom the data subject may then communicate with inquiries or complaints regarding their data."
cookie / pixel tag,UNSPECIFIED_ACTOR,"advertising, analytics, services","Additionally, JobDiva, Inc. and it subsidiaries use information collected through cookies to perform browsing conduct analytics, which helps JobDiva, Inc. and its subsidiaries better understand the browsing habits of their visitors.
In addition, JobDiva, Inc. and its subsidiaries collect cookies from visitors to the JobDiva website.
JobDiva's website uses cookies to deliver a richer and more personalized experience.
JobDiva, Inc.'s website also uses cookies to record information for marketing purposes, helping JobDiva, Inc. serve advertisements that are more precisely targeted to JobDiva, Inc.'s visitor base."
cookie / pixel tag,jobdiva inc.,,"In addition, JobDiva, Inc. and its subsidiaries collect cookies from visitors to the JobDiva website."
cookie / pixel tag,jobdiva website,analytics,"Additionally, JobDiva, Inc. and it subsidiaries use information collected through cookies to perform browsing conduct analytics, which helps JobDiva, Inc. and its subsidiaries better understand the browsing habits of their visitors.
By measuring and tracking visitors' navigational habits and preferences on the JobDiva website, JobDiva, Inc. ensures its marketing campaigns are seen by those for whom they are relevant and useful."
evidence,jobdiva inc. client,,"A JobDiva, Inc. client must provide the data subject and the relevant authority explanation and evidence, where possible, relating to their data protection practices."
evidence for claim about privacy practice,UNSPECIFIED_ACTOR,"advertising, analytics, services","JobDiva, Inc. and its subsidiaries will provide detailed evidence for all claims about its privacy practices."
evidence for claim about privacy practice,jobdiva inc.,,"JobDiva, Inc. and its subsidiaries will provide detailed evidence for all claims about its privacy practices."
marketing datum,Google,"advertising, analytics","However, marketing data might be shared organically with third parties, such as Google Analytics, in order to improve the accuracy of JobDiva, Inc.'s marketing and browsing conduct analytics."
payroll information,UNSPECIFIED_ACTOR,"advertising, analytics, services",These companies process payroll and human resources information.
payroll information about they,jobdiva inc. client,,"Subsequently, JobDiva, Inc. clients can process payroll and benefit information about them by leveraging resources within JobDiva, Inc.
Subsequently, JobDiva, Inc. clients can process payroll and benefit information about them by utilizing resources within JobDiva."
personal information,UNSPECIFIED_ACTOR,"advertising, analytics, services","The JobDiva client should only transfer personal data to a third party when it relates to the recruiting lifecycle: such as screening you for real positions (for example, asking you to take a skills assessment on a testing tool where the client has assigned you a test) or for hiring you (for example, payroll platforms)."
personal information,jobdiva,,This Privacy Statement describes how JobDiva collects and uses the personal information you provide.
personal information,jobdiva inc.,,"In certain situations, JobDiva, Inc. may be required to disclose personal data in response to lawful requests by public authorities, including to meet national security or law enforcement requirements.
JobDiva, Inc. may also disclose your personal information as required by law, such as to comply with a subpoena or other legal process, when we believe in good faith that such disclosure is necessary to protect our rights, protect your safety or the safety of others, investigate fraud or respond to a government request."
resume of job seeker,staffing professional,,"Using JobDiva, staffing professionals--JobDiva, Inc.'s clients--can hire applicants or submit the resumes of job seekers to their own customers for consideration."
traffic to jobdiva,we,,Cookies help us analyze visitors' traffic to JobDiva.
