data_type,collector,purpose,text
Facebook,we,"legal, advertising, services",Services like Facebook Connect give you the option to post information about your activities on this Web site to your profile page to share with others within your network.
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,advertising,Our third party partner may use technologies such as cookies to gather information about your activities on this site and other sites in order to provide you advertising based upon your browsing activities and interests.
UNSPECIFIED_DATA,employer,,"When an individual applies to a job at a JobScore Network employer, JobScore will share a Jobseeker's information with the Employer."
UNSPECIFIED_DATA,jobscore,,"When an individual applies to a job at a JobScore Network employer, JobScore will share a Jobseeker's information with the Employer."
UNSPECIFIED_DATA,we,legal,"We will retain and use your information as necessary to comply with our legal obligations, resolve disputes, and enforce our agreements.
We will retain your information for as long as your account is active or as needed to provide you services."
browser type,we,legal,"As is true of most web sites, we gather certain information automatically and store it in log files.
This information may include internet protocol (IP) addresses, browser type, internet service provider (ISP), referring/exit pages, operating system, date/time stamp, and/or clickstream data."
clickstream datum,we,legal,"As is true of most web sites, we gather certain information automatically and store it in log files.
This information may include internet protocol (IP) addresses, browser type, internet service provider (ISP), referring/exit pages, operating system, date/time stamp, and/or clickstream data."
cookie / pixel tag,UNSPECIFIED_ACTOR,"advertising, analytics","Our third party partner may use technologies such as cookies to gather information about your activities on this site and other sites in order to provide you advertising based upon your browsing activities and interests.
We JobScore and our partners use cookies or similar technologies to analyze trends, administer the website, track users' movements around the website, and to gather demographic information about our user base as a whole."
cookie / pixel tag,we jobscore,analytics,"We JobScore and our partners use cookies or similar technologies to analyze trends, administer the website, track users' movements around the website, and to gather demographic information about our user base as a whole."
credit / debit card number,credit card processor,services,JobScore will only share your credit card information with a credit card and/or shipping processor for the limited purpose of processing your credit card transaction.
credit / debit card number,jobscore,services,JobScore will only share your credit card information with a credit card and/or shipping processor for the limited purpose of processing your credit card transaction.
date time stamp,we,legal,"As is true of most web sites, we gather certain information automatically and store it in log files.
This information may include internet protocol (IP) addresses, browser type, internet service provider (ISP), referring/exit pages, operating system, date/time stamp, and/or clickstream data."
demographic information about user base as whole,UNSPECIFIED_ACTOR,"advertising, analytics","We JobScore and our partners use cookies or similar technologies to analyze trends, administer the website, track users' movements around the website, and to gather demographic information about our user base as a whole."
demographic information about user base as whole,we jobscore,analytics,"We JobScore and our partners use cookies or similar technologies to analyze trends, administer the website, track users' movements around the website, and to gather demographic information about our user base as a whole."
education history,we,legal,"We may collect the following personal information from you about your contacts or friends: email address, mailing address, phone number, education history, and job history."
email address,we,legal,"We may collect the following personal information from you about your contacts or friends: email address, mailing address, phone number, education history, and job history."
email address,we,"legal, advertising, services","We may collect the following personal information from you about your contacts or friends: email address, mailing address, phone number, education history, and job history."
information about,jobscore,services,Upon request JobScore will provide you with information about whether we hold any of your personal information.
information it collect,jobscore,services,JobScore may also use any information it collects to improve the Services.
information it collect from you,jobscore,"services, analytics","JobScore may also use any information it collects from you for summary and statistical purposes and may share the foregoing to third parties, even if an Employer or Jobseeker Opts-Out."
information relate to discussion,jobscore,"services, analytics","JobScore also collects information related to discussions, chats, and other correspondence through the JobScore website."
information relate to overall use of service,jobscore,"services, analytics",JobScore also collects information related to your overall use of the Services.
information we collect from you about contact,we,"legal, advertising, services","We also use this collected information to respond to you when you contact us.
We use the information we collect from you about your contacts or friends: to deliver the Services to you whether you are an Employer or Jobseeker, to send you marketing communications when appropriate, to communicate with you about changes to the Services, and to notify you about any changes to our policies and Terms."
information you provide,jobscore,"services, analytics","Though JobScore makes every effort to preserve your privacy, JobScore may disclose information you provide if required to do so by law, such as to comply with a subpoena, bankruptcy proceedings, or other legal process or if JobScore has a good faith belief that disclosure is necessary to (1) comply with the law or with legal process served on us or (2) protect and defend JobScore's rights or property."
ip address,jobscore,"services, analytics",JobScore may also log IP addresses for systems administration purposes.
ip address,social media,,"Our Web site includes Social Media Features, such as the Facebook Like button and Widgets, such as the Share this button or interactive mini-programs that run on our site.
These Features may collect your IP address, which page you are visiting on our site, and may set a cookie to enable the Feature to function properly."
ip address,we,"legal, advertising, services","As is true of most web sites, we gather certain information automatically and store it in log files.
This information may include internet protocol (IP) addresses, browser type, internet service provider (ISP), referring/exit pages, operating system, date/time stamp, and/or clickstream data."
job history,we,"legal, advertising, services","We may collect the following personal information from you about your contacts or friends: email address, mailing address, phone number, education history, and job history."
non - financial information,UNSPECIFIED_ACTOR,"advertising, analytics","In addition, JobScore may enter into partnerships with third parties that provide products and services related to JobScore's Services that may be of interest to you (""Partners"") and would therefore share non-financial information with such Partners."
non - financial information,jobscore,"services, analytics","In addition, JobScore may enter into partnerships with third parties that provide products and services related to JobScore's Services that may be of interest to you (""Partners"") and would therefore share non-financial information with such Partners."
option,UNSPECIFIED_ACTOR,"advertising, analytics","For certain Services, you can log in using sign-in services such as an Open ID provider.
These services will authenticate your identity and provide you the option to share certain personal information with us such as your name and email address to pre-populate our sign up form."
phone number,we,"legal, advertising, services","We may collect the following personal information from you about your contacts or friends: email address, mailing address, phone number, education history, and job history."
postal address,we,"legal, advertising, services","We may collect the following personal information from you about your contacts or friends: email address, mailing address, phone number, education history, and job history."
preference datum,jobscore,"services, analytics","JobScore may also use preference data to tailor your experience at JobScore's website, showing you content that JobScore thinks you might be interested in, and displaying content according to preferences."
wide variety,jobscore,"services, analytics","JobScore collects a wide variety of Information as described in this Section that it uses to provide its membership services and general information services on its website (""Services"")."
