data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"In Short:  We only share information with the following third parties.
Laxis, Inc. has disclosed the following categories or personal information to third parties fora business or commercial purpose in the preceding twelve (12) months: Category B.
We may share your data with third-party vendors, service providers, contractors or agents who perform services for us or on our behalf and require access to such information to do that work.
We only share and disclose your information with the following third parties."
UNSPECIFIED_DATA,contractor,,"We may share your data with third-party vendors, service providers, contractors or agents who perform services for us or on our behalf and require access to such information to do that work."
UNSPECIFIED_DATA,service provider,,"We may share your data with third-party vendors, service providers, contractors or agents who perform services for us or on our behalf and require access to such information to do that work."
UNSPECIFIED_DATA,we,"advertising, analytics, legal, security, services","For instance, depending on the type of request you submit, we may ask you to provide certain information so that we can match the information you provide with the information we already have on file, or we may contact you through a communication method (e.g. phone or email) that you have previously provided to us.
However, we may retain some information in our files to prevent fraud, troubleshoot problems, assist with any investigations, enforce our Terms of Use and/or comply with applicable legal requirements.
If you use our App, we also collect the following information:  Mobile Device Access.
In Short:  We keep your information for as long as necessary to fulfill the purposes outlined in this privacy notice unless otherwise required by law.  We will only keep your personal information for as long as it is necessary for the purposes set out in this privacy notice, unless a longer retention period is required or permitted by law (such as tax, accounting or other legal requirements).
In Short:  We may use cookies and other tracking technologies to collect and store your information.
In Short:  We only share information with the following third parties.
In Short:  We only share information with your consent, to comply with laws, to provide you with services, to protect your rights, or to fulfill business obligations.
In Short: We process your information for purposes based on legitimate business interests, the fulfillment of our contract with you, compliance with our legal obligations, and/or your consent.
Like many businesses, we also collect information through cookies and similar technologies.
More specifically, we may need to process your data or share your personal information in the following situations:  Business Transfers.
We automatically collect certain information when you visit, use or navigate the Services.
We collect email addresses; usernames; passwords; billing addresses; debit/credit card numbers; names; phone numbers; and other similar information.
We may disclose your information where we are legally required to do so in order to comply with applicable law, governmental requests, a judicial proceeding, court order, or legal process, such as in response to a court order or a subpoena (including in response to public authorities to meet national security or law     enforcement requirements).  Vital Interests:
We may disclose your information where we believe it is necessary to investigate, prevent, or take action regarding potential violations of our policies, suspected fraud, situations involving potential threats to the safety of any person and     illegal activities, or as evidence in litigation in which we are involved.
We may process your data if you have given us specific consent to use your personal information in a specific purpose.
We may share or transfer your information in connection with, or during negotiations of, any merger, sale of company assets, financing, or acquisition of all or a portion of our business to another company.
We may share your data with third-party vendors, service providers, contractors or agents who perform services for us or on our behalf and require access to such information to do that work.
We may use and store this information in aggregated and anonymized form so that it is not associated with individual end users and does not include personal information.
We may use your information as part of our efforts to keep our Services safe and secure (for example, for fraud monitoring and prevention).  To enforce our terms, conditions and policies for business purposes, to comply with legal and regulatory requirements or in connection with our contract.
We may use your information for other business purposes, such as data analysis, identifying usage trends, determining the effectiveness of our promotional campaigns and to evaluate and improve our Services, products, marketing and your experience.
We may use your information for the purposes of managing our account and keeping it in working order.
We may use your information in order to enable user-to-user communications with each user's consent.
We may use your information to request feedback and to contact you about your use of our Services.  To enable user-to-user communications.
We only share and disclose your information with the following third parties."
cookie / pixel tag,we,"advertising, analytics, legal, security, services","In Short:  We may use cookies and other tracking technologies to collect and store your information.
We may use cookies and similar tracking technologies (like web beacons and pixels) to access or store information."
credit / debit card number,we,"advertising, analytics, legal, security, services",We collect email addresses; usernames; passwords; billing addresses; debit/credit card numbers; names; phone numbers; and other similar information.
datum we hold,we,"advertising, analytics, legal, security, services",We may process or share your data that we hold based on the following legal basis:  Consent:
email address,we,"advertising, analytics, legal, security, services",We collect email addresses; usernames; passwords; billing addresses; debit/credit card numbers; names; phone numbers; and other similar information.
feedback,we,"advertising, analytics, legal, security, services",We may use your information to request feedback and to contact you about your use of our Services.  To enable user-to-user communications.
information about you,we,"advertising, analytics, legal, security, services","In Short:  If you choose to register or log in to our services using asocial media account, we may have access to certain information about you."
information describe in section we handle social login,we,"advertising, analytics, legal, security, services","If you choose to register in this way, we will collect the information described in the section called""HOW DO WE HANDLE YOUR SOCIAL LOGINS"" below."
information regard mobile device,we,"advertising, analytics, legal, security, services","Information collected through our App  In Short: We collect information regarding your mobile device, push notifications, when you use our App."
information we collect,we,"advertising, analytics, legal, security, services",We use the information we collect or receive:  To facilitate account creation and logon process.
information we receive,we,"advertising, analytics, legal, security, services",We will use the information we receive only for the purposes that are described in this privacy notice or that are otherwise made clear to you on the relevant Services.
