data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"As is true of most other websites, LeadAngel's website collects certain information automatically and stores it in log files.
Privacy Policy

Effective Date: Jan 01. 2023

 Sharing information with third parties
Privacy Policy

Sharing information with third parties"
aggregate / deidentified / pseudonymized information,we,,"We may also gather aggregated data about our services and website visitors and disclose the results of such aggregated (but not personally identifiable) information to our partners, service providers, advertisers, and/or other third parties for marketing or promotional purposes."
broad demographic information assist we in,we,,"We may also use your IP address to help diagnose problems with our server and to administer our website, analyze trends, track visitor movements, and gather broad demographic information that assists us in identifying visitor preferences."
browser type,we,"analytics, services","The information may include internet protocol (IP) addresses, the region or general location where your computer or device is accessing the internet, browser type, operating system and other usage information about the use of LeadAngel's website, including a history of the pages you view.
We use this information to help us design our site to better suit our users' needs."
cookie / pixel tag,we,"analytics, services",We use cookies and similar technologies on our website.
date provide,leadangel,,"If access cannot be provided within a reasonable time frame, LeadAngel will provide you with a date when the information will be provided."
geolocation,we,"analytics, services","The information may include internet protocol (IP) addresses, the region or general location where your computer or device is accessing the internet, browser type, operating system and other usage information about the use of LeadAngel's website, including a history of the pages you view.
We use this information to help us design our site to better suit our users' needs."
ip address,we,"analytics, services","The information may include internet protocol (IP) addresses, the region or general location where your computer or device is accessing the internet, browser type, operating system and other usage information about the use of LeadAngel's website, including a history of the pages you view.
We may also use your IP address to help diagnose problems with our server and to administer our website, analyze trends, track visitor movements, and gather broad demographic information that assists us in identifying visitor preferences.
We use this information to help us design our site to better suit our users' needs."
personal information,leadangel,,"Depending on the circumstance, LeadAngel also collects and transfers to the U.S. personal data with consent; to perform a contract with you; or to fulfill a compelling legitimate interest of LeadAngel in a manner that does not outweigh your rights and freedoms.
When technically feasible, LeadAngel will--at your request--provide your personal data to you.
Your personal data is stored by the LeadAngel on its servers, and on the servers of the cloud-based database management services the LeadAngel engages, located in the United States."
personal information,we,"analytics, services, advertising","Privacy Policy

How we collect and use (process) your personal information
We may also collect your personal data from a third party website (e.g. LinkedIn)
We use this information to provide prospects and customers with services."
personal information about individual,leadangel,,"From time to time, LeadAngel receives personal information about individuals from third parties."
personal information about website visitor,leadangel,,LeadAngel collects personal information about its website visitors and customers.
prospect datum,leadangel,,LeadAngel retains prospect data until such time as it no longer has business value and is purged from LeadAngel systems.
region,we,"analytics, services, advertising","The information may include internet protocol (IP) addresses, the region or general location where your computer or device is accessing the internet, browser type, operating system and other usage information about the use of LeadAngel's website, including a history of the pages you view.
We use this information to help us design our site to better suit our users' needs."
result,UNSPECIFIED_ACTOR,advertising,"We may also gather aggregated data about our services and website visitors and disclose the results of such aggregated (but not personally identifiable) information to our partners, service providers, advertisers, and/or other third parties for marketing or promotional purposes."
result,advertiser,advertising,"We may also gather aggregated data about our services and website visitors and disclose the results of such aggregated (but not personally identifiable) information to our partners, service providers, advertisers, and/or other third parties for marketing or promotional purposes."
result,service provider,advertising,"We may also gather aggregated data about our services and website visitors and disclose the results of such aggregated (but not personally identifiable) information to our partners, service providers, advertisers, and/or other third parties for marketing or promotional purposes."
result,we,"analytics, services, advertising","We may also gather aggregated data about our services and website visitors and disclose the results of such aggregated (but not personally identifiable) information to our partners, service providers, advertisers, and/or other third parties for marketing or promotional purposes."
service datum,leadangel,,"The LeadAngel retains service data for the duration of the customer's business relationship with the LeadAngel and for a period of time thereafter, to analyze the data for LeadAngel's own operations, and for historical and archiving purposes associated with LeadAngel's services."
