data_type,collector,purpose,text
UNSPECIFIED_DATA,service provider,,Our service providers are only provided with the information they need to perform their designated functions and are not authorized to use or disclose personal information for their own marketing or other purposes.
UNSPECIFIED_DATA,we,"advertising, analytics, services","HOW WE SECURE AND RETAIN YOUR DATA
If you sign-up to receive email marketing communications such as newsletters, we collect your email address as well as other information on an optional basis to help us tailor our communications to you.
To create your account, we require certain information such as your first and last name, email address and a password that you create, as well as the information required to integrate with and connect to your chosen calendar software.
We use this information to create and administer your account and facilitate your use of the App.
We use your information to understand the activities and events that are important to you, and to make targeted recommendations for how to best optimize your time."
email address,we,"advertising, analytics, services","If you sign-up to receive email marketing communications such as newsletters, we collect your email address as well as other information on an optional basis to help us tailor our communications to you.
To create your account, we require certain information such as your first and last name, email address and a password that you create, as well as the information required to integrate with and connect to your chosen calendar software.
We use this information to create and administer your account and facilitate your use of the App."
engagement datum,we,"advertising, analytics, services","We may also use a third party such as Google Analytics to help us gather and analyze information about the areas visited on the Website (such as the pages most read, time spent, search terms and other engagement data) in order to evaluate and improve the user experience and the Website."
geolocation,we,"advertising, analytics, services","With your consent, we may also collect your location information by accessing your mobile device's GPS coordinates so that we can allow you to make changes to event locations and to manage and view travel time and directions to event locations."
information obtain through survey,we,"advertising, analytics, services","The information obtained through our surveys is used in an aggregated, de-identified form.
We use this information to help us understand our users and to enhance our website, products and services."
information require,we,"advertising, analytics, services","To create your account, we require certain information such as your first and last name, email address and a password that you create, as well as the information required to integrate with and connect to your chosen calendar software.
We use this information to create and administer your account and facilitate your use of the App."
ip address,we,"advertising, analytics, services","However, we collect the IP (Internet protocol) addresses of all visitors to our Website and other related information such as page requests, browser type, operating system and average time spent on our Website."
password,we,"advertising, analytics, services","To create your account, we require certain information such as your first and last name, email address and a password that you create, as well as the information required to integrate with and connect to your chosen calendar software.
We use this information to create and administer your account and facilitate your use of the App."
person name,we,"advertising, analytics, services","To create your account, we require certain information such as your first and last name, email address and a password that you create, as well as the information required to integrate with and connect to your chosen calendar software.
We use this information to create and administer your account and facilitate your use of the App."
personal information,UNSPECIFIED_ACTOR,,Your personal information will be transferred (or otherwise made available) to certain third party service providers that provide services on our behalf.
personal information,we,"advertising, analytics, services, legal, security","WHEN WE ACCESS AND SHARE YOUR PERSONAL INFORMATION
We may collect personal information when you:
We may request certain personal information for the purpose of verifying the identity of the individual seeking access to his or her personal information records.
We use this information to facilitate your use of the App and its features, including to allow you to view and manage your calendar events, respond to and send meeting invitations, and use the various calendar management functions provided by the App.
When required under applicable law: We and our Canadian, US and other foreign service providers may provide your personal information in response to a search warrant to other legally valid inquiry or order, or to another organization for the purposes of investigating a breach of an agreement or contravention of law or detecting, suppressing or preventing fraud, or as otherwise may be required or permitted by applicable Canadian, U.S. or other law or legal process, which may include lawful access by US or foreign courts, law enforcement or other government authorities.
When you use our App to view, manage, and analyze your calendar, we will collect the following personal information: calendar data, including meeting dates and times, the names and emails of meeting attendees, meeting locations and addresses, and any description of meetings contained in the calendar."
personal information we need,we,"advertising, analytics, services, legal, security",We only collect the personal information we need and only store it for as little time as necessary to meet the purposes for which it was collected.
system configuration information,we,"advertising, analytics, services, legal, security","This data includes the type of device hardware and operating system, unique device identifiers associated with your device, your mobile carrier, IP address, language settings, and the date and time the App accesses our servers, as well as other system configuration information and metadata associated with electronic interactions between your devices and our App.
We use this information to monitor and improve the quality of our App, to tailor your in-App experience, and to manage and analyze data in order to better understand our users."
