data_type,collector,purpose,text
activity,meetingscience,,MeetingScience collects the recipient's activities with regard to the rating invite.
browser type,analytic provider,,"We use third party analytics services in order to better understand user engagement with the Services.
When a user browses or uses the Services, these third party analytics services may collect the user's IP address, browser type, and approximate location (based on the IP address)."
browsing / search history,we,,"Through cookies we place on your browser or device, we may collect information about your online activity after you leave our Services."
coarse geolocation,analytic provider,,"We use third party analytics services in order to better understand user engagement with the Services.
When a user browses or uses the Services, these third party analytics services may collect the user's IP address, browser type, and approximate location (based on the IP address)."
confirmation,we,,"Also, we may receive a confirmation when you open an email from us."
cookie / pixel tag,we,,"They may also use web logs or web beacons and may set and access cookies on your computer or other device.
This website stores cookies on your computer.
We use these cookies to collect information on how you interact with our website and allow us to remember you.
When a user browses or uses the Services, these third party analytics services may collect the user's IP address, browser type, and approximate location (based on the IP address)."
cookie / pixel tag,we,"analytics, services","They may also use web logs or web beacons and may set and access cookies on your computer or other device.
This website stores cookies on your computer.
We use these cookies to collect information on how you interact with our website and allow us to remember you.
When a user browses or uses the Services, these third party analytics services may collect the user's IP address, browser type, and approximate location (based on the IP address)."
email address,UNSPECIFIED_ACTOR,analytics,"In order to refine our understanding of user engagement, we provide these Services with a user's name and email address (which we collected as part of the user's account registration process)."
email address,we,analytics,"For instance: When you rate a meeting using the Services we collect the meeting attendees' name and email address so that we can display that information in the rating invites, and store it to enable some of the Services and for debugging purposes.
In order to refine our understanding of user engagement, we provide these Services with a user's name and email address (which we collected as part of the user's account registration process)."
information on,we,"analytics, services","We use these cookies to collect information on how you interact with our website and allow us to remember you.
We use this information in order to improve and customize your browsing experience and for analytics and metrics about our visitors."
information you provide to we,we,"analytics, services",We receive and store any information you knowingly provide to us.
internet activity,we,"analytics, services","Through cookies we place on your browser or device, we may collect information about your online activity after you leave our Services."
ip address,analytic provider,,"We use third party analytics services in order to better understand user engagement with the Services.
When a user browses or uses the Services, these third party analytics services may collect the user's IP address, browser type, and approximate location (based on the IP address)."
password,we,"analytics, services",We store passwords with md5 encryption and not in plaintext.
person name,UNSPECIFIED_ACTOR,analytics,"In order to refine our understanding of user engagement, we provide these Services with a user's name and email address (which we collected as part of the user's account registration process)."
person name,we,"analytics, services","For instance: When you rate a meeting using the Services we collect the meeting attendees' name and email address so that we can display that information in the rating invites, and store it to enable some of the Services and for debugging purposes.
In order to refine our understanding of user engagement, we provide these Services with a user's name and email address (which we collected as part of the user's account registration process)."
personal information,UNSPECIFIED_ACTOR,"analytics, services","However, we may share your Personal Information with third parties as described in this section:
In certain cases, we may also share some Personal Information with third parties, but only as described below.
We employ other companies and people to perform tasks on our behalf and need to share your information with them, including in some cases the Personal Information you have provided to us, in order to make the Services available to you."
personal information,we,"analytics, services","However, we may share your Personal Information with third parties as described in this section:
In addition, we collect Personal Information you submit to us, for example by completing a form on https://meetingscience.io .
In certain cases, we may also share some Personal Information with third parties, but only as described below.
We gather various types of Personal Information from our users, as explained in more detail below, and we use this Personal Information in order to make our Services available to you, to contact you, and to better understand how you use the Services.
We neither rent nor sell your Personal Information to anyone."
preference on browser,we,"analytics, services","We may use this data to customize content for you that we think you might like, based on your usage patterns, and generally to improve the Services.
You may be able to change the preferences on your browser or device to prevent or limit your device's acceptance of cookies, but this may prevent you from taking advantage of some of our features."
web log,we,"analytics, services","They may also use web logs or web beacons and may set and access cookies on your computer or other device.
When a user browses or uses the Services, these third party analytics services may collect the user's IP address, browser type, and approximate location (based on the IP address)."
