data_type,collector,purpose,text
UNSPECIFIED_DATA,modern hire,services,"From time to time, Modern Hire may also use ""cookies,"" ""web beacons"" or similar technology for the convenience of Users and to enhance Users experience using the Services."
aggregate / deidentified / pseudonymized information,UNSPECIFIED_ACTOR,,"Modern Hire may also disclose aggregate anonymous information to clients, business partners, merchants, advertisers, investors, potential buyers and other third parties if we deem such disclosure, in our discretion, to have sound business reasons or justification."
aggregate / deidentified / pseudonymized information,advertiser,,"Modern Hire may also disclose aggregate anonymous information to clients, business partners, merchants, advertisers, investors, potential buyers and other third parties if we deem such disclosure, in our discretion, to have sound business reasons or justification."
aggregate / deidentified / pseudonymized information,business partner,,"Modern Hire may also disclose aggregate anonymous information to clients, business partners, merchants, advertisers, investors, potential buyers and other third parties if we deem such disclosure, in our discretion, to have sound business reasons or justification."
aggregate / deidentified / pseudonymized information,merchant,,"Modern Hire may also disclose aggregate anonymous information to clients, business partners, merchants, advertisers, investors, potential buyers and other third parties if we deem such disclosure, in our discretion, to have sound business reasons or justification."
aggregate / deidentified / pseudonymized information,modern hire,services,"Modern Hire may also collect non-personal and anonymous information to be used in an aggregate fashion.
Modern Hire may also disclose aggregate anonymous information to clients, business partners, merchants, advertisers, investors, potential buyers and other third parties if we deem such disclosure, in our discretion, to have sound business reasons or justification."
candidate personal datum,modern hire,"services, advertising, analytics",Modern Hire collects Candidate Personal Data to provide services to Employers to assist them in evaluating such Candidates for employment.
cookie / pixel tag,modern hire,"services, advertising, analytics","From time to time, Modern Hire may also use ""cookies,"" ""web beacons"" or similar technology for the convenience of Users and to enhance Users experience using the Services."
non-personal information,modern hire,"services, advertising, analytics",Modern Hire may also collect non-personal and anonymous information to be used in an aggregate fashion.
only truthful information,data subject,,"In making modifications to their Personal Data, Data Subjects must provide only truthful, complete, and accurate information."
personal information,UNSPECIFIED_ACTOR,,"Except as otherwise provided herein, Modern Hire discloses Personal Information only to Third Parties who reasonably need to know such data and not for other purposes.
If a Modern Hire business line or the entire business, or a substantial portion thereof, is acquired or transferred, whether by merger, consolidation or purchase of a substantial portion of assets, Modern Hire may disclose and transfer Users' Personal Data to the acquiring third party.
Modern Hire may also disclose Personal Data and aggregate anonymous information to those businesses, divisions, and units that are affiliated with Modern Hire.
Modern Hire may also disclose Users' Personal Data to third parties when we believe, in good faith and in our sole discretion, that such disclosure is reasonably necessary to (a) enforce or apply the terms and conditions of the Services; (b) comply with legal or regulatory requirements; (c) protect the rights, property or safety of us, our users or other third parties; or (d) prevent a crime or protect national security.
Modern Hire may disclose Personal Data and aggregate anonymous information to other users of the Services (for example, information of Candidates to Employers) and to companies, agents, contractors, or others engaged to perform functions on Modern Hire's behalf."
personal information,contractor,,"Modern Hire may disclose Personal Data and aggregate anonymous information to other users of the Services (for example, information of Candidates to Employers) and to companies, agents, contractors, or others engaged to perform functions on Modern Hire's behalf."
personal information,division,,"Modern Hire may also disclose Personal Data and aggregate anonymous information to those businesses, divisions, and units that are affiliated with Modern Hire."
personal information,modern hire,"services, advertising, analytics","Except as otherwise provided herein, Modern Hire discloses Personal Information only to Third Parties who reasonably need to know such data and not for other purposes.
If a Modern Hire business line or the entire business, or a substantial portion thereof, is acquired or transferred, whether by merger, consolidation or purchase of a substantial portion of assets, Modern Hire may disclose and transfer Users' Personal Data to the acquiring third party.
Modern Hire may also disclose Personal Data and aggregate anonymous information to those businesses, divisions, and units that are affiliated with Modern Hire.
Modern Hire may also disclose Users' Personal Data to third parties when we believe, in good faith and in our sole discretion, that such disclosure is reasonably necessary to (a) enforce or apply the terms and conditions of the Services; (b) comply with legal or regulatory requirements; (c) protect the rights, property or safety of us, our users or other third parties; or (d) prevent a crime or protect national security.
Modern Hire may collect Personal Data of Users in connection with the Services.
Modern Hire may disclose Personal Data and aggregate anonymous information to other users of the Services (for example, information of Candidates to Employers) and to companies, agents, contractors, or others engaged to perform functions on Modern Hire's behalf."
personal information,unit,,"Modern Hire may also disclose Personal Data and aggregate anonymous information to those businesses, divisions, and units that are affiliated with Modern Hire."
recruiter personal datum,modern hire,"services, advertising, analytics",Modern Hire collects Recruiter Personal Data to facilitate the Recruiter's use of the Services.
relate information use for system administration purpose,modern hire,"services, advertising, analytics","For example, Modern Hire may collect system-related information to be used for system administration purposes, to help diagnose problems, to monitor traffic patterns, to determine which services are used most frequently and to assess site usage."
user information,modern hire,"services, advertising, analytics, legal","In general, Modern Hire collects User information to provide the following services:"
