data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"Privacy and Personal Data Protection Policy

Who is this Policy for?

When another company uses Modjo, RINGO acts as a processor.
The information about the processing of personal data that this other company performs through Modjo is provided directly by that company and may be different from that provided in this Policy."
base recruitment software,outside organization,,"In the course of recruiting, RINGO may share candidate information with outside organizations involved in recruiting candidates (subcontractors) such as recruiting firms or SaaS-based recruitment software."
candidate information,outside organization,,"In the course of recruiting, RINGO may share candidate information with outside organizations involved in recruiting candidates (subcontractors) such as recruiting firms or SaaS-based recruitment software."
candidate information,ringo,,"In the course of recruiting, RINGO may share candidate information with outside organizations involved in recruiting candidates (subcontractors) such as recruiting firms or SaaS-based recruitment software."
candidate information,subcontractor,,"In the course of recruiting, RINGO may share candidate information with outside organizations involved in recruiting candidates (subcontractors) such as recruiting firms or SaaS-based recruitment software."
cookie / pixel tag,we,analytics,"To collect and process tracking data on our sites, we use cookies; to better understand how they work and what they are used for, you can review our Cookie Policy available at: https: //www.modjo.ai/legals/cookie-policy"
livenote,country outside european union,,"Livenotes
Privacy and Personal Data Protection Policy

Is your personal data transferred to countries outside the European Union?"
log file,we,analytics,"When you browse our websites and services, we may also collect: log files and statistics relating to actions taken on our sites and services;"
note taking,we,analytics,"To achieve these goals, we use features such as note-taking, translation of recordings and intelligent summaries of exchanges."
person name,UNSPECIFIED_ACTOR,,"In the context of its commercial prospecting operations, RINGO may share with a partner the names of client companies or prospects (legal entities) that they have in common."
person name,ringo,,"In the context of its commercial prospecting operations, RINGO may share with a partner the names of client companies or prospects (legal entities) that they have in common."
personal information,country outside european union,,"Privacy and Personal Data Protection Policy

Is your personal data transferred to countries outside the European Union?"
personal information,ringo,"advertising, analytics, security, services",RINGO collects personal data for the following purposes:
personal information,we,analytics,"The personal data we collect when you contact us, we contact you or you use our services may include, but is not limited to, data relating to:"
phone call,we,"analytics, advertising, services",We record phone calls and video conferences between members of our recruiting team and job candidates for the following purposes:
recruiting firm,outside organization,,"In the course of recruiting, RINGO may share candidate information with outside organizations involved in recruiting candidates (subcontractors) such as recruiting firms or SaaS-based recruitment software."
statistic relate to action take on site,we,"analytics, advertising, services","When you browse our websites and services, we may also collect: log files and statistics relating to actions taken on our sites and services;"
telephone call,we,"analytics, advertising, services","We record telephone calls and video conferences between our employees and our customers and prospects for the following purposes:
We record telephone calls and video conferences between our employees and our prospects and clients, as well as between members of our recruitment team and job candidates."
translation of recording,we,"analytics, advertising, services","To achieve these goals, we use features such as note-taking, translation of recordings and intelligent summaries of exchanges."
video conference,we,"analytics, advertising, services",We record phone calls and video conferences between members of our recruiting team and job candidates for the following purposes:
webinar,country outside european union,,"Privacy and Personal Data Protection Policy

Is your personal data transferred to countries outside the European Union?
Webinars, Templates and Ebooks"
