data_type,collector,purpose,text
UNSPECIFIED_DATA,we,,"After such time, we will either delete or anonymize your Data or, if this is not possible, then we will securely store your Data and isolate it from any further use until deletion is possible.
We collect and use personal data for business purposes, including to: Send advertising or marketing communications about products, services, offers, promotions, rewards and events offered by WithMoxie.com (formerly hecticapp.com ) and others, and provide news and Data that we believe may be of interest to you;"
client name,we,,"The types of personal data we collect directly from you may include: your name, your clients names, username, password, email address, address, telephone number, credit card and debit card numbers (with expiration dates), demographic, psychographic and intent Data, personal preferences, clothing size (For contests, giveaways, and limited offer promos), and any other personal data that you choose to include in your profile or in other communications with us."
client name,we,"advertising, analytics, legal, security, services","The types of personal data we collect directly from you may include: your name, your clients names, username, password, email address, address, telephone number, credit card and debit card numbers (with expiration dates), demographic, psychographic and intent Data, personal preferences, clothing size (For contests, giveaways, and limited offer promos), and any other personal data that you choose to include in your profile or in other communications with us."
clothing size,we,,"The types of personal data we collect directly from you may include: your name, your clients names, username, password, email address, address, telephone number, credit card and debit card numbers (with expiration dates), demographic, psychographic and intent Data, personal preferences, clothing size (For contests, giveaways, and limited offer promos), and any other personal data that you choose to include in your profile or in other communications with us."
clothing size,we,"advertising, analytics, legal, security, services","The types of personal data we collect directly from you may include: your name, your clients names, username, password, email address, address, telephone number, credit card and debit card numbers (with expiration dates), demographic, psychographic and intent Data, personal preferences, clothing size (For contests, giveaways, and limited offer promos), and any other personal data that you choose to include in your profile or in other communications with us."
cookie / pixel tag,hecticapp.com,analytics,"Like many websites, WithMoxie.com (formerly Hecticapp.com) uses ""cookies"" to analyze visits to our website and help us improve our website and services."
cookie / pixel tag,we,,We retain Data derived from cookies and other tracking technologies for a reasonable period of time from the date such Data was created
credit / debit card number,we,,"The types of personal data we collect directly from you may include: your name, your clients names, username, password, email address, address, telephone number, credit card and debit card numbers (with expiration dates), demographic, psychographic and intent Data, personal preferences, clothing size (For contests, giveaways, and limited offer promos), and any other personal data that you choose to include in your profile or in other communications with us."
credit / debit card number,we,"advertising, analytics, legal, security, services","The types of personal data we collect directly from you may include: your name, your clients names, username, password, email address, address, telephone number, credit card and debit card numbers (with expiration dates), demographic, psychographic and intent Data, personal preferences, clothing size (For contests, giveaways, and limited offer promos), and any other personal data that you choose to include in your profile or in other communications with us."
datum about marketing preference,we,,"If you have elected to receive marketing communications from us, we retain Data about your marketing preferences for a reasonable period of time from the date you last expressed interest in our content, products, or services, such as when you last opened an email from us or ceased using your WithMoxie.com or Hecticapp.com account."
datum we collect,we,,We use the Data we collect only in compliance with this Privacy Policy.
demographic datum,we,,"The types of personal data we collect directly from you may include: your name, your clients names, username, password, email address, address, telephone number, credit card and debit card numbers (with expiration dates), demographic, psychographic and intent Data, personal preferences, clothing size (For contests, giveaways, and limited offer promos), and any other personal data that you choose to include in your profile or in other communications with us."
demographic datum,we,"advertising, analytics, legal, security, services","The types of personal data we collect directly from you may include: your name, your clients names, username, password, email address, address, telephone number, credit card and debit card numbers (with expiration dates), demographic, psychographic and intent Data, personal preferences, clothing size (For contests, giveaways, and limited offer promos), and any other personal data that you choose to include in your profile or in other communications with us."
email address,we,,"The types of personal data we collect directly from you may include: your name, your clients names, username, password, email address, address, telephone number, credit card and debit card numbers (with expiration dates), demographic, psychographic and intent Data, personal preferences, clothing size (For contests, giveaways, and limited offer promos), and any other personal data that you choose to include in your profile or in other communications with us."
email address,we,"advertising, analytics, legal, security, services","The types of personal data we collect directly from you may include: your name, your clients names, username, password, email address, address, telephone number, credit card and debit card numbers (with expiration dates), demographic, psychographic and intent Data, personal preferences, clothing size (For contests, giveaways, and limited offer promos), and any other personal data that you choose to include in your profile or in other communications with us."
expiration date,we,,"The types of personal data we collect directly from you may include: your name, your clients names, username, password, email address, address, telephone number, credit card and debit card numbers (with expiration dates), demographic, psychographic and intent Data, personal preferences, clothing size (For contests, giveaways, and limited offer promos), and any other personal data that you choose to include in your profile or in other communications with us."
expiration date,we,"advertising, analytics, legal, security, services","The types of personal data we collect directly from you may include: your name, your clients names, username, password, email address, address, telephone number, credit card and debit card numbers (with expiration dates), demographic, psychographic and intent Data, personal preferences, clothing size (For contests, giveaways, and limited offer promos), and any other personal data that you choose to include in your profile or in other communications with us."
news,we,,"We collect and use personal data for business purposes, including to: Send advertising or marketing communications about products, services, offers, promotions, rewards and events offered by WithMoxie.com (formerly hecticapp.com ) and others, and provide news and Data that we believe may be of interest to you;"
offer promo,we,,"The types of personal data we collect directly from you may include: your name, your clients names, username, password, email address, address, telephone number, credit card and debit card numbers (with expiration dates), demographic, psychographic and intent Data, personal preferences, clothing size (For contests, giveaways, and limited offer promos), and any other personal data that you choose to include in your profile or in other communications with us."
offer promo,we,"advertising, analytics, legal, security, services","The types of personal data we collect directly from you may include: your name, your clients names, username, password, email address, address, telephone number, credit card and debit card numbers (with expiration dates), demographic, psychographic and intent Data, personal preferences, clothing size (For contests, giveaways, and limited offer promos), and any other personal data that you choose to include in your profile or in other communications with us."
password,we,,"The types of personal data we collect directly from you may include: your name, your clients names, username, password, email address, address, telephone number, credit card and debit card numbers (with expiration dates), demographic, psychographic and intent Data, personal preferences, clothing size (For contests, giveaways, and limited offer promos), and any other personal data that you choose to include in your profile or in other communications with us."
password,we,"advertising, analytics, legal, security, services","The types of personal data we collect directly from you may include: your name, your clients names, username, password, email address, address, telephone number, credit card and debit card numbers (with expiration dates), demographic, psychographic and intent Data, personal preferences, clothing size (For contests, giveaways, and limited offer promos), and any other personal data that you choose to include in your profile or in other communications with us."
person name,we,,"The types of personal data we collect directly from you may include: your name, your clients names, username, password, email address, address, telephone number, credit card and debit card numbers (with expiration dates), demographic, psychographic and intent Data, personal preferences, clothing size (For contests, giveaways, and limited offer promos), and any other personal data that you choose to include in your profile or in other communications with us."
person name,we,"advertising, analytics, legal, security, services","The types of personal data we collect directly from you may include: your name, your clients names, username, password, email address, address, telephone number, credit card and debit card numbers (with expiration dates), demographic, psychographic and intent Data, personal preferences, clothing size (For contests, giveaways, and limited offer promos), and any other personal data that you choose to include in your profile or in other communications with us."
personal datum you choose,we,,"The types of personal data we collect directly from you may include: your name, your clients names, username, password, email address, address, telephone number, credit card and debit card numbers (with expiration dates), demographic, psychographic and intent Data, personal preferences, clothing size (For contests, giveaways, and limited offer promos), and any other personal data that you choose to include in your profile or in other communications with us."
personal datum you choose,we,"advertising, analytics, legal, security, services","The types of personal data we collect directly from you may include: your name, your clients names, username, password, email address, address, telephone number, credit card and debit card numbers (with expiration dates), demographic, psychographic and intent Data, personal preferences, clothing size (For contests, giveaways, and limited offer promos), and any other personal data that you choose to include in your profile or in other communications with us."
personal preference,we,"advertising, analytics, legal, security, services","The types of personal data we collect directly from you may include: your name, your clients names, username, password, email address, address, telephone number, credit card and debit card numbers (with expiration dates), demographic, psychographic and intent Data, personal preferences, clothing size (For contests, giveaways, and limited offer promos), and any other personal data that you choose to include in your profile or in other communications with us."
phone number,we,,"The types of personal data we collect directly from you may include: your name, your clients names, username, password, email address, address, telephone number, credit card and debit card numbers (with expiration dates), demographic, psychographic and intent Data, personal preferences, clothing size (For contests, giveaways, and limited offer promos), and any other personal data that you choose to include in your profile or in other communications with us."
phone number,we,"advertising, analytics, legal, security, services","The types of personal data we collect directly from you may include: your name, your clients names, username, password, email address, address, telephone number, credit card and debit card numbers (with expiration dates), demographic, psychographic and intent Data, personal preferences, clothing size (For contests, giveaways, and limited offer promos), and any other personal data that you choose to include in your profile or in other communications with us."
postal address,we,,"The types of personal data we collect directly from you may include: your name, your clients names, username, password, email address, address, telephone number, credit card and debit card numbers (with expiration dates), demographic, psychographic and intent Data, personal preferences, clothing size (For contests, giveaways, and limited offer promos), and any other personal data that you choose to include in your profile or in other communications with us."
postal address,we,"advertising, analytics, legal, security, services","The types of personal data we collect directly from you may include: your name, your clients names, username, password, email address, address, telephone number, credit card and debit card numbers (with expiration dates), demographic, psychographic and intent Data, personal preferences, clothing size (For contests, giveaways, and limited offer promos), and any other personal data that you choose to include in your profile or in other communications with us."
username,we,"advertising, analytics, legal, security, services","The types of personal data we collect directly from you may include: your name, your clients names, username, password, email address, address, telephone number, credit card and debit card numbers (with expiration dates), demographic, psychographic and intent Data, personal preferences, clothing size (For contests, giveaways, and limited offer promos), and any other personal data that you choose to include in your profile or in other communications with us."
