data_type,collector,purpose,text
UNSPECIFIED_DATA,we,,"MYCLASSADMIN PRIVACY POLICY

1. What Data we collect
We store the data relating to tests& templatescreated by you and also the new questions that you add while creating these tests."
android app,we,,Products : Android Apps
assignment,we,,Products : Assignments
attendance management software,we,,Products : Attendance Management Software
chat system software,we,,Products : Chat System Software
coaching class management software,we,,Products : Coaching Class Management Software
date of birth,we,,"We collect from you, data relating to your name, surname, address, telephone number , email address, date of birth& name of your institution."
email address,we,,"We collect from you, data relating to your name, surname, address, telephone number , email address, date of birth& name of your institution."
fee management system,we,,Products : Fee Management System
live interactive lectures with recording,we,,Products : Live Interactive Lectures with Recording
log datum,we,,Apart from this we also collect log data while you are using our website directly through the web pages.
omr paper correction,we,,Products : OMR Paper Correction
online exam software,we,,Products : Online Exam Software
paper generator,we,,Products : Paper Generator
person name,we,,"We collect from you, data relating to your name, surname, address, telephone number , email address, date of birth& name of your institution."
phone number,we,,"We collect from you, data relating to your name, surname, address, telephone number , email address, date of birth& name of your institution."
school management software,we,,Products : School Management Software
student class management software,we,,Products : Student / Class Management Software
student parent app,we,,Products : Student Parent App & Notification
