data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"In the case of financing, liquidation, acquisition or merger, we may share your information with our partners."
UNSPECIFIED_DATA,service provider,"advertising, analytics, services","We share your data with our service providers to assist us in providing certain services such as analyzing how the platform is used, processing of payment and settlement, email marketing and awareness."
UNSPECIFIED_DATA,we,"advertising, analytics, security, services","In the case of financing, liquidation, acquisition or merger, we may share your information with our partners.
We collect your information for various purposes such as to
We share your data with our service providers to assist us in providing certain services such as analyzing how the platform is used, processing of payment and settlement, email marketing and awareness.
We value your privacy and want to clarify how we collect, utilize and share your data."
bank account information,we,"advertising, analytics, security, services","Additionally, we collect your bank account information when you create paid events."
contact information,we,"advertising, analytics, security, services",We provided our contact details where you can report individual hosts or events that go against your policies.
device information,UNSPECIFIED_ACTOR,,"As you navigate through Nestuge, we and our third-party providers may collect information such as the pages you visit, search terms, device information, operating system and other user interactions."
device information,we,"advertising, analytics, security, services","As you navigate through Nestuge, we and our third-party providers may collect information such as the pages you visit, search terms, device information, operating system and other user interactions."
display name,host of event,,"With Event Hosts

When joining an event or class, we provide your information such as display name, phone number and email address to the host of such event."
display name,we,"advertising, analytics, security, services","With Event Hosts

When joining an event or class, we provide your information such as display name, phone number and email address to the host of such event."
email address,host of event,,"With Event Hosts

When joining an event or class, we provide your information such as display name, phone number and email address to the host of such event."
email address,we,"advertising, analytics, security, services","We ask you to provide information during your account creation such as name, email, and phone number.
With Event Hosts

When joining an event or class, we provide your information such as display name, phone number and email address to the host of such event."
extra information,platinum host,,We also provide platinum hosts the extra information they may require from their subscribers.
extra information,we,"advertising, analytics, security, services",We also provide platinum hosts the extra information they may require from their subscribers.
first digit,flutterwave,,"Flutterwave only provides us with the first six digits and last four digits of the card, card type, country of issue, and a token that represents your account."
first digit,we,"advertising, analytics, security, services","Flutterwave only provides us with the first six digits and last four digits of the card, card type, country of issue, and a token that represents your account."
information about you,we,"advertising, analytics, security, services","In order to protect our users' rights and integrity of the Company and the Platform, we may share information about you if we are reasonably required to comply with the local laws, legal process and government requests."
ip address,we,"advertising, analytics, security, services","While you make transactions on the Platform with the help of our third-party payment processor, Flutterwave, we collect information such as IP address, how and when the payment was made."
operating system,UNSPECIFIED_ACTOR,,"As you navigate through Nestuge, we and our third-party providers may collect information such as the pages you visit, search terms, device information, operating system and other user interactions."
operating system,we,"advertising, analytics, security, services","As you navigate through Nestuge, we and our third-party providers may collect information such as the pages you visit, search terms, device information, operating system and other user interactions."
person name,we,"advertising, analytics, security, services","We ask you to provide information during your account creation such as name, email, and phone number."
personal information,we,"advertising, analytics, security, services",We will only retain personal information on our servers for as long as is reasonably necessary as long as we are providing Services to you.
phone number,host of event,,"With Event Hosts

When joining an event or class, we provide your information such as display name, phone number and email address to the host of such event."
phone number,we,"advertising, analytics, security, services","We ask you to provide information during your account creation such as name, email, and phone number.
With Event Hosts

When joining an event or class, we provide your information such as display name, phone number and email address to the host of such event."
user interaction,UNSPECIFIED_ACTOR,,"As you navigate through Nestuge, we and our third-party providers may collect information such as the pages you visit, search terms, device information, operating system and other user interactions."
user interaction,we,"advertising, analytics, security, services","As you navigate through Nestuge, we and our third-party providers may collect information such as the pages you visit, search terms, device information, operating system and other user interactions."
