data_type,collector,purpose,text
UNSPECIFIED_DATA,we,,We will retain your Personal Data or information as needed to provide you services directly or through third party tools.
aggregate / deidentified / pseudonymized information,analytic provider,,We may also share anonymous data about your actions on our Websites with third-party service providers of analytics services.
aggregate / deidentified / pseudonymized information,we,,We may also share anonymous data about your actions on our Websites with third-party service providers of analytics services.
analytic information,we,,We collect analytics information when you use the Websites to help us improve them.
browser type,we,,"As is true of most websites, we gather certain information automatically.
This information may include Internet protocol (IP) addresses, browser type, Internet service provider (ISP), referring/exit pages, the files viewed on our site (e.g., HTML pages, graphics, etc.), operating system, date/time stamp, and/or clickstream data to analyze trends in the aggregate and administer the site."
clickstream datum,we,,"As is true of most websites, we gather certain information automatically.
This information may include Internet protocol (IP) addresses, browser type, Internet service provider (ISP), referring/exit pages, the files viewed on our site (e.g., HTML pages, graphics, etc.), operating system, date/time stamp, and/or clickstream data to analyze trends in the aggregate and administer the site."
cookie / pixel tag,UNSPECIFIED_ACTOR,"advertising, analytics","Our third party partner may use cookies or similar technologies in order to provide you advertising based upon your browsing activities and interests.
b. OMNIFY and its partners use cookies or similar technologies to analyze trends, administer the website, track users' movements around the website, and to gather demographic information about our user base as a whole."
cookie / pixel tag,omnify,analytics,"b. OMNIFY and its partners use cookies or similar technologies to analyze trends, administer the website, track users' movements around the website, and to gather demographic information about our user base as a whole."
date time stamp,we,,"As is true of most websites, we gather certain information automatically.
This information may include Internet protocol (IP) addresses, browser type, Internet service provider (ISP), referring/exit pages, the files viewed on our site (e.g., HTML pages, graphics, etc.), operating system, date/time stamp, and/or clickstream data to analyze trends in the aggregate and administer the site."
demographic information about user base as whole,UNSPECIFIED_ACTOR,"advertising, analytics","b. OMNIFY and its partners use cookies or similar technologies to analyze trends, administer the website, track users' movements around the website, and to gather demographic information about our user base as a whole."
demographic information about user base as whole,omnify,analytics,"b. OMNIFY and its partners use cookies or similar technologies to analyze trends, administer the website, track users' movements around the website, and to gather demographic information about our user base as a whole."
email address,we,advertising,"When you register for an account, we will use your name and email address to send periodic emails to you of both promotional and transactional in nature."
file view on site,we,advertising,"As is true of most websites, we gather certain information automatically.
This information may include Internet protocol (IP) addresses, browser type, Internet service provider (ISP), referring/exit pages, the files viewed on our site (e.g., HTML pages, graphics, etc.), operating system, date/time stamp, and/or clickstream data to analyze trends in the aggregate and administer the site."
information about,omnify,"analytics, services",Upon request OMNIFY will provide you with information about whether we hold any of your personal information.
ip address,we,advertising,"As is true of most websites, we gather certain information automatically.
This information may include Internet protocol (IP) addresses, browser type, Internet service provider (ISP), referring/exit pages, the files viewed on our site (e.g., HTML pages, graphics, etc.), operating system, date/time stamp, and/or clickstream data to analyze trends in the aggregate and administer the site."
notification,omnify,"analytics, services",OMNIFY will provide notifications only to those customers who accept to receive such notifications.
operating system,we,advertising,"As is true of most websites, we gather certain information automatically.
This information may include Internet protocol (IP) addresses, browser type, Internet service provider (ISP), referring/exit pages, the files viewed on our site (e.g., HTML pages, graphics, etc.), operating system, date/time stamp, and/or clickstream data to analyze trends in the aggregate and administer the site."
person name,we,advertising,"When you register for an account, we will use your name and email address to send periodic emails to you of both promotional and transactional in nature."
personal information,UNSPECIFIED_ACTOR,"advertising, analytics","These companies are authorized to use your personal information only as necessary to provide these services to us.
We may also disclose your personal information to any other third party with your prior consent.
We may provide your personal information to companies that provide services to help us with our business activities such as offering customer service, processing your payment or any third party integration.
We will share your personal information with third parties only in the ways that are described in this privacy policy."
personal information,we,"advertising, legal, security","Privacy Policy

We will keep your personal information only as long as is reasonably necessary for the purposes described in this Policy or such longer period as may be required by applicable law.
We collect personal and other information from you when you register on our site, setup your sub-domain and/or configure your details.
We may also disclose your personal information as required by law, such as to comply with a subpoena or similar legal process when we believe in good faith that disclosure is necessary to protect our rights, protect your safety or the safety of others, investigate fraud, or respond to a government request.
We may also disclose your personal information to any other third party with your prior consent.
We may provide your personal information to companies that provide services to help us with our business activities such as offering customer service, processing your payment or any third party integration.
We will retain your Personal Data for the period necessary to fulfil the purposes outlined in this Policy unless a longer retention period is required or permitted by law.
We will retain your Personal Data or information as needed to provide you services directly or through third party tools.
We will share your personal information with third parties only in the ways that are described in this privacy policy."
