data_type,collector,purpose,text
UNSPECIFIED_DATA,cookiefirst,,"Our website and CookieFirst automatically collect and store information in so-called server log files, which your browser automatically transmits to us."
UNSPECIFIED_DATA,onestream,,"Like many online services, OneStream uses ""cookies"" and similar tracking technologies on our Service to collect information."
UNSPECIFIED_DATA,we,"legal, security, services","But please note we may retain some information if necessary to comply with our legal obligations, resolve disputes or enforce our agreements.
For example, some of this information is visible to our support agents and they can quickly help you without asking for basic details about your browser and system etc.
HOW WE STORE AND PROTECT INFORMATION
Our website and CookieFirst automatically collect and store information in so-called server log files, which your browser automatically transmits to us.
WHAT INFORMATION WE COLLECT AND HOW WE USE IT
We also use this information to verify that visitors to the Service meet the criteria required to process their requests.
We can only identify you via your email address and we can only adhere to your request and provide information if we have Personal Data about you through you having made contact with us directly and/or you using our site and/or service.
We collect information in following ways: We collect information when you login to other third-party platforms by logging into an account that you already have with certain third-party sites e.g. YouTube, Facebook, X (formally Twitter) , etc. via our service.
You may submit data to us for limited purposes such as requesting customer support; answering a questionnaire; participating in a study; entering contests or sweepstakes; or signing up to receive communications from us or another user."
access time,we,"legal, security, services, analytics","This Log Data may include information such as your IP address, the operating system type, browser type, browser language, the webpage you were visiting before you came to our Service, Country and state where you are accessing our webpage from, last time you visited our website, pages of our Service that you visit, the time spent on those pages, information you search for on our Service, access times and dates, your subscription plan if you are a paid user and other statistics.
We use this information to monitor and analyze use of the Service and the Service's technical administration, to increase our Service's functionality and user-friendliness, and to better tailor our Service to our visitors' needs."
access time,we,"legal, security, services, analytics, advertising","This Log Data may include information such as your IP address, the operating system type, browser type, browser language, the webpage you were visiting before you came to our Service, Country and state where you are accessing our webpage from, last time you visited our website, pages of our Service that you visit, the time spent on those pages, information you search for on our Service, access times and dates, your subscription plan if you are a paid user and other statistics.
We use this information to monitor and analyze use of the Service and the Service's technical administration, to increase our Service's functionality and user-friendliness, and to better tailor our Service to our visitors' needs."
access token,UNSPECIFIED_ACTOR,,"This token is provided by the third-party and identifies the permissions you have given us.
When you grant us authorization we save an access token that is linked to your account on that third-party platform."
access token,we,"legal, security, services, analytics","We use this access token to stream videos on your accounts on the third-party platforms.
When you grant us authorization we save an access token that is linked to your account on that third-party platform."
aggregate / deidentified / pseudonymized information,UNSPECIFIED_ACTOR,,"We allow third-party companies to serve ads and/or collect certain anonymous information when you visit our web site.
We may share aggregated information that does not include Personal Information and we may otherwise disclose Non-Identifying Information and Log Data with third parties for industry analysis, demographic profiling and other purposes."
aggregate / deidentified / pseudonymized information,we,"legal, security, services, analytics","We may share aggregated information that does not include Personal Information and we may otherwise disclose Non-Identifying Information and Log Data with third parties for industry analysis, demographic profiling and other purposes."
archive copy of record,we,"legal, security, services, analytics",We may retain an archived copy of your records as required by law or for legitimate business purposes.
browser language,we,"legal, security, services, analytics","This Log Data may include information such as your IP address, the operating system type, browser type, browser language, the webpage you were visiting before you came to our Service, Country and state where you are accessing our webpage from, last time you visited our website, pages of our Service that you visit, the time spent on those pages, information you search for on our Service, access times and dates, your subscription plan if you are a paid user and other statistics.
We use this information to monitor and analyze use of the Service and the Service's technical administration, to increase our Service's functionality and user-friendliness, and to better tailor our Service to our visitors' needs."
