data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,services,"If you are an administrator, or a technical or billing contact listed on an account, we disclose your details to the third-party app provider upon installation.
We disclose information to third parties that help us operate, provide, improve, integrate, customize, support and market our Services.
We may also disclose information to these third parties where you have agreed to that disclosure.
We may disclose your information to these third parties in connection with their services, such as to assist with billing and collections, to provide localized support, and to provide customizations.
We work with third parties who provide consulting, sales, support, and technical services to deliver and implement customer solutions around the Services.
Where you give us express permission to do so, we disclose information to a third party expert for the purpose of responding to support-related requests."
UNSPECIFIED_DATA,we,"advertising, analytics, legal, security, services","After such time, we will either delete or de-identify your information or, if this is not possible (for example, because the information has been stored in backup archives), then we will securely store your information and isolate it from any further use until deletion is possible.
If the Services are made available to you through an organization (e.g., your employer), we retain your information as long as required by the administrator of your account.
If you are an administrator, or a technical or billing contact listed on an account, we disclose your details to the third-party app provider upon installation.
In order to protect your information from unauthorized access or deletion, we may require you to provide additional information to for verification your identity.
Information
Please note, however, that we may need to retain certain information for record keeping purposes, to complete transactions or to comply with our legal obligations.
Privacy Policy

What information we collect about you
Should you request it, we will provide you with an electronic file of your basic account information and the information you create on the spaces under your sole control, like your personal Bitbucket repository.
This means we collect and use your information only where: We need to process your data to comply with a legal obligation.
This policy is intended to help you understand: How long we keep information
To facilitate our global operations, we transfer information globally and allow access to that information from countries in which the Atlassian owned or operated companies have operations for the purposes described in this policy.
We also collect information about the teams and people you work with and how you work with them, like who you collaborate with and communicate with most frequently.
We also collect information through your device about your operating system, browser type, IP address, URLs of referring/exit pages, device identifiers, and crash data.
We collect information globally and may transfer, process, and store your information outside of your country of residence, to wherever we or our third-party service providers operate for the purpose of providing you the Services.
We disclose information to third parties that help us operate, provide, improve, integrate, customize, support and market our Services.
We may also disclose information to these third parties where you have agreed to that disclosure.
We may disclose your information to these third parties in connection with their services, such as to assist with billing and collections, to provide localized support, and to provide customizations.
We use information and collective learnings (including feedback) about how people use our Services to troubleshoot, to identify trends, usage, activity patterns, and areas for integration and to improve our Services and to develop new products, features and technologies that benefit our users and the public.
We use your contact information and information about how you use the Services to send promotional communications that may be of specific interest to you, including by email and by displaying Atlassian ads on other companies' websites and applications.
We use your information to resolve technical issues you encounter, to respond to your requests for assistance, to analyze crash information, and to repair and improve the Services.
When you intentionally interact with these third parties, we may disclose certain information to those third parties or receive information with those third parties, consistent with your privacy settings on the third-party service.
Where we retain information for Service improvement and development, we take steps to eliminate information that directly identifies you, and we only use the information to uncover collective insights about the use of our Services, not to specifically analyze personal characteristics about you.
Where you give us express permission to do so, we disclose information to a third party expert for the purpose of responding to support-related requests."
account information,we,"advertising, analytics, legal, security, services",We retain your account information for as long as your account is active and a reasonable period thereafter in case you decide to re-activate the Services.
activity,we,"advertising, analytics, legal, security, services","For example, we may use your stated job title and activity to return search results we think are relevant to your job function."
atlassian services,we,"advertising, analytics, legal, security, services","We receive information from these partners, such as billing information, billing and technical contact information, company name, what Atlassian Services you have purchased or may be interested in, evaluation information you have provided, what events you have attended, and what country you are in."
billing information,we,"advertising, analytics, legal, security, services","We receive information from these partners, such as billing information, billing and technical contact information, company name, what Atlassian Services you have purchased or may be interested in, evaluation information you have provided, what events you have attended, and what country you are in."
clickstream datum about,we,"advertising, analytics, legal, security, services","If you use a server or data center version of the Services, we do not host, store, transmit, receive or collect information about you (including your content), except in limited cases, where permitted by your administrator: we collect feedback you provide directly to us through the product and; we collect content using analytics techniques that hash, filter or otherwise scrub the information to exclude information that might identify you or your organization; and we collect clickstream data about how you interact with and use features in the Services."
company name,we,"advertising, analytics, legal, security, services","We receive information from these partners, such as billing information, billing and technical contact information, company name, what Atlassian Services you have purchased or may be interested in, evaluation information you have provided, what events you have attended, and what country you are in."
contact information,UNSPECIFIED_ACTOR,services,"Such information may include contact information, identification, and demographic information, and device information and identifiers.
When you intentionally interact with these third parties, we may disclose certain information to those third parties or receive information with those third parties, consistent with your privacy settings on the third-party service."
contact information,we,"advertising, analytics, legal, security, services","If you register or access the Services using an email address with a domain that is owned by your employer or organization or associate that email address with your existing account, and such organization wishes to establish an account or site, certain information about you including your name, profile picture, contact info, content and past use of your account may become accessible to that organization's administrator and other Service users sharing the same domain.  If you are an administrator for a particular site or group of users within the Services, we may disclose your contact information to current or past Service users, for the purpose of facilitating Service-related requests.
Such information may include contact information, identification, and demographic information, and device information and identifiers.
To communicate with you about the Services : We use your contact information to send transactional communications via email and within the Services, including confirming your purchases, reminding you of subscription expirations, responding to your comments, questions and requests, providing customer support, and sending you technical notices, updates, security alerts, and administrative messages.
We receive information from these partners, such as billing information, billing and technical contact information, company name, what Atlassian Services you have purchased or may be interested in, evaluation information you have provided, what events you have attended, and what country you are in.
We use your contact information and information about how you use the Services to send promotional communications that may be of specific interest to you, including by email and by displaying Atlassian ads on other companies' websites and applications.
When you intentionally interact with these third parties, we may disclose certain information to those third parties or receive information with those third parties, consistent with your privacy settings on the third-party service."
