data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"In addition some of our third party Data Processors, Sub-Processors, whose list can be found here Privacy Sub Processor may also have access to your information and the associated Vendors of those third parties might also have access to your information.
The third-party application will share information with us, and we will share information between third-party applications.
These other websites may place their own cookies or other files on your computer, collect data or solicit personally identifiable information from you.
We do not exercise control over third party websites.
We understand and respect that not all users may want to allow us to share their information with other select users or companies."
UNSPECIFIED_DATA,privacy sub processor,,"In addition some of our third party Data Processors, Sub-Processors, whose list can be found here Privacy Sub Processor may also have access to your information and the associated Vendors of those third parties might also have access to your information."
UNSPECIFIED_DATA,respective business,,"However, only when customer chooses to share the information on the businesses powered with Pabbly applications, we share the information with respective businesses."
UNSPECIFIED_DATA,service provider who process personal information,,We may share your data with our services providers who process your personal information to provide services to us or on our behalf.
UNSPECIFIED_DATA,social media,,"When you interact with our social media sites, the social media platform automatically collects information and provides it to us."
UNSPECIFIED_DATA,team account holder,,"If you're added as a team member to any Pabbly Connect account, we will share your information with the team account holder."
UNSPECIFIED_DATA,we,services,"By interfacing with those third party Websites or services, you are allowing our Services to access your information that is or becomes available via such third party Websites or services, and you are agreeing to those third party's applicable terms and conditions.
For example, when you provide feedback, participate in any interactive features, surveys, contests, promotions, sweepstakes, activities, or events, you may provide us information or content.
However, only when customer chooses to share the information on the businesses powered with Pabbly applications, we share the information with respective businesses.
If the webite or our social media platform pages allow you to upload content or information, we will collect the content or information you upload.
If you're added as a team member to any Pabbly Connect account, we will share your information with the team account holder.
Notwithstanding anything to the contrary in this Policy, we may preserve or disclose your information if we believe that it is reasonably necessary to comply with a law, regulation or legal request; to protect the safety of any person; to address fraud, security or technical issues; or to protect our rights or property.
The third-party application will share information with us, and we will share information between third-party applications.
This section explains how we collect and use information in each of the Pabbly services:
We collect and use this information solely to provide the integration and automation services you request.
We collect or receive information in the ways we describe in this section.
We may also collect information using web beacons (also known as ""tracking pixels"").
We may collect and store your Sensitive Personal Data or Information (such as any financial information including inter alia credit card, debit card details, bank account and know your customer (""KYC"") documents as per RBI regulations and any other information as may be applicable) that the User may opt to save in the User account created with Pabbly.
We may share your data with our services providers who process your personal information to provide services to us or on our behalf.
We receive information from third-party sources like lead generation providers, content sponsors, event sponsors, or social media platforms.
We retain your information only for as long as is necessary for the purposes for which we process the information as set out in this policy.
We understand and respect that not all users may want to allow us to share their information with other select users or companies.
We use various technologies to collect information, and this may include sending cookies to you.
When you create an account, you provide us with your account registration and profile information (name, email address, company, and similar information).
When you integrate third-party applications, we will collect the information that is necessary to enable access to the third-party application and any data or content contained within the third-party application required to affect the action or command.
When you sign up to create an account in the Service, fill out a form or survey or respond to communications, you provide us with information like your name, email address, address, company, phone number or other information.
When you use Pabbly Connect, you may provide information related to your integrations and workflows, such as API keys, data transformations, and other settings.
You may provide information or content to us through the customer support or chat functionality we make available on the website, in the Services, or other sites that we control."
account registration,we,services,"When you create an account, you provide us with your account registration and profile information (name, email address, company, and similar information)."
api key,UNSPECIFIED_ACTOR,"security, services",Third-party services that do not employ the modern OAuth protocol use either API keys or login credentials to authenticate/authorize the communication with the service's API.
api key login credential,we,services,"In this case, we securely save the API key/login credentials and will not use this personal information for any purposes other than those for which you have provided it."
authorization,pabbly connect,services,"To integrate with a third-party service, Pabbly Connect needs your authorization to communicate with the service's application programming interface (API)."
company address,we,services,"The information we collect from third-party sources may include marketing or demographic information, contact information (name, email, company, address, job title), information about your profile on those platforms, or information about purchasing intent."
contact information,we,"services, advertising, analytics","The information we collect from third-party sources may include marketing or demographic information, contact information (name, email, company, address, job title), information about your profile on those platforms, or information about purchasing intent.
We collect this information to facilitate your participation in the Affiliate Program, track referrals, and ensure accurate commission payments.
When you sign up for the Pabbly Affiliate Program, you will be required to provide certain information, including your name, contact details, payment information, and marketing preferences."
contact list,we,"services, advertising, analytics","We collect and use this information to send emails on your behalf and to manage your email marketing campaigns.
When you use Pabbly Email Marketing, you may provide information such as email addresses, contact lists, and email content."
cookie / pixel tag,advertiser,"advertising, analytics","Our Services may also use a third party ad server to present the advertisements that you may see on our Services.
These third party ad servers may use cookies, Web beacons, clear .gifs or similar technologies to help present such advertisements, and to help measure and research the advertisements' effectiveness."
cookie / pixel tag,we,"services, advertising, analytics","To support the personalized features of our Website (such as your country and language codes and browsing functions) we must send a cookie to your computer's hard drive and/or use cookie-based authentication to identify you as a registered Website user.
We may use Web beacons or similar technology on our Services from time to time for this and other purposes.
We use cookies, web beacons, pixels, or other tracking technology on the Site and in the Services to provide functionality, personalize your experience and recognize you across services or devices."
copy of customer data,we,"services, advertising, analytics","Following any expiration or termination of these Terms or your Pabbly account, we will retain a copy of your Customer Data for 30 days and after such 30-day period; we will have no obligation to maintain or provide access to your Customer Data and will thereafter unless legally prohibited, delete all Customer Data in our possession."
datum collect regard use of service,we,"services, advertising, analytics","We may freely use and make available such anonymous, aggregated and otherwise non-personal data regarding the use of our Services for our business purposes.
We may use (but not disclose) data collected regarding your use of our Services for our internal business purposes, including for creating anonymous, aggregated and otherwise non-personal data."
email address,we,services,"The information we collect from third-party sources may include marketing or demographic information, contact information (name, email, company, address, job title), information about your profile on those platforms, or information about purchasing intent.
We collect and use this information to perform email address verification services and provide you with verification results.
We collect and use this information to send emails on your behalf and to manage your email marketing campaigns.
We may use your email address to send you other messages, such as newsletters, changes to our features, new services, events or other information.
We use your email address to send you updates, news, and newsletters (if you willingly subscribe to the newsletter during signup, or anytime after signup) and contact you on behalf of other Users (such other Users who send you friend requests, personal messages, or other social collaboration based events).
When you create an account, you provide us with your account registration and profile information (name, email address, company, and similar information).
When you sign up to create an account in the Service, fill out a form or survey or respond to communications, you provide us with information like your name, email address, address, company, phone number or other information.
When you use Pabbly Email Marketing, you may provide information such as email addresses, contact lists, and email content.
When you use Pabbly Email Verification, you may provide email lists or individual email addresses for verification."
email address,we,"services, advertising, analytics","The information we collect from third-party sources may include marketing or demographic information, contact information (name, email, company, address, job title), information about your profile on those platforms, or information about purchasing intent.
We collect and use this information to perform email address verification services and provide you with verification results.
We collect and use this information to send emails on your behalf and to manage your email marketing campaigns.
We may use your email address to send you other messages, such as newsletters, changes to our features, new services, events or other information.
We use your email address to send you updates, news, and newsletters (if you willingly subscribe to the newsletter during signup, or anytime after signup) and contact you on behalf of other Users (such other Users who send you friend requests, personal messages, or other social collaboration based events).
When you create an account, you provide us with your account registration and profile information (name, email address, company, and similar information).
When you sign up to create an account in the Service, fill out a form or survey or respond to communications, you provide us with information like your name, email address, address, company, phone number or other information.
When you use Pabbly Email Marketing, you may provide information such as email addresses, contact lists, and email content.
When you use Pabbly Email Verification, you may provide email lists or individual email addresses for verification."
email address,we,"services, advertising, analytics, legal","The information we collect from third-party sources may include marketing or demographic information, contact information (name, email, company, address, job title), information about your profile on those platforms, or information about purchasing intent.
We collect and use this information to perform email address verification services and provide you with verification results.
We collect and use this information to send emails on your behalf and to manage your email marketing campaigns.
We may use your email address to send you other messages, such as newsletters, changes to our features, new services, events or other information.
We use your email address to send you updates, news, and newsletters (if you willingly subscribe to the newsletter during signup, or anytime after signup) and contact you on behalf of other Users (such other Users who send you friend requests, personal messages, or other social collaboration based events).
When you create an account, you provide us with your account registration and profile information (name, email address, company, and similar information).
When you sign up to create an account in the Service, fill out a form or survey or respond to communications, you provide us with information like your name, email address, address, company, phone number or other information.
When you use Pabbly Email Marketing, you may provide information such as email addresses, contact lists, and email content.
When you use Pabbly Email Verification, you may provide email lists or individual email addresses for verification."
email content,we,"services, advertising, analytics, legal","We collect and use this information to send emails on your behalf and to manage your email marketing campaigns.
When you use Pabbly Email Marketing, you may provide information such as email addresses, contact lists, and email content."
information about issue,we,"services, advertising, analytics, legal","When you engage with our support team, in addition to your account information, we may ask you to provide additional information about your issue, which may include information about your technology, software, internet connection, or screenshots."
information about product,we,"services, advertising, analytics, legal","We collect and use this information to process payments and manage your subscription billing services.
When you use Pabbly Subscription Billing, you may provide information about your products, pricing, and customer billing details."
information about profile on platform,we,"services, advertising, analytics, legal","The information we collect from third-party sources may include marketing or demographic information, contact information (name, email, company, address, job title), information about your profile on those platforms, or information about purchasing intent."
information about purchase intent,we,"services, advertising, analytics, legal","The information we collect from third-party sources may include marketing or demographic information, contact information (name, email, company, address, job title), information about your profile on those platforms, or information about purchasing intent."
information about you,UNSPECIFIED_ACTOR,"security, services","We can (and you authorize us to) disclose any information about you to law enforcement, other government officials, any lawsuit or any other third party that we, in our sole discretion, believe necessary or websiteropriate in connection with an investigation of fraud, intellectual property infringement, or other activity that is illegal or may expose us, or you, to liability."
information about you,government official,,"We can (and you authorize us to) disclose any information about you to law enforcement, other government officials, any lawsuit or any other third party that we, in our sole discretion, believe necessary or websiteropriate in connection with an investigation of fraud, intellectual property infringement, or other activity that is illegal or may expose us, or you, to liability."
information about you,law enforcement,,"We can (and you authorize us to) disclose any information about you to law enforcement, other government officials, any lawsuit or any other third party that we, in our sole discretion, believe necessary or websiteropriate in connection with an investigation of fraud, intellectual property infringement, or other activity that is illegal or may expose us, or you, to liability."
information about you,lawsuit,,"We can (and you authorize us to) disclose any information about you to law enforcement, other government officials, any lawsuit or any other third party that we, in our sole discretion, believe necessary or websiteropriate in connection with an investigation of fraud, intellectual property infringement, or other activity that is illegal or may expose us, or you, to liability."
information about you,we,"services, advertising, analytics, legal","We can (and you authorize us to) disclose any information about you to law enforcement, other government officials, any lawsuit or any other third party that we, in our sole discretion, believe necessary or websiteropriate in connection with an investigation of fraud, intellectual property infringement, or other activity that is illegal or may expose us, or you, to liability.
We receive information about you directly from you when you engage with the Site and automatically when you engage with the Site or open or click the emails we send you.
When you access or use our Services, we automatically collect information about you, including:"
information about you you login,we,"services, advertising, analytics, legal","We collect information about you when you login and how you interact with the Services, the features you use, clicks, log information about your use of the Services, and how you interact with other users."
information be,we,"services, advertising, analytics, legal","When you integrate third-party applications, we will collect the information that is necessary to enable access to the third-party application and any data or content contained within the third-party application required to affect the action or command."
information receive from youtube api,pabbly connect,services,"Pabbly Connect use information received from YouTube API for API client purpose which will adhere to  YouTube Terms of Service .
Privacy Policy

Customer Information

Pabbly Connect use information received from YouTube API for API client purpose which will adhere to YouTube Terms of Service ."
job title,we,"services, advertising, analytics, legal","The information we collect from third-party sources may include marketing or demographic information, contact information (name, email, company, address, job title), information about your profile on those platforms, or information about purchasing intent."
login credential,UNSPECIFIED_ACTOR,"security, services",Third-party services that do not employ the modern OAuth protocol use either API keys or login credentials to authenticate/authorize the communication with the service's API.
login credential for third party application you authenticate,we,"services, advertising, analytics, legal",We will store the login credentials for each third-party application that you authenticate to allow us to continue to provide the Services.
marketing information,we,"services, advertising, analytics, legal","The information we collect from third-party sources may include marketing or demographic information, contact information (name, email, company, address, job title), information about your profile on those platforms, or information about purchasing intent."
marketing preference,we,"services, advertising, analytics, legal","We collect this information to facilitate your participation in the Affiliate Program, track referrals, and ensure accurate commission payments.
When you sign up for the Pabbly Affiliate Program, you will be required to provide certain information, including your name, contact details, payment information, and marketing preferences."
payment information,we,"services, advertising, analytics, legal","We collect this information to facilitate your participation in the Affiliate Program, track referrals, and ensure accurate commission payments.
When you sign up for the Pabbly Affiliate Program, you will be required to provide certain information, including your name, contact details, payment information, and marketing preferences."
person name,we,services,"The information we collect from third-party sources may include marketing or demographic information, contact information (name, email, company, address, job title), information about your profile on those platforms, or information about purchasing intent.
We collect this information to facilitate your participation in the Affiliate Program, track referrals, and ensure accurate commission payments.
When you create an account, you provide us with your account registration and profile information (name, email address, company, and similar information).
When you sign up for the Pabbly Affiliate Program, you will be required to provide certain information, including your name, contact details, payment information, and marketing preferences.
When you sign up to create an account in the Service, fill out a form or survey or respond to communications, you provide us with information like your name, email address, address, company, phone number or other information."
