data_type,collector,purpose,text
UNSPECIFIED_DATA,parrot ai,,"By using the Services, you acknowledge that any Personal Data about you, regardless of whether provided by you or obtained from a third party, is being provided to Parrot AI in the U.S. and will be hosted on U.S. servers, and you authorize Parrot AI to transfer, store and process your information to and in the U.S., and possibly other countries."
UNSPECIFIED_DATA,we,"advertising, analytics, services","By using or accessing our Services in any manner, you acknowledge that you accept the practices and policies outlined below, and you hereby consent that we will collect, use and share your information as described in this Privacy Policy.
In response, we will provide you with the following information: The categories of sources from which that Personal Data was collected.
In response, we will provide you with the following information: The categories of third parties with whom we have shared your Personal Data.
Privacy Policy

Personal Data

Our Commercial or Business Purposes for Collecting Personal Data : Providing, Customizing and Improving the Services : Meeting or fulfilling the reason you provided the information to us.
Third Parties : Vendors : We may use vendors to obtain information to generate leads and create user profiles.
We may further retain information in an anonymous or aggregated form where that information would not identify you personally.
You can also request that we transmit the data to another controller where technically feasible."
aggregate / deidentified / pseudonymized information,we,"advertising, analytics, services","We may create aggregated, de-identified or anonymized data from the Personal Data we collect, including by removing information that makes the data personally identifiable to a particular user.
We may use such aggregated, de-identified or anonymized data and share it with third parties for our lawful business purposes, including to analyze, build and improve the Services and promote our business, provided that we will not share such data in a manner that could identify you."
audio,we,"advertising, analytics, services",We collect videos and audio provided by users.
credit / debit card number,Stripe,,"Our payment processing partner Stripe, Inc. (""Stripe"") collects your voluntarily-provided payment card information necessary to process your payment."
credit / debit card number,payment processing partner,,"Our payment processing partner Stripe, Inc. (""Stripe"") collects your voluntarily-provided payment card information necessary to process your payment."
email address,we,"advertising, analytics, services","Legitimate Interest : We process the following categories of Personal Data when we believe it furthers the legitimate interest of us or third parties: First and last name, email address, phone number and mailing address"
email address,we,"advertising, analytics, services, security, legal","Legitimate Interest : We process the following categories of Personal Data when we believe it furthers the legitimate interest of us or third parties: First and last name, email address, phone number and mailing address"
geolocation,we,"advertising, analytics, services","If you use a location-enabled browser, we may receive information about your location."
information transmit from compute device,we,"advertising, analytics, services","If you download and install certain applications and software we make available, we may receive and collect information transmitted from your computing device for the purpose of providing you the relevant Services."
internal analytic,we,"advertising, analytics, services, security, legal","Our Commercial or Business Purposes for Collecting Personal Data : Providing, Customizing and Improving the Services : Improving the Services, including testing, research, internal analytics and product development."
person name,we,"advertising, analytics, services","Legitimate Interest : We process the following categories of Personal Data when we believe it furthers the legitimate interest of us or third parties: First and last name, email address, phone number and mailing address"
person name,we,"advertising, analytics, services, security, legal","Legitimate Interest : We process the following categories of Personal Data when we believe it furthers the legitimate interest of us or third parties: First and last name, email address, phone number and mailing address"
personal data of end user,we,"advertising, analytics, services",Please note that we may process Personal Data of our customers' end users or employees in connection with our provision of certain services to our customers.
personal datum provide in valid request,we,"advertising, analytics, services, security",We will only use Personal Data provided in a Valid Request to verify your identity and complete your request.
phone number,we,"advertising, analytics, services, security, legal","Legitimate Interest : We process the following categories of Personal Data when we believe it furthers the legitimate interest of us or third parties: First and last name, email address, phone number and mailing address"
postal address,we,"advertising, analytics, services, security, legal","Legitimate Interest : We process the following categories of Personal Data when we believe it furthers the legitimate interest of us or third parties: First and last name, email address, phone number and mailing address"
product development,we,"advertising, analytics, services, security, legal","Our Commercial or Business Purposes for Collecting Personal Data : Providing, Customizing and Improving the Services : Improving the Services, including testing, research, internal analytics and product development."
specific piece of personal data we collect about you,we,"advertising, analytics, services, security, legal","In response, we will provide you with the following information: The specific pieces of Personal Data that we have collected about you."
