data_type,collector,purpose,text
UNSPECIFIED_DATA,we,,"Privacy Policy

9. How Long we Keep Data
When processing is restricted, we can still store your information, but may not use it further."
cookie / pixel tag,we,services,"The data we may collect by automated means may include, without limitation: Information we collect on the use of the website via cookies.
We use cookies to improve your experience on our site."
device datum,we,services,"The data we may collect by automated means may include, without limitation: Device data: including, but not limited to, the type of browser and OS you use."
email address,we,"services, advertising","In this regard, we may use email, SMS, social media or mail to send you direct marketing communications.
The personal data we collect may include the following: (b) communication information - when you contact us, you may provide us with your phone number, email, and other information you choose to provide over such communication;"
information collect from user,we,"services, advertising",Information collected from users will be processed by us and some of our affiliate services and service providers (sub-processors).
information you choose,we,"services, advertising","The personal data we collect may include the following: (b) communication information - when you contact us, you may provide us with your phone number, email, and other information you choose to provide over such communication;"
internet activity,we,"services, advertising","The data we may collect by automated means may include, without limitation: Usage data: including, but not limited to, search terms entered, pages viewed and the timing of your visit to our website."
mail,we,"services, advertising","In this regard, we may use email, SMS, social media or mail to send you direct marketing communications."
network information,we,"services, advertising","The data we may collect by automated means may include, without limitation: Network and internet information: including, but not limited to, URLs, IP address, bounce rates, number of sessions initiated and location information."
person name,Stripe,,"The personal data we collect may include the following: (c) credit card or other payment information - for our paid Services, our payment processing partner, Stripe, Inc. may also collect your name and billing address."
person name,process partner,,"The personal data we collect may include the following: (c) credit card or other payment information - for our paid Services, our payment processing partner, Stripe, Inc. may also collect your name and billing address."
personal information,country not provide same level of data protection as country in you reside,services,"To provide our services, we may transfer the personal data we collect to countries outside of the UK or EEA which do not provide the same level of data protection as the country in which you reside and are not recognised by the European Commission as providing an adequate level of data protection."
personal information,we,"services, advertising, analytics, legal","For residents of the European Economic Area (EEA), this website processes personal information in order to fulfil contracts we have with organisations that are our customers, as well as to pursue our legitimate business interests as set out in this Privacy Policy.
The personal data we collect may include the following:
To provide our services, we may transfer the personal data we collect to countries outside of the UK or EEA which do not provide the same level of data protection as the country in which you reside and are not recognised by the European Commission as providing an adequate level of data protection.
We collect and use personal data for the following purposes:
We may also collect personal data from you when you use or access our website or our social media pages.
We may collect personal data either directly from you, or from third parties, including where you:
We may share your personal data in certain circumstances, as follows:
We will only retain your personal data for as long as necessary to fulfil the purposes we collected it for, including for the purposes of satisfying any legal, accounting, or reporting requirements."
phone number,we,"services, advertising, analytics, legal","The personal data we collect may include the following: (b) communication information - when you contact us, you may provide us with your phone number, email, and other information you choose to provide over such communication;"
postal address,Stripe,,"The personal data we collect may include the following: (c) credit card or other payment information - for our paid Services, our payment processing partner, Stripe, Inc. may also collect your name and billing address."
postal address,process partner,,"The personal data we collect may include the following: (c) credit card or other payment information - for our paid Services, our payment processing partner, Stripe, Inc. may also collect your name and billing address."
