data_type,collector,purpose,text
UNSPECIFIED_DATA,company in pigeonlab group,,"We may disclose your data to companies in the PigeonLab group, which include affiliates, subsidiaries and business units that form part of the PigeonLab group."
UNSPECIFIED_DATA,we,legal,"During a Session, we collect information from you on behalf of the Organisers or Speakers of such Session.
Privacy Policy

2. What data we collect
We collect information globally and may transfer, process and store your information outside of your country of residence, where we or our third-party service providers operate for the purpose of providing you with our Services.
We may disclose your data to companies in the PigeonLab group, which include affiliates, subsidiaries and business units that form part of the PigeonLab group.
We may use your data to comply with our obligations under the law or pursuant to law enforcement requests."
UNSPECIFIED_DATA,we,"legal, analytics, services, security","During a Session, we collect information from you on behalf of the Organisers or Speakers of such Session.
Privacy Policy

2. What data we collect
We collect information globally and may transfer, process and store your information outside of your country of residence, where we or our third-party service providers operate for the purpose of providing you with our Services.
We may disclose your data to companies in the PigeonLab group, which include affiliates, subsidiaries and business units that form part of the PigeonLab group.
We may use your data to comply with our obligations under the law or pursuant to law enforcement requests."
account activity,we,"legal, analytics, services","We may use usage behaviours and account activity to provide insights to usage levels and feature utilisation, and to identify areas for improvement and/or further development."
amazon web services,cloud hosting provider,,"These third-party vendors include: Cloud hosting providers, including Amazon Web Services (AWS), to store and process your personal data; and"
aws,cloud hosting provider,,"These third-party vendors include: Cloud hosting providers, including Amazon Web Services (AWS), to store and process your personal data; and"
browser language,we,"legal, analytics, services","Like many websites, we will collect your internet protocol address, browser type, browser language, internet service provider (ISP), referring/exit pages, operating system, date and time of visit, clickstream data and cookies that can identify you and your browser session, when you visit our Website or use our Services."
browser type,we,"legal, analytics, services","Like many websites, we will collect your internet protocol address, browser type, browser language, internet service provider (ISP), referring/exit pages, operating system, date and time of visit, clickstream data and cookies that can identify you and your browser session, when you visit our Website or use our Services."
business unit,company in pigeonlab group,,"We may disclose your data to companies in the PigeonLab group, which include affiliates, subsidiaries and business units that form part of the PigeonLab group."
clickstream datum,we,"legal, analytics, services","Like many websites, we will collect your internet protocol address, browser type, browser language, internet service provider (ISP), referring/exit pages, operating system, date and time of visit, clickstream data and cookies that can identify you and your browser session, when you visit our Website or use our Services."
cookie / pixel tag,we,"legal, analytics, services","Like many websites, we will collect your internet protocol address, browser type, browser language, internet service provider (ISP), referring/exit pages, operating system, date and time of visit, clickstream data and cookies that can identify you and your browser session, when you visit our Website or use our Services.
We also use persistent cookies to track the interests of our users to enhance the experience when navigating our website.
We may use web beacons and related technology such as clear gifs and web bugs to track what content is effective.
We use clear gifs in our HTML-based email to let us know which email our users have opened.
We use cookies and similar technologies to enhance your experience when you visit our website and use our Services.
We use session ID cookies to manage your browser and mobile sessions for your convenience."
cookie / pixel tag,we,"legal, analytics, services, security","Like many websites, we will collect your internet protocol address, browser type, browser language, internet service provider (ISP), referring/exit pages, operating system, date and time of visit, clickstream data and cookies that can identify you and your browser session, when you visit our Website or use our Services.
We also use persistent cookies to track the interests of our users to enhance the experience when navigating our website.
We may use web beacons and related technology such as clear gifs and web bugs to track what content is effective.
We use clear gifs in our HTML-based email to let us know which email our users have opened.
We use cookies and similar technologies to enhance your experience when you visit our website and use our Services.
We use session ID cookies to manage your browser and mobile sessions for your convenience."
date,we,"legal, analytics, services","Like many websites, we will collect your internet protocol address, browser type, browser language, internet service provider (ISP), referring/exit pages, operating system, date and time of visit, clickstream data and cookies that can identify you and your browser session, when you visit our Website or use our Services."
datum we collect from you in circumstance,UNSPECIFIED_ACTOR,,We may disclose data that we have collected from you in limited circumstances to the following third-parties:
datum we collect from you in circumstance,we,"legal, analytics, services",We may disclose data that we have collected from you in limited circumstances to the following third-parties:
demographic information about user,we,"legal, analytics, services","We use the information collected in the log files to analyse trends, track activities on our website and gather demographic information about our users."
email address,we,"legal, analytics, services","If you request for materials on our Services to be removed because you believe they infringe your copyright, we will ask you to provide your contact details, in particular your name, address, telephone number, and email address, so that we may process your take-down request.
You may also provide the following data to us in specific instances such as when you sign up for a Pigeonhole Live account, use or access our Services, contact our customer support team, choose to integrate our Services with a third-party service provider, or otherwise communicate with us in one way or another: Contact information to process payment for goods and services, such as your name, and email and shipping address."
event activity level,we,"legal, analytics, services, security","We may also use such data to create aggregated and/or anonymised data.
Your usage behaviour and event activity levels may be used to perform data analytics to improve our Services and to provide certain features to you."
information collect in log file,we,"legal, analytics, services, security","We may process these automatically collected personal data in the log files to troubleshoot access issues.
We use the information collected in the log files to analyse trends, track activities on our website and gather demographic information about our users."
ip address,we,"legal, analytics, services, security","Like many websites, we will collect your internet protocol address, browser type, browser language, internet service provider (ISP), referring/exit pages, operating system, date and time of visit, clickstream data and cookies that can identify you and your browser session, when you visit our Website or use our Services."
person name,we,"legal, analytics, services","If you request for materials on our Services to be removed because you believe they infringe your copyright, we will ask you to provide your contact details, in particular your name, address, telephone number, and email address, so that we may process your take-down request.
You may also provide the following data to us in specific instances such as when you sign up for a Pigeonhole Live account, use or access our Services, contact our customer support team, choose to integrate our Services with a third-party service provider, or otherwise communicate with us in one way or another: Contact information to process payment for goods and services, such as your name, and email and shipping address."
person name,we,"legal, analytics, services, security","If you request for materials on our Services to be removed because you believe they infringe your copyright, we will ask you to provide your contact details, in particular your name, address, telephone number, and email address, so that we may process your take-down request.
You may also provide the following data to us in specific instances such as when you sign up for a Pigeonhole Live account, use or access our Services, contact our customer support team, choose to integrate our Services with a third-party service provider, or otherwise communicate with us in one way or another: Contact information to process payment for goods and services, such as your name, and email and shipping address."
personal identifier,we,"legal, analytics, services, security","If you log-in to our Services using your social network account ("" Third-Party Social Network Account ""), we may collect information such as your account user ID, profile name, profile picture and such other information as you may provide when you choose to log-in to our Website in this manner."
personal information,UNSPECIFIED_ACTOR,services,"For Organisers, if you choose to integrate our Services with other third-party applications, API, integrations or plugins, we may, on your behalf, disclose the personal data we collect or receive to these service providers, as a data processor or as otherwise provided for in this Privacy Policy, to enable you to use the third-party applications, and plugins.
To deliver our Services and other business-related functions to you, we may share your personal information with our trusted third-party vendors and hosting partners which provide us with the necessary hardware, software, networking, storage, and related technology."
personal information,cloud hosting provider,,"These third-party vendors include: Cloud hosting providers, including Amazon Web Services (AWS), to store and process your personal data; and"
personal information,host partner,services,"To deliver our Services and other business-related functions to you, we may share your personal information with our trusted third-party vendors and hosting partners which provide us with the necessary hardware, software, networking, storage, and related technology."
personal information,plugin,,"For Organisers, if you choose to integrate our Services with other third-party applications, API, integrations or plugins, we may, on your behalf, disclose the personal data we collect or receive to these service providers, as a data processor or as otherwise provided for in this Privacy Policy, to enable you to use the third-party applications, and plugins.
These third-party applications and plugins may collect and process such personal data in accordance to their own privacy practices."
personal information,service provider,services,"For Organisers, if you choose to integrate our Services with other third-party applications, API, integrations or plugins, we may, on your behalf, disclose the personal data we collect or receive to these service providers, as a data processor or as otherwise provided for in this Privacy Policy, to enable you to use the third-party applications, and plugins."
personal information,we,"legal, analytics, services, security","For Organisers, if you choose to integrate our Services with other third-party applications, API, integrations or plugins, we may, on your behalf, disclose the personal data we collect or receive to these service providers, as a data processor or as otherwise provided for in this Privacy Policy, to enable you to use the third-party applications, and plugins.
If we have trouble processing an order, we will use this information to contact you.
If you purchase or subscribe to fee-based Services or purchase other products or services from us, we will use your personal information and the relevant payment information we have collected from you to process payment and any refund.
To deliver our Services and other business-related functions to you, we may share your personal information with our trusted third-party vendors and hosting partners which provide us with the necessary hardware, software, networking, storage, and related technology.
To the extent necessary, we may collect, process and use your personal information for our legitimate interests and the following business purposes:
We may also disclose your personal data to a law enforcement agency's request or where we believe it is necessary to prevent, investigate, or take action regarding, illegal activities or suspected fraud.
We may also disclose your personal data to any other third parties with your consent.
We may disclose your personal information if we are so requested by the law, government agencies or statutory bodies, to the extent permitted under the applicable law.
We may disclose your personal information in response to a court order or subpoena.
We only retain personal information for so long as it is reasonably necessary to fulfil the relevant business or legal purposes, including for the purposes of satisfying any legal, accounting, or reporting requirements.
We use your personal data to provide you with a safe, smooth, efficient, and customized experience when you use our Services."
personal information you communicate to we,we,"legal, analytics, services, security","You may also provide the following data to us in specific instances such as when you sign up for a Pigeonhole Live account, use or access our Services, contact our customer support team, choose to integrate our Services with a third-party service provider, or otherwise communicate with us in one way or another: Personal information that you have communicated to us when you reach out to us either by sending an email or through other means."
