data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,services,"As explained in this Privacy Policy, we sometimes provide your information to third parties to perform services on our behalf.
We share your information with our third-party service providers and any subcontractors as required to offer you our products and services."
UNSPECIFIED_DATA,advertiser,advertising,"With respect to website cookies, we share your information with third party marketing and advertising partners to provide tailored advertising on our Sites and other websites that you may visit."
UNSPECIFIED_DATA,subcontractor,,We share your information with our third-party service providers and any subcontractors as required to offer you our products and services.
UNSPECIFIED_DATA,we,"advertising, services","As explained in this Privacy Policy, we sometimes provide your information to third parties to perform services on our behalf.
If your employer has engaged the services of Prodoscore, we may collect information from you on their behalf.
Like many website operators, we collect information from Website Visitors that your browser sends whenever you visit our website.
We may be required to disclose your data in response to lawful requests by public authorities, including to meet law enforcement requirements.
We share your information with our third-party service providers and any subcontractors as required to offer you our products and services.
With respect to website cookies, we share your information with third party marketing and advertising partners to provide tailored advertising on our Sites and other websites that you may visit.
You may give us information by signing up for services with Prodoscore, providing services to Prodoscore, entering information through our online forms or surveys, contacting us through our Drift LiveChat service, or contacting us by phone or email for information or customer service."
UNSPECIFIED_DATA,we,"advertising, services, analytics, security","As explained in this Privacy Policy, we sometimes provide your information to third parties to perform services on our behalf.
If your employer has engaged the services of Prodoscore, we may collect information from you on their behalf.
Like many website operators, we collect information from Website Visitors that your browser sends whenever you visit our website.
We may be required to disclose your data in response to lawful requests by public authorities, including to meet law enforcement requirements.
We share your information with our third-party service providers and any subcontractors as required to offer you our products and services.
With respect to website cookies, we share your information with third party marketing and advertising partners to provide tailored advertising on our Sites and other websites that you may visit.
You may give us information by signing up for services with Prodoscore, providing services to Prodoscore, entering information through our online forms or surveys, contacting us through our Drift LiveChat service, or contacting us by phone or email for information or customer service."
anonymous datum,UNSPECIFIED_ACTOR,"services, analytics","With respect to anonymous and deidentified data, Prodoscore may share such data with third parties for research and analytics purposes."
datum you provide to we,office,,"Any data that you provide to us may be accessed, shared or processed by our offices, located in the United States, and service providers located in the United States, if such data transfer is necessary for the specific purpose for which you submitted your data (such as the provision of goods or services under a written contract)."
datum you provide to we,service provider locate in united states,,"Any data that you provide to us may be accessed, shared or processed by our offices, located in the United States, and service providers located in the United States, if such data transfer is necessary for the specific purpose for which you submitted your data (such as the provision of goods or services under a written contract)."
information we get from google analytics,we,"advertising, services",We use the information we get from Google Analytics only to improve this site.
personal information we handle under privacy shield,we,"advertising, services, analytics, security","We may be required to disclose personal information that we handle under the Privacy Shield in response to lawful requests by public authorities, including to meet national security or law enforcement requirements."
