data_type,collector,purpose,text
UNSPECIFIED_DATA,customer representative,"security, services","This includes carrying out security checks (this may involve passing Customer Representative Data to a credit reference agency, who will check the details we give them against public and private databases and may keep a record of that check to use in future security checks - this helps to protect our Customers and us from fraudulent transactions).  A Customer Representative has the ability to manage the Customer's products and services via our online portal, and requires us to process the Customer Representative's Data in order to provide login details (including a username and password)."
UNSPECIFIED_DATA,law enforcement agency,,"Occasionally, we may be asked to provide certain information to regulators or law enforcement agencies and we will comply with these requests where legally required or permitted.
Where required or permitted by law, information may be provided to others, such as regulators and law enforcement agencies."
UNSPECIFIED_DATA,regulator,,"Occasionally, we may be asked to provide certain information to regulators or law enforcement agencies and we will comply with these requests where legally required or permitted.
Where required or permitted by law, information may be provided to others, such as regulators and law enforcement agencies."
UNSPECIFIED_DATA,telecom network service provider,services,"Where we have told our Customers in advance, we may disclose certain information to telecoms network service providers for purposes solely connected with the provision of our products and services via their networks."
UNSPECIFIED_DATA,we,services,"Occasionally, we may be asked to provide certain information to regulators or law enforcement agencies and we will comply with these requests where legally required or permitted.
We have offices and operations in a number of international locations and we share information between our group companies to provide our products and services and for business and administrative purposes.
Where we have told our Customers in advance, we may disclose certain information to telecoms network service providers for purposes solely connected with the provision of our products and services via their networks.
Where we provide Microsoft Teams Managed Services to customers, we will collect and process data from the customer's Microsoft Teams Tenant and their current PBX back-up."
call detail records,we,"services, legal",We store some specific personal data as follows: Call Detail Records and Customer billing records (which contain Call Detail Records) are retained for no longer than two years (from the data such records are recorded) for legal and regulatory purposes.
call recording,we,"services, legal","Our Customers are responsible for ensuring that appropriate notices are provided and consents obtained (where necessary) for any monitoring that we carry out on their behalf, including processing call recordings.
We also collect call data such as calling party number, called party number, date and time of call, duration (collectively referred to as ""Call Detail Records"" ), number of calls, quality, recipient, occasionally call recordings (if requested by our Customers, to monitor call quality or as otherwise legally permitted, which means retaining a .wav or .mp3 file of the call recording).  Where we monitor calls, we may also collect personal data of call recipients.
We need this information to be able to provide our products and services."
cookie / pixel tag,UNSPECIFIED_ACTOR,,"In addition to the information provided above, the following website provides information on deleting or controlling cookies and is available at www.aboutcookies.org ."
cookie / pixel tag,we,"services, legal, analytics","This website stores cookies on your computer.
To administer, maintain, and improve our Website , we use ""cookies"" to monitor Website Visitor traffic patterns and site usage."
copy of inbound fax message,we,"services, legal, analytics","Where we provide customers with a fax-to-email or email-to-fax service, we will process copies of any inbound and outbound fax messages during transmission."
customer billing record,we,"services, legal, analytics",We store some specific personal data as follows: Call Detail Records and Customer billing records (which contain Call Detail Records) are retained for no longer than two years (from the data such records are recorded) for legal and regulatory purposes.
customer representative data,we,"services, legal, analytics, advertising","To inform Customers about promotions and our products and services, we may use Customer Representative Data and/or User Data to inform Customer Representatives and/or Users of information, promotions, products and services that may be of interest where we are legally permitted to do so (for example, where the contents of the communication relates to the same or similar products and services to those received by the Customer Representative and/or User) or where the Customer Representative and/or User has consented to receiving direct marketing from us (or a company similar to us).
To provide our products and services, administer Customer accounts, and run our business, we use Customer Representative Data to process individual service orders and to process any application for services (e.g. on a pre- or post-paid contract), to maintain guarantee records, set up and maintain Customer accounts and to provide after-sales service."
detail of user of product,we,"services, legal, analytics, advertising",We are provided with details of the Users of our products and services so that we can allocate contact numbers to those Users.
option port number of user from alternative provider to we,we,"services, legal, analytics, advertising",We also provide Customers with the option to port numbers of their Users from an alternative provider to us.
personal datum of call recipient,we,"services, legal, analytics, advertising","We also collect call data such as calling party number, called party number, date and time of call, duration (collectively referred to as ""Call Detail Records"" ), number of calls, quality, recipient, occasionally call recordings (if requested by our Customers, to monitor call quality or as otherwise legally permitted, which means retaining a .wav or .mp3 file of the call recording).  Where we monitor calls, we may also collect personal data of call recipients."
purchase information,we,"services, legal, analytics, advertising, security","This may include name, title, company name, IP address, physical address, location, phone number, email address, username, password, purchase information, payment method and bank details of the Customer.
We need this information to be able to provide our products and services and run our business."
specific personal datum,we,"services, legal, analytics, advertising, security",We store some specific personal data as follows:
user data,we,"services, legal, analytics, advertising, security","We may also process User Data when monitoring calls to ensure compliance with our practices and procedures and where, for example, a contract is entered into to provide evidence of the transaction.
We monitor call quality to improve the service which we provide and use User Data to optimize our services and our Customers' and their Users' experience.
We use User Data for troubleshooting purposes to resolve faults, incidents or debugging issues with our products and services, which may be identified by the User and submitted to us via our help desk, and we may also use User Data for providing fault, fraud and maintenance notifications to Users, all of which are necessary notifications in order for us to provide the products and services required by the Customer."
user datum,we,"services, legal, analytics, advertising, security","To inform Customers about promotions and our products and services, we may use Customer Representative Data and/or User Data to inform Customer Representatives and/or Users of information, promotions, products and services that may be of interest where we are legally permitted to do so (for example, where the contents of the communication relates to the same or similar products and services to those received by the Customer Representative and/or User) or where the Customer Representative and/or User has consented to receiving direct marketing from us (or a company similar to us)."
