data_type,collector,purpose,text
UNSPECIFIED_DATA,we,,"For example, if you have provided us with personal information such as an email address when contacting us about a specific enquiry, we may retain this information for the duration of your enquiry remaining open as well as for our own records so we may effectively address similar enquiries in future.
This time period may depend on what we are using your information for, in accordance with this privacy policy.
We may collect, hold, use, and disclose information for the following purposes, and personal information will not be further processed in a manner that is incompatible with these purposes:"
cookie / pixel tag,we,,"We use ""cookies"" to collect information about you and your activity across our site."
datum about device,we,,"When you visit our website or interact with our services, we may automatically collect data about your device."
full detail of allege breach,we,,"If you believe that we have breached a relevant data protection law and wish to make a complaint, please contact us using the details below and provide us with full details of the alleged breach."
information about you,we,,"We use ""cookies"" to collect information about you and your activity across our site."
permission,we,,"If required by law, we will get your permission or give you the opportunity to opt in to or opt out of, as applicable, any new uses of your personal information."
personal information,we,"analytics, legal","By providing personal information to us, you understand we will collect, hold, use, and disclose your personal information in accordance with this privacy policy.
However, if necessary, we may retain your personal information for our compliance with a legal, accounting, or reporting obligation or for archiving purposes in the public interest, scientific, or historical research purposes or statistical purposes.
Information We Collect

HOW LONG WE KEEP YOUR PERSONAL INFORMATION
We keep your personal information only for as long as we need to.
We may collect personal information from you when you do any of the following on our website:
We may collect, hold, use, and disclose information for the following purposes, and personal information will not be further processed in a manner that is incompatible with these purposes:
We only collect and use your personal information when we have a legitimate reason for doing so."
personal information be,we,"analytics, legal","In which instance, we only collect personal information that is reasonably necessary to provide our services to you."
specific information,we,"analytics, legal, security",We may need to request specific information from you to help us confirm your identity.
standard datum provide,we,"analytics, legal, security","When you visit our website, our servers may automatically log the standard data provided by your web browser."
