data_type,collector,purpose,text
UNSPECIFIED_DATA,Apple,,"Apple collect all payment data and information with respect to purchases made through the App or via Apple's App Store.
Apple or Google collect all payment data and information with respect to purchases made through the App or via Apple's App Store or Google's Play Store."
UNSPECIFIED_DATA,Google,,Apple or Google collect all payment data and information with respect to purchases made through the App or via Apple's App Store or Google's Play Store.
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,We may provide information to a third party if we are required to do so by law or we believe in good faith that such action is necessary.
UNSPECIFIED_DATA,we,,"Accordingly, we use your information to:
If you do this, we may share certain information with these partners.
We may provide information to a third party if we are required to do so by law or we believe in good faith that such action is necessary.
We may share Personal Information when we have your permission, for instance if you sign up for programs offered by us or any of our partners.
Whenever you use our Services, in a case of an error, bug or crash in the Services we collect data and information (through third party products) on your Device called Log Data."
advertising id,UNSPECIFIED_ACTOR,,These third parties have access to mobile advertising identifiers which are then used to serve the ads.
aggregated user datum,service provider,"advertising, analytics","Please note we may also share non-personal information (aggregated or anonymized user data) publicly and with service providers for research or marketing purposes, for example, we may share trends in use of the Services and Content."
aggregated user datum,we,"advertising, analytics","Please note we may also share non-personal information (aggregated or anonymized user data) publicly and with service providers for research or marketing purposes, for example, we may share trends in use of the Services and Content."
behavioral information about you,UNSPECIFIED_ACTOR,advertising,"This behavioral information is shared with third-party partners to conduct interest-based advertising.
We do collect behavioral information about you when you are using the free versions of our Apps or some of our websites."
behavioral information about you,we,"advertising, analytics",We do collect behavioral information about you when you are using the free versions of our Apps or some of our websites.
coarse geolocation,we,"advertising, analytics","In some cases, we may collect and store information about your approximate location, by converting your IP address into a rough, non-specific, proxy location, e. g. town/city level.
We may use such anonymized information for operational and improvement analytics."
cookie / pixel tag,we,"advertising, analytics","We can also use this behavior linked to the anonymous cookie ID as part of real-time bidding (RTB).
We collect mobile identifiers such as Android's Advertising ID (AAID/IFA) or Apple's Identifier for Advertising and cookies to conduct interest-based advertising, also referred to as targeted advertising or behavioral advertising."
datum about behavior on free app,we,"advertising, analytics","We collect data about your behavior on our free Apps - such as how long you spend watching, and how often."
information transmit through device,we,"advertising, analytics","As is common practice for most websites and mobile applications, we gather certain information that is automatically transmitted through your Device, as detailed below:
As is common practice, we also gather certain information that is automatically transmitted through your Device, as detailed below:"
internet activity,we,"advertising, analytics, services","This information allows us to securely enable you to access your account, to ensure that the Services are presented in the most effective manner for you on your Device, to enable you to enjoy and easily navigate the Services and to enable us to gather anonymized usage data to understand how we can improve the Services."
non-personal information,service provider,"advertising, analytics","Please note we may also share non-personal information (aggregated or anonymized user data) publicly and with service providers for research or marketing purposes, for example, we may share trends in use of the Services and Content."
non-personal information,we,"advertising, analytics, services","Please note we may also share non-personal information (aggregated or anonymized user data) publicly and with service providers for research or marketing purposes, for example, we may share trends in use of the Services and Content."
payment datum,Apple,,"Apple collect all payment data and information with respect to purchases made through the App or via Apple's App Store.
Apple or Google collect all payment data and information with respect to purchases made through the App or via Apple's App Store or Google's Play Store."
payment datum,Google,,Apple or Google collect all payment data and information with respect to purchases made through the App or via Apple's App Store or Google's Play Store.
personal information,UNSPECIFIED_ACTOR,"advertising, analytics","We share your personal data with third parties to measure our performance and increase our conversion rates, such as Facebook Analytics and Clevertap."
personal information,co,,"Upon the sale or transfer of the company and/or all or part of its assets, your Personal Information may be transferred to a subsequent owner or co-owner of the business."
personal information,service provider,"advertising, analytics",These service providers may have access to your Personal Information in the performance of the tasks assigned to them on our behalf.
personal information,we,"advertising, analytics, services","Simply put, we collect personal information about you which we or our partners use to provide you with ads which are relevant to you.
We may share Personal Information when we have your permission, for instance if you sign up for programs offered by us or any of our partners.
We share your personal data with third parties to measure our performance and increase our conversion rates, such as Facebook Analytics and Clevertap.
We use your Personal Information with the sole purpose of delivering you the best possible experience of our Services.
When you use our Services, you may voluntarily provide us with Personal Information through the following means:"
speaker,we,"advertising, analytics, services","The term Device refers to the device which is used to access the Services including but not limited to computers, smart phones, tablets, headphones, wearable smart devices, and speakers."
third party code,whattime,,"However, Whattime may use third party code and libraries that use ""cookies"" to collect information and improve the performance of the Services."
