data_type,collector,purpose,text
UNSPECIFIED_DATA,Google,,You can learn how Google collects and uses information at www.google.com/policies/privacy/partners.
UNSPECIFIED_DATA,we,,We obtain data from third parties.
advertising id,we,analytics,"We use cookies, web beacons, mobile analytics and advertising IDs ("" mobile IDs ""), and similar technologies to operate our websites and online services and to help collect data, including usage data, identifiers, and device information."
aggregate / deidentified / pseudonymized information,we,analytics,"Finally, we may share de-identified information in accordance with applicable law."
cookie / pixel tag,we,analytics,"We use cookies, web beacons, mobile analytics and advertising IDs ("" mobile IDs ""), and similar technologies to operate our websites and online services and to help collect data, including usage data, identifiers, and device information."
cookie / pixel tag,we,"analytics, legal","We use cookies, web beacons, mobile analytics and advertising IDs ("" mobile IDs ""), and similar technologies to operate our websites and online services and to help collect data, including usage data, identifiers, and device information."
device identifier,advertiser,,Our apps contain software that enables us and our third-party analytics and advertising partners to access these mobile IDs.
device identifier,analytic provider,,Our apps contain software that enables us and our third-party analytics and advertising partners to access these mobile IDs.
device identifier,we,analytics,"Our apps contain software that enables us and our third-party analytics and advertising partners to access these mobile IDs.
We use cookies, web beacons, mobile analytics and advertising IDs ("" mobile IDs ""), and similar technologies to operate our websites and online services and to help collect data, including usage data, identifiers, and device information."
device identifier,we,"analytics, legal","Our apps contain software that enables us and our third-party analytics and advertising partners to access these mobile IDs.
We use cookies, web beacons, mobile analytics and advertising IDs ("" mobile IDs ""), and similar technologies to operate our websites and online services and to help collect data, including usage data, identifiers, and device information."
geolocation,web server,,"For example, when you visit our websites, our web servers automatically log: Geolocation data , such as city, state, and country, depending on your device or app settings."
hello world llc,schedulista,services,"This policy explains why Hello World LLC and our controlled affiliates and subsidiaries (collectively, "" Schedulista ,"" "" we ,"" "" our ,"" or "" us "") collect your personal data when you use our website ( schedulista.com ), mobile apps, and related products and services (collectively, "" Services "")."
identifier,web server,,"For example, when you visit our websites, our web servers automatically log: Identifiers and device information , including your computer's operating system, Internet Protocol (IP) address, browser type and language."
information about device,web server host image,,"This allows that web server to log information about your device and to set and read its own cookies.
When your browser opens a webpage or email that contains a web beacon, it automatically connects to the web server that hosts the image (typically operated by a third party)."
information we collect,UNSPECIFIED_ACTOR,,We and/or our partners also share the information we collect or infer with third parties for these purposes.
information we collect,we,analytics,We and/or our partners also share the information we collect or infer with third parties for these purposes.
mobile analytic,we,analytics,"We use cookies, web beacons, mobile analytics and advertising IDs ("" mobile IDs ""), and similar technologies to operate our websites and online services and to help collect data, including usage data, identifiers, and device information."
mobile app,we,"analytics, legal","This policy explains why Hello World LLC and our controlled affiliates and subsidiaries (collectively, "" Schedulista ,"" "" we ,"" "" our ,"" or "" us "") collect your personal data when you use our website ( schedulista.com ), mobile apps, and related products and services (collectively, "" Services "")."
option limit tracking,ios operate system,,iOS and Android operating systems provide options to limit tracking and/or reset the analytics IDs.
payment datum,UNSPECIFIED_ACTOR,,"When you provide payment data, for example to make a purchase, we will share payment and transactional data with banks and other entities as necessary for payment processing, fraud prevention, credit risk reduction, or other related financial services."
payment datum,bank,,"When you provide payment data, for example to make a purchase, we will share payment and transactional data with banks and other entities as necessary for payment processing, fraud prevention, credit risk reduction, or other related financial services."
payment datum,we,analytics,"When you provide payment data, for example to make a purchase, we will share payment and transactional data with banks and other entities as necessary for payment processing, fraud prevention, credit risk reduction, or other related financial services."
personal datum collect through service,we,analytics,We use personal data collected through our Services for purposes described in this Privacy Policy or otherwise disclosed to you.
profile information,we,"analytics, legal","These third-party sources include, for example: If you are a Client, the applicable Customer you schedule an appointment with may provide us with your profile and appointment information."
related product,we,"analytics, legal","This policy explains why Hello World LLC and our controlled affiliates and subsidiaries (collectively, "" Schedulista ,"" "" we ,"" "" our ,"" or "" us "") collect your personal data when you use our website ( schedulista.com ), mobile apps, and related products and services (collectively, "" Services "")."
