data_type,collector,purpose,text
aggregate / deidentified / pseudonymized information,we,,"Please note that in the course of providing the Services, we collect and maintain aggregated, anonymized or de-personalized information which we may retain indefinitely."
complete payment information,we,,We transmit your End Users' complete payment information when they initially provide or update it only so that we can pass it along to the eCommerce Payment Processors you agree to use.
cookie / pixel tag,we,services,"We also use cookies and similar technologies for this purpose, such as remembering which of Your Sites you most recently edited.
We use our own cookies to recognize you when you visit our website or use our apps."
email address,we,services,"For example, we need your email address so you can sign in to your SimpleUpdates account."
geolocation,we,services,"For example, we use your location information to determine your language preferences or display accurate date and time information."
personal information regard you,we,"services, legal, security","We collect various personal information regarding you or your device.
We retain personal information regarding you or your use of the Services for as long as your Account is active or for as long as needed to provide you or our Users with the Services."
personal information we obtain about you,we,"services, legal, security",We use the personal information we obtain about you to:
portfolio,we,"services, legal, security",Websites : Portfolio
theme,we,"services, legal, security",Websites : Themes
user content,we,"services, legal, security",We also host and process User Content for our Users.
