data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"If we become involved in a merger, acquisition, sale of assets, bankruptcy, reorganization, dissolution, or other transaction or if the ownership of all or substantially all our business otherwise changes, we may transfer your information to a third party or parties in connection therewith."
UNSPECIFIED_DATA,we,security,"For example, we may obtain information from you directly through the forms you complete using the Site and/or Services.
If we become involved in a merger, acquisition, sale of assets, bankruptcy, reorganization, dissolution, or other transaction or if the ownership of all or substantially all our business otherwise changes, we may transfer your information to a third party or parties in connection therewith.
To verify your identity, we may require you to log into your Skilljar account (if applicable), provide government identification, give a declaration as to your identity under the penalty of perjury and/or provide additional information.
We will retain your information for the period necessary to fulfill the purposes outlined in this Privacy Notice unless a longer retention period is required or permitted by law."
coarse geolocation,we,"security, services","We automatically collect other information about you, including: Your approximate geographic location;
We collect the following types of information in the manner described below."
cookie / pixel tag,Google,,"Google Analytics uses cookies to collect and store anonymous information such as Site pages visited, time spent on each Site page, Internet Protocol address and type of operating system used."
cookie / pixel tag,we,"security, services","In any cases where the personal information above is provided to us, we will process that information in accordance with applicable laws.
We also automatically collect information as you use our Site which may include IP addresses, and information collected through cookies, web beacons, and other tracking technologies.
We may share personal information with the following categories of parties: Cookies, Other Storage and Web Beacons.
We, along with our third-party service partners and business partners, use cookies, other storage, and Web beacons."
domain name of internet service provider,we,"security, services","We automatically collect other information about you, including: Domain name of your Internet service provider;
We collect the following types of information in the manner described below."
email address,we,"security, services","You may voluntarily provide us with information, including: Your name, email address, and any other information that you provide in registering to use the Site and Services;"
government identification,we,"security, services","To verify your identity, we may require you to log into your Skilljar account (if applicable), provide government identification, give a declaration as to your identity under the penalty of perjury and/or provide additional information."
information necessary,we,"security, services",We may require you to submit additional information necessary to verify your identity and status as an EU data subject.
information we collect,we,"security, services, analytics, legal","We may also use or disclose the information that we collect for one or more of the following business purposes, which do require that we share the collected information with certain third parties in accordance with applicable law (""compliance processing purposes""):
We may use or disclose the information that we collect for one or more of the following business purposes, which do not require that we share the collected information with any third parties apart from our service providers (""internal processing purposes""):"
information you provide in,we,"security, services, analytics, legal","You may voluntarily provide us with information, including: Your name, email address, and any other information that you provide in registering to use the Site and Services;"
integration,we,"security, services, analytics, legal",Product : Integrations
ip address,we,"security, services","In any cases where the personal information above is provided to us, we will process that information in accordance with applicable laws.
We also automatically collect information as you use our Site which may include IP addresses, and information collected through cookies, web beacons, and other tracking technologies.
We automatically collect other information about you, including: Your Internet Protocol address;
We collect the following types of information in the manner described below."
ip address,we,"security, services, analytics, legal","In any cases where the personal information above is provided to us, we will process that information in accordance with applicable laws.
We also automatically collect information as you use our Site which may include IP addresses, and information collected through cookies, web beacons, and other tracking technologies.
We automatically collect other information about you, including: Your Internet Protocol address;
We collect the following types of information in the manner described below."
news,we,"security, services, analytics, legal",Company : News
non-personal information,we,"security, services","We automatically collect other information about you, including: Aggregated information that cannot be used to specifically identify you when you use or visit the Site and Services.
We collect the following types of information in the manner described below."
non-personal information,we,"security, services, analytics, legal","We automatically collect other information about you, including: Aggregated information that cannot be used to specifically identify you when you use or visit the Site and Services.
We collect the following types of information in the manner described below."
person name,company with whom you form business relationship for personal purpose,,"Under California's Shine the Light law, you may also ask companies with whom you have formed a business relationship primarily for personal, family or household purposes to provide the names of third parties to which they have disclosed certain personal information (as defined under the Shine the Light law) during the preceding calendar year for their own direct marketing purposes and the categories of personal information disclosed."
person name,we,"security, services, analytics, legal","We collect the following types of information in the manner described below.
You may voluntarily provide us with information, including: Your name, email address, and any other information that you provide in registering to use the Site and Services;"
personal information,LINE,,We may share personal information with the following categories of parties: Third Party Service Providers and Business Partners.
personal information,UNSPECIFIED_ACTOR,,"Personal information may be disclosed to third parties for a business purpose in accordance with our Privacy Notice.
We may share personal information with the following categories of parties: Third Party Service Providers and Business Partners."
personal information,business change,,We may share personal information with the following categories of parties: Business Changes.
personal information,investigation,,We may share personal information with the following categories of parties: Investigations and Law.
personal information,we,"security, services, analytics, legal","At a minimum, we will retain your personal data for as long as necessary for the purpose in which it was collected such as to perform a contract, for our or a third-party's legitimate interest, or your consent.
Once the business purposes for which the personal information was collected is/are no longer applicable, we will retain that personal information for no longer than reasonably necessary and proportionate to fulfill the purposes for which we originally collected or processed that personal information.
We may share personal information with the following categories of parties:"
product solution,we,"security, services, analytics, legal",Product : Solutions
skilljar connect,we,"security, services, analytics, legal",Company : Skilljar Connect
skilljar help center,we,"security, services, analytics, legal",Company : Skilljar Help Center
skilljar inc.,we,"security, services, analytics, legal","Welcome to the website www.skilljar.com (part of the ""Site,"" as defined in the Membership and Use Agreement) of Skilljar Inc. (""we"", ""us"" or ""our"")."
storage,we,"security, services, analytics, legal","We, along with our third-party service partners and business partners, use cookies, other storage, and Web beacons."
written confirmation you give authorized agent permission submit request,we,"security, services, analytics, legal","If you have not provided your agent with such a power of attorney, you must provide your agent with written and signed permission to exercise your rights on your behalf, provide the information we request to verify your identity and provide us with written confirmation that you have given the authorized agent permission to submit the request."
