data_type,collector,purpose,text
UNSPECIFIED_DATA,we,,"IN GENERAL, WE ONLY USE YOUR PERSONAL INFORMATION IN THE MANNER DESCRIBED IN THE PRIVACY NOTICE IN EFFECT WHEN WE RECEIVED THAT PERSONAL INFORMATION.YOUR
This ""automatically collected"" information may include Internet Protocol address (""IP Address""), a unique device or user ID, version of software installed, system type, the referring search query used to locate content and pages on the SlidesClicker Platform, the content and pages that you access on the SlidesClicker Platform, the dates and times that you visit the SlidesClicker Software, the amount of usage of SlidesClicker platform etc.
When you access the SlidesClicker Platform or open one of our HTML emails, we may automatically record certain information from your system by using different types of tracking technology."
age,slidesclicker software,,"You may also provide other information to SlidesClicker Software, including your age, location, and gender, through use of other functionality and features."
aggregated type,UNSPECIFIED_ACTOR,,"- SlidesClicker may disclose aggregated or other types of non-personally identifiable information to third parties for various purposes, including marketing or promotional uses."
aggregated type,UNSPECIFIED_ACTOR,analytics,"- SlidesClicker may disclose aggregated or other types of non-personally identifiable information to third parties for various purposes, including marketing or promotional uses."
aggregated type,slidesclicker,,"- SlidesClicker may disclose aggregated or other types of non-personally identifiable information to third parties for various purposes, including marketing or promotional uses."
aggregated type,slidesclicker,"advertising, analytics, services","- SlidesClicker may disclose aggregated or other types of non-personally identifiable information to third parties for various purposes, including marketing or promotional uses."
amount of usage of slidesclicker platform,we,,"This ""automatically collected"" information may include Internet Protocol address (""IP Address""), a unique device or user ID, version of software installed, system type, the referring search query used to locate content and pages on the SlidesClicker Platform, the content and pages that you access on the SlidesClicker Platform, the dates and times that you visit the SlidesClicker Software, the amount of usage of SlidesClicker platform etc.
When you access the SlidesClicker Platform or open one of our HTML emails, we may automatically record certain information from your system by using different types of tracking technology."
collect information,slidesclicker,"advertising, analytics, services","- SlidesClicker may use ""Automatically Collected"" information and ""Cookies"" information to: (a) automatically update the SlidesClicker application on your system; (b) remember your information so that you will not have to re-enter it during your visit or the next time you access the SlidesClicker Platform; (c) monitor aggregate site usage metrics such as total number of visitors and pages accessed; (d) provide such metrics to Users as they pertain to such User's uploaded content; and (e) track your entries, submissions, and status in any promotions or other activities."
cookie / pixel tag,slidesclicker,"advertising, analytics, services","- SlidesClicker may use ""Automatically Collected"" information and ""Cookies"" information to: (a) automatically update the SlidesClicker application on your system; (b) remember your information so that you will not have to re-enter it during your visit or the next time you access the SlidesClicker Platform; (c) monitor aggregate site usage metrics such as total number of visitors and pages accessed; (d) provide such metrics to Users as they pertain to such User's uploaded content; and (e) track your entries, submissions, and status in any promotions or other activities.
SlidesClicker may use both session cookies and persistent cookies."
date,we,,"This ""automatically collected"" information may include Internet Protocol address (""IP Address""), a unique device or user ID, version of software installed, system type, the referring search query used to locate content and pages on the SlidesClicker Platform, the content and pages that you access on the SlidesClicker Platform, the dates and times that you visit the SlidesClicker Software, the amount of usage of SlidesClicker platform etc.
When you access the SlidesClicker Platform or open one of our HTML emails, we may automatically record certain information from your system by using different types of tracking technology."
email address,we,"security, services","- We will use your email address, without further consent, for administrative communications such as notifying you of major SlidesClicker Platform updates, for customer service purposes, to address copyright infringement or defamation issues, or to contact you regarding any content that you have posted to or downloaded from the SlidesClicker Platform."
gender,slidesclicker software,,"You may also provide other information to SlidesClicker Software, including your age, location, and gender, through use of other functionality and features."
geolocation,slidesclicker software,,"You may also provide other information to SlidesClicker Software, including your age, location, and gender, through use of other functionality and features."
information you provide,slidesclicker,"advertising, analytics, services","- SlidesClicker may also use the information that you provide or that we collect to serve you with advertisements.
- SlidesClicker uses the information that you provide or that we collect to operate, maintain, enhance, and provide all of the features and services found on the SlidesClicker Platform as well as to track user-generated content and Users to the extent necessary to comply as a service provider with the Digital Millennium Copyright Act."
ip address,we,"security, services","This ""automatically collected"" information may include Internet Protocol address (""IP Address""), a unique device or user ID, version of software installed, system type, the referring search query used to locate content and pages on the SlidesClicker Platform, the content and pages that you access on the SlidesClicker Platform, the dates and times that you visit the SlidesClicker Software, the amount of usage of SlidesClicker platform etc.
When you access the SlidesClicker Platform or open one of our HTML emails, we may automatically record certain information from your system by using different types of tracking technology."
personal information in manner describe in privacy notice in effect,we,"security, services","IN GENERAL, WE ONLY USE YOUR PERSONAL INFORMATION IN THE MANNER DESCRIBED IN THE PRIVACY NOTICE IN EFFECT WHEN WE RECEIVED THAT PERSONAL INFORMATION.YOUR"
system type,we,"security, services","This ""automatically collected"" information may include Internet Protocol address (""IP Address""), a unique device or user ID, version of software installed, system type, the referring search query used to locate content and pages on the SlidesClicker Platform, the content and pages that you access on the SlidesClicker Platform, the dates and times that you visit the SlidesClicker Software, the amount of usage of SlidesClicker platform etc.
When you access the SlidesClicker Platform or open one of our HTML emails, we may automatically record certain information from your system by using different types of tracking technology."
