data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,legal,We may also share data with third parties when necessary in order to comply with a legal or regulatory obligation.
UNSPECIFIED_DATA,we,legal,We may also share data with third parties when necessary in order to comply with a legal or regulatory obligation.
access status code,we,"legal, services","For technical reasons, however, we collect the following data that your browser transmits to our server when you are navigating the site or through some third party providers: Access status/HTTP status code"
account holder name,somble,,"Somble does not have access to this information, but does receive an identifier containing the bank name, routing number and last four digits of the account number, and Somble can request account holder name and account type on a user if required."
account holder name,we,"legal, services, security","- If you use Somble as a User or Creator, we process the following data as the data controller: We use this data for the legitimate interest of displaying our website to you and providing stability and security in the operation of our website.
Personal information processed by Somble - If you use Somble as a User or Creator, we process the following data as the data controller:
This information includes: Account holder name"
account information,we,"legal, services, security","- If you use Somble as a User or Creator, we process the following data as the data controller: For all Users and Creators: Account and profile information.
- If you use Somble as a User or Creator, we process the following data as the data controller: We use this data for the legitimate interest of displaying our website to you and providing stability and security in the operation of our website.
Personal information processed by Somble - If you use Somble as a User or Creator, we process the following data as the data controller:"
account number of us bank account,we,"legal, services, security","- If you use Somble as a User or Creator, we process the following data as the data controller: We use this data for the legitimate interest of displaying our website to you and providing stability and security in the operation of our website.
Personal information processed by Somble - If you use Somble as a User or Creator, we process the following data as the data controller:
This information includes: Account number of a US bank account"
account type,somble,,"Somble does not have access to this information, but does receive an identifier containing the bank name, routing number and last four digits of the account number, and Somble can request account holder name and account type on a user if required."
account type,we,"legal, services, security","- If you use Somble as a User or Creator, we process the following data as the data controller: We use this data for the legitimate interest of displaying our website to you and providing stability and security in the operation of our website.
Personal information processed by Somble - If you use Somble as a User or Creator, we process the following data as the data controller:
This information includes: Account type (individual or business)"
amount of datum transfer in case,we,"legal, services, security","- If you use Somble as a User or Creator, we process the following data as the data controller: We use this data for the legitimate interest of displaying our website to you and providing stability and security in the operation of our website.
For technical reasons, however, we collect the following data that your browser transmits to our server when you are navigating the site or through some third party providers: amount of data transferred in each case
Personal information processed by Somble - If you use Somble as a User or Creator, we process the following data as the data controller:"
basic business detail,Stripe,services,"In order to receive payments from your Users you must provide information to Stripe, our payment processor.
This additional information includes: Some basic business details"
basic business detail,payment processor,services,"In order to receive payments from your Users you must provide information to Stripe, our payment processor.
This additional information includes: Some basic business details"
basic business detail,we,"legal, services, security","- If you use Somble as a User or Creator, we process the following data as the data controller: We use this data for the legitimate interest of displaying our website to you and providing stability and security in the operation of our website.
Personal information processed by Somble - If you use Somble as a User or Creator, we process the following data as the data controller:
This additional information includes: Some basic business details"
credit / debit card number,Stripe,services,"In order to pay a Creator, you must provide additional information to Stripe, our payment processor.
This additional information includes: Credit card details (Somble does not receive your full credit card number)"
credit / debit card number,payment processor,services,"In order to pay a Creator, you must provide additional information to Stripe, our payment processor.
This additional information includes: Credit card details (Somble does not receive your full credit card number)"
date,we,"legal, services, security, advertising, analytics","- If you use Somble as a User or Creator, we process the following data as the data controller: We use this data for the legitimate interest of displaying our website to you and providing stability and security in the operation of our website.
For technical reasons, however, we collect the following data that your browser transmits to our server when you are navigating the site or through some third party providers: date and time of the request
Personal information processed by Somble - If you use Somble as a User or Creator, we process the following data as the data controller:"
date of birth,Stripe,services,"In order to receive payments from your Users you must provide information to Stripe, our payment processor.
This additional information includes: Your date of birth"
date of birth,payment processor,services,"In order to receive payments from your Users you must provide information to Stripe, our payment processor.
This additional information includes: Your date of birth"
date of birth,somble,"analytics, services","For Creators: Somble does not have access to this information, but can request date of birth, home address and phone number, if needed, for identification purposes."
date of birth,we,"legal, services, security, advertising, analytics","- If you use Somble as a User or Creator, we process the following data as the data controller: We use this data for the legitimate interest of displaying our website to you and providing stability and security in the operation of our website.
Personal information processed by Somble - If you use Somble as a User or Creator, we process the following data as the data controller:
This additional information includes: Your date of birth"
datum browser transmit to server,we,"legal, services, security, advertising, analytics","For technical reasons, however, we collect the following data that your browser transmits to our server when you are navigating the site or through some third party providers:"
email address,Stripe,services,"In order to receive payments from your Users you must provide information to Stripe, our payment processor.
This additional information includes: Email address"
email address,payment processor,services,"In order to receive payments from your Users you must provide information to Stripe, our payment processor.
This additional information includes: Email address"
email address,we,"legal, services, security, advertising, analytics","- If you use Somble as a User or Creator, we process the following data as the data controller: We use this data for the legitimate interest of displaying our website to you and providing stability and security in the operation of our website.
Personal information processed by Somble - If you use Somble as a User or Creator, we process the following data as the data controller: For all Users and Creators: Email address
This additional information includes: Email address"
for user user name,we,"legal, services, security, advertising, analytics","- If you use Somble as a User or Creator, we process the following data as the data controller: We use this data for the legitimate interest of displaying our website to you and providing stability and security in the operation of our website.
Personal information processed by Somble - If you use Somble as a User or Creator, we process the following data as the data controller: For all Users and Creators: User name"
hard copy record of personal data,we,"legal, services, security, advertising, analytics",Sometimes we also keep hard copy records of this Personal Data in physical storage facilities.
