data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"Third parties may also help us provide you with customer support, and provide us with information so that we may help you use our Services."
UNSPECIFIED_DATA,we,,"By using or accessing the Services in any manner, you acknowledge that you accept the practices and policies outlined in this Privacy Policy, and you hereby consent that we will collect, use, and share your information in the following ways.
Third parties may also help us provide you with customer support, and provide us with information so that we may help you use our Services."
aggregate / deidentified / pseudonymized information,UNSPECIFIED_ACTOR,,"However, we never disclose aggregate usage or de-identified information to a partner (or allow a partner to collect such information) in a manner that would identify you as an individual person."
aggregate / deidentified / pseudonymized information,we,,"We may use any aggregated data derived from or incorporating your Personal Information after you update or delete it, but not in a manner that would identify you personally."
aggregate usage information,UNSPECIFIED_ACTOR,,"We may also provide aggregate usage information to our partners (or allow partners to collect that information from you), who may use such information to understand how often and in what ways people use our Services, so that they, too, can provide you with an optimal online experience."
aggregate usage information,we,,"We may also provide aggregate usage information to our partners (or allow partners to collect that information from you), who may use such information to understand how often and in what ways people use our Services, so that they, too, can provide you with an optimal online experience."
browsing / search history,we,,"Through cookies we place on your browser or device, we may collect information about your online activity after you leave our Services."
cookie / pixel tag,UNSPECIFIED_ACTOR,,"Also, if you click on a link to a third party website or service, a third party may also transmit cookies to you."
cookie / pixel tag,advertiser,,"Our advertising partners may also transmit cookies to your browser or device, when you click on ads that appear on the Services."
copy of unrevised information,we,,"When you update information, however, we may maintain a copy of the unrevised information in our records."
customer information,we,legal,"We may choose to buy or sell assets, and may share and/or transfer customer information in connection with the evaluation of and entry into such transactions."
information about you,we,legal,"Information from our advertising partners:

We may receive information about you from some of our service providers who assist us with marketing or promotional services related to how you interact with our websites, applications, products, services, advertisements or communications."
information collect,we,"legal, services","Information Collected Automatically
We may use this data to customize content for you that we think you might like, based on your usage patterns."
information collect about use of services,we,"legal, services",We may receive information collected by third parties about your use of the Services.
information on server log,we,"legal, services","Whenever you interact with our Services, we automatically receive and record information on our server logs from your browser or device, which may include the following:"
internet activity,we,"legal, services","Through cookies we place on your browser or device, we may collect information about your online activity after you leave our Services."
knowledge,we,"legal, services","We may also use it to improve the Services - for example, this data can tell us how often users use a particular feature of the Services, and we can use that knowledge to make the Services interesting to as many users as possible."
person name,employer organization,,"If you associated your account with your current employer or if your account is through your Organization, your usage records (including the frequency and duration of your involvement with the Services) may be disclosed to your employer/Organization, but we will not disclose your name or any other personally identifiable information or any specific details regarding the content of your Coaching Services to your employer/Organization without your consent."
person name,we,"legal, services","If you associated your account with your current employer or if your account is through your Organization, your usage records (including the frequency and duration of your involvement with the Services) may be disclosed to your employer/Organization, but we will not disclose your name or any other personally identifiable information or any specific details regarding the content of your Coaching Services to your employer/Organization without your consent."
