data_type,collector,purpose,text
UNSPECIFIED_DATA,digital relab,services,"Digital ReLab uses that information to authenticate users and to send notifications to users relating to the Website, Services, or related materials or opportunities.
When users sign up for an account or submit information via the Website or the Services, Digital ReLab may collect user-submitted information such as name, profile photograph, social media account information, mailing address, telephone number, and email address."
UNSPECIFIED_DATA,we,,"We may also provide your personal information to companies that help us process information, deliver products to you, manage and enhance user data, provide user service, assess your interest in our products and Services, or conduct user research or satisfaction surveys."
cookie / pixel tag,digital relab,"services, analytics","Digital ReLab uses cookies to store users' preferences and to record session information for purposes including: (i) to customize our Website or Services content based on browser type and user profile information; (ii) to help track usage to help us understand which parts of the Website or Services are most popular, where our visitors are going, and how much time visitors spend in those parts; (iii) to make our Website and Services even more rewarding for users; (iv) to study the effectiveness of our user communications; and (v) to customize each user's experience and provide greater convenience in navigating the Website or Services.
In addition, Digital ReLab uses technological measures, such as pixel tags - tiny graphic images - to tell us what parts of the Website or Services have been visited or to measure the effectiveness of searches users perform."
email address,digital relab,"services, analytics","Digital ReLab may also use a user's email address to send updates, newsletters, or news regarding the Services."
geolocation,we,,"In cases where you use a mobile device to access the Website and use the Services, we may receive information about the location of your device."
information about you,we,,"Digital ReLab, LLC (""Digital ReLab"") cares about online privacy and wants you to know how we collect, use, share, and protect information about you and the choices you have regarding our use of your information."
information regard zip code,digital relab,"services, analytics","Digital ReLab may receive information regarding your zip code and country as part of the payment transaction, which Digital ReLab may use to comply with tax and other government regulations."
information we collect,we,services,"We use the information that we collect to develop, deliver, and improve our Website, Services, and other offerings."
personal information,UNSPECIFIED_ACTOR,,"We may also provide your personal information to companies that help us process information, deliver products to you, manage and enhance user data, provide user service, assess your interest in our products and Services, or conduct user research or satisfaction surveys."
personal information,we,services,"We may also provide your personal information to companies that help us process information, deliver products to you, manage and enhance user data, provide user service, assess your interest in our products and Services, or conduct user research or satisfaction surveys."
tiny graphic image,digital relab,"services, analytics","In addition, Digital ReLab uses technological measures, such as pixel tags - tiny graphic images - to tell us what parts of the Website or Services have been visited or to measure the effectiveness of searches users perform."
