data_type,collector,purpose,text
UNSPECIFIED_DATA,partner company,,"If you agree, Tabtastic will share your data with partner companies so that they may offer you their products and services."
UNSPECIFIED_DATA,tabtastic,,"If you agree, Tabtastic will share your data with partner companies so that they may offer you their products and services.
Tabtastic collects your data so that we can:
Tabtastic may also receive your data indirectly from the following sources:
Tabtastic securely stores your data on servers provided by Hetzner Online GmbH, located in Nuremberg, Germany."
UNSPECIFIED_DATA,we,,"We collect and process data when you:
When you visit our websites, we may collect information from you automatically through cookies or similar technology."
billing information,we,,"When you use the Tabtastic service, either via the Tabtastic website or by interacting with the Tabtastic Discord bot, we collect and process the following data: Billing information (Billing Address)"
connect account on platform,we,,"When you use the Tabtastic service, either via the Tabtastic website or by interacting with the Tabtastic Discord bot, we collect and process the following data: Connected accounts on other platforms (Discord & Zoom account identifiers)"
cookie / pixel tag,tabtastic,services,"Tabtastic uses cookies in a range of ways to improve your experience on our website, including:"
number,tabtastic,services,"Functionality - Tabtastic uses these cookies so that we recognize you on our website and remember your previously selected preferences.
There are a number of different types of cookies, however, our website uses:"
participation record at tournament,tabtastic,services,"Tabtastic will retain participation records at tournaments for as long as the tournament remains on the Tabtastic platform, but personal information can be removed from participation records at any time."
personal identification information,we,,"When you use the Tabtastic service, either via the Tabtastic website or by interacting with the Tabtastic Discord bot, we collect and process the following data: Personal identification information (Name, Email Address)"
personal information,tabtastic,services,"Tabtastic will keep your personal data for as long as you retain your account with us.
Tabtastic will retain participation records at tournaments for as long as the tournament remains on the Tabtastic platform, but personal information can be removed from participation records at any time."
usage information,we,,"When you use the Tabtastic service, either via the Tabtastic website or by interacting with the Tabtastic Discord bot, we collect and process the following data: Usage information (Participation records at tournaments on Tabtastic)"
