data_type,collector,purpose,text
Facebook,social media,,"When you integrate or link our websites, products, and services with your social media applications (e.g., Facebook, LinkedIn, etc.), you authorize TheCapitalNet to have access to certain information from your social media profile (e.g., name, email address, photo, gender, birthday, location, your list of friends, comments, etc.) to deliver the content or as part of the operation of the integrated application."
Microsoft,social media,,"When you integrate or link our websites, products, and services with your social media applications (e.g., Facebook, LinkedIn, etc.), you authorize TheCapitalNet to have access to certain information from your social media profile (e.g., name, email address, photo, gender, birthday, location, your list of friends, comments, etc.) to deliver the content or as part of the operation of the integrated application."
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,services,"We may also employ other companies and people to provide services to visitors to our Websites, our customers, and users of the Subscription Services and may need to share your information with them to provide information, products, or services to you."
UNSPECIFIED_DATA,trust partner,"analytics, services","In addition, we may share data with trusted partners to contact you based on your request to receive such communications, help us perform statistical analysis, or provide customer support."
UNSPECIFIED_DATA,we,"analytics, services","In addition, we may share data with trusted partners to contact you based on your request to receive such communications, help us perform statistical analysis, or provide customer support."
basic information,thecapitalnet application,,"Such information is neither stored nor retained by TheCapitalNet applications.
TheCapitalNet applications in order to make these integrations function seamlessly, fetch basic information from the third-party applications that include name, email address, and phone number."
browser type,thecapitalnet,"analytics, services","This information can include your IP address, browser type, domain name, and operating system.
This information is used by TheCapitalNet for the operation of our Websites and Subscription Services, to maintain the quality of the Subscription Services, and to provide general statistics regarding the use of our Websites."
cookie / pixel tag,UNSPECIFIED_ACTOR,"services, analytics","Privacy Policy

4. Navigational Information 4.1 TheCapitalNet and third parties who are the partners with TCN use cookies or similar technologies to operate correctly and /or to authenticate you, administer the website, track users' movements around the website, analyze trends, and gather geographical information about the user base."
cookie / pixel tag,advertiser,,Our ad network partners use cookies and Web beacons to collect non-Personal and Business Information about your activities on this and other Websites to provide you with targeted advertising based on your interests.
cookie / pixel tag,thecapitalnet,"analytics, services","Privacy Policy

4. Navigational Information 4.1 TheCapitalNet and third parties who are the partners with TCN use cookies or similar technologies to operate correctly and /or to authenticate you, administer the website, track users' movements around the website, analyze trends, and gather geographical information about the user base."
cookie / pixel tag,we,"analytics, services, advertising","We use cookies to enhance your browsing experience, serve personalized ads or content, and analyze our traffic.
We use cookies to help you navigate efficiently and perform certain functions."
customer support,we,"analytics, services, advertising","In addition, we may share data with trusted partners to contact you based on your request to receive such communications, help us perform statistical analysis, or provide customer support."
demographic information preference,thecapitalnet,"analytics, services","This information is used by TheCapitalNet for the operation of our Websites and Subscription Services, to maintain the quality of the Subscription Services, and to provide general statistics regarding the use of our Websites.
We may collect demographic information preferences, interests, and favorites that are not associated with your name or other Personal and Business Information."
demographic information preference,we,"analytics, services, advertising","We may collect demographic information preferences, interests, and favorites that are not associated with your name or other Personal and Business Information."
domain name,thecapitalnet,"analytics, services","This information can include your IP address, browser type, domain name, and operating system.
This information is used by TheCapitalNet for the operation of our Websites and Subscription Services, to maintain the quality of the Subscription Services, and to provide general statistics regarding the use of our Websites."
