data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,services,We employ other companies and people to perform tasks on our behalf and need to share your information with them to provide products or services to you.
UNSPECIFIED_DATA,we,services,"By visiting or using the Timekit website and domain name, platform, and any other linked pages, features, content, or any other services we offer from time to time in connection therewith (collectively, the ""Website""), you acknowledge that you accept the practices and policies outlined in this Privacy Policy, and you hereby consent that we will collect, use, and share your information in the following ways.
This Sync enables us to identify your calendars and allows you to set which calendars we transmit data from.
We collect the following types of information from our customers:"
browser information,we,services,"The types of Personal Information collected may include your name, user name, email address, IP address, phone number, browser information, and third-party account credentials (for example, your log-in credentials for Google or other third party sites that we may allow you to use to sign into the Services).   If you provide your third-party account credentials to us or otherwise sign in to the Services through a third party site or service, you understand some content and/or information in those accounts (""Third Party Account Information"") may be transmitted into your account with us, and that Third Party Account Information transmitted to our Services is covered by this Privacy Policy; for example, if you sign up with your Google account, we collect Third Party Account Information from your Google profile (including your name and profile photo), calendar (including information about the events  in your Google calendar and what time zone you are located in), and your contact information (""Google Data"").
We access your Third Party Account Information both upon sign up and during ""Syncs"" (defined below), and we only store this information until you delete your Timekit account."
confirmation,we,services,We may receive a confirmation when you open an email from us.
copy of unrevised information,we,services,"When you update information, however, we may maintain a copy of the unrevised information in our records."
datum from google calendar,we,"services, analytics","For example, we use the Google Data as follows: We use data from your Google calendars to calculate and display your availability in the Timekit Calendar."
datum from google calendars,we,"services, analytics","Note that we also automatically access data from your Google Calendars every time a ""Sync"" takes place."
email address,we,"services, analytics","Furthermore, when customers book you via Timekit we share your name and email with them."
google data,we,"services, analytics","For example, we use the Google Data as follows:"
information you provide to we,we,"services, analytics",We receive and store any information you provide to us.
person name,we,"services, analytics","Furthermore, when customers book you via Timekit we share your name and email with them."
personal information,affiliate business,,"You can recognize when an affiliated business is associated with such a transaction, and we will share your Personal Information with that affiliated business only to the extent that it is related to such transaction."
personal information,we,"services, analytics","We may release Personal Information when we believe in good faith that release is necessary to comply with that law; enforce or apply our conditions of use and other agreements; or protect the rights, property, or safety of Timekit, our employees, our users, or others.
We neither rent nor sell your Personal Information to anyone.
We share your Personal Information in personally identifiable form only as described below.
We use the Third Party Account Information and Personal Information you provide to enhance your Website experience.
You can recognize when an affiliated business is associated with such a transaction, and we will share your Personal Information with that affiliated business only to the extent that it is related to such transaction."
third party account information,we,"services, analytics","The types of Personal Information collected may include your name, user name, email address, IP address, phone number, browser information, and third-party account credentials (for example, your log-in credentials for Google or other third party sites that we may allow you to use to sign into the Services).   If you provide your third-party account credentials to us or otherwise sign in to the Services through a third party site or service, you understand some content and/or information in those accounts (""Third Party Account Information"") may be transmitted into your account with us, and that Third Party Account Information transmitted to our Services is covered by this Privacy Policy; for example, if you sign up with your Google account, we collect Third Party Account Information from your Google profile (including your name and profile photo), calendar (including information about the events  in your Google calendar and what time zone you are located in), and your contact information (""Google Data"").
We access your Third Party Account Information both upon sign up and during ""Syncs"" (defined below), and we only store this information until you delete your Timekit account.
We use the Third Party Account Information and Personal Information you provide to enhance your Website experience."
