data_type,collector,purpose,text
UNSPECIFIED_DATA,we,"legal, services","Additionally, if you are a European resident we note that we are processing your information in order to fulfill contracts we might have with you (for example if you make an order through the Site), or otherwise to pursue our legitimate business interests listed above."
browser type,we,"legal, services","We collect Device Information using the following technologies: ""Log files"" track actions occurring on the Site, and collect data including your IP address, browser type, Internet service provider, referring/exit pages, and date/time stamps."
date time stamp,we,"legal, services","We collect Device Information using the following technologies: ""Log files"" track actions occurring on the Site, and collect data including your IP address, browser type, Internet service provider, referring/exit pages, and date/time stamps."
device information,we,"legal, services",We collect Device Information using the following technologies:
device information we collect,we,"legal, services, advertising, analytics, security","We use the Device Information that we collect to help us screen for potential risk and fraud (in particular, your IP address), and more generally to improve and optimize our Site (for example, by generating analytics about how our customers browse and interact with the Site, and to assess the success of our marketing and advertising campaigns)."
email address,we,"legal, services, advertising, analytics, security","Additionally when you make a purchase or attempt to make a purchase through the Site, we collect certain information from you, including your name, billing address, shipping address, payment information, email address, and phone number."
information about,we,"legal, services, advertising, analytics, security","Additionally, as you browse the Site, we collect information about the individual web pages or products that you view, what websites or search terms referred you to the Site, and information about how you interact with the Site."
information about individual web page you view,we,"legal, services, advertising, analytics, security","Additionally, as you browse the Site, we collect information about the individual web pages or products that you view, what websites or search terms referred you to the Site, and information about how you interact with the Site."
ip address,we,"legal, services","We collect Device Information using the following technologies: ""Log files"" track actions occurring on the Site, and collect data including your IP address, browser type, Internet service provider, referring/exit pages, and date/time stamps."
ip address,we,"legal, services, advertising, analytics, security","We collect Device Information using the following technologies: ""Log files"" track actions occurring on the Site, and collect data including your IP address, browser type, Internet service provider, referring/exit pages, and date/time stamps."
order information,we,"legal, services, advertising, analytics, security","When you place an order through the Site, we will maintain your Order Information for our records unless and until you ask us to delete this information."
order information we collect,we,"legal, services, advertising, analytics, security","Additionally, we use this Order Information to communicate with you, screen our orders for potential risk or fraud, and, when in line with the preferences you have shared with us, provide you with information relating to our products or services.
We use the Order Information that we collect generally to fulfill any orders placed through the Site (including processing your payment information, and providing you with invoices and/or order confirmations)."
payment information,we,"legal, services, advertising, analytics, security","Additionally when you make a purchase or attempt to make a purchase through the Site, we collect certain information from you, including your name, billing address, shipping address, payment information, email address, and phone number."
person name,we,"legal, services, advertising, analytics, security","Additionally when you make a purchase or attempt to make a purchase through the Site, we collect certain information from you, including your name, billing address, shipping address, payment information, email address, and phone number."
personal information,UNSPECIFIED_ACTOR,"analytics, services","We share your Personal Information with third parties to help us use your Personal Information, as described above."
personal information,we,"legal, services, advertising, analytics, security","Finally, we may also share your Personal Information to comply with applicable laws and regulations, to respond to a subpoena, search warrant or other lawful request for information we receive, or to otherwise protect our rights.
We share your Personal Information with third parties to help us use your Personal Information, as described above."
phone number,we,"legal, services, advertising, analytics, security","Additionally when you make a purchase or attempt to make a purchase through the Site, we collect certain information from you, including your name, billing address, shipping address, payment information, email address, and phone number."
postal address,we,"legal, services, advertising, analytics, security","Additionally when you make a purchase or attempt to make a purchase through the Site, we collect certain information from you, including your name, billing address, shipping address, payment information, email address, and phone number."
traffic,we,"legal, services, advertising, analytics, security","We value your privacy

We use cookies to provide our app functionality and analyze our traffic as per our privacy policy ."
