data_type,collector,purpose,text
access to personal information we hold about you,we,,"Upon request, we will provide you with access to the personal information that we hold about you."
contact information,we,,"In these cases, we may share your name, contact information and other details you provided when making an account with our partners."
cookie / pixel tag,advertiser,"analytics, services",Our third-party advertising service providers may also use web beacons to recognize you when you access the Services and to help determine how you found the Services.
detail you provide,we,,"In these cases, we may share your name, contact information and other details you provided when making an account with our partners."
individual opt choice,we,,"If this practice should change in the future, we will update this policy accordingly and l provide an individual opt-out choice, or opt-in for sensitive data, before we share your data with third parties other than our agents, or before we use it for a purpose other than which it was originally collected or subsequently authorized."
information relate to natural person,UNSPECIFIED_ACTOR,,"This Privacy Policy ("" Privacy Policy "") applies to the Torch software and software-as-a-services platform, our website, and any related mobile applications and other websites or services provided by Torch (collectively, the "" Services "") and explains how Redfish Labs, Inc. dba Torch Leadership Labs (""Torch,"" ""we,"" ""us,"" or ""our"") collects, uses, shares and otherwise processes information relating to natural persons ("" Personal Information "")."
information relate to natural person,redfish labs,,"This Privacy Policy ("" Privacy Policy "") applies to the Torch software and software-as-a-services platform, our website, and any related mobile applications and other websites or services provided by Torch (collectively, the "" Services "") and explains how Redfish Labs, Inc. dba Torch Leadership Labs (""Torch,"" ""we,"" ""us,"" or ""our"") collects, uses, shares and otherwise processes information relating to natural persons ("" Personal Information "")."
information relate to natural person,torch leadership labs,,"This Privacy Policy ("" Privacy Policy "") applies to the Torch software and software-as-a-services platform, our website, and any related mobile applications and other websites or services provided by Torch (collectively, the "" Services "") and explains how Redfish Labs, Inc. dba Torch Leadership Labs (""Torch,"" ""we,"" ""us,"" or ""our"") collects, uses, shares and otherwise processes information relating to natural persons ("" Personal Information "")."
information relate to natural person,we,,"This Privacy Policy ("" Privacy Policy "") applies to the Torch software and software-as-a-services platform, our website, and any related mobile applications and other websites or services provided by Torch (collectively, the "" Services "") and explains how Redfish Labs, Inc. dba Torch Leadership Labs (""Torch,"" ""we,"" ""us,"" or ""our"") collects, uses, shares and otherwise processes information relating to natural persons ("" Personal Information "")."
information relate to natural person,we,"analytics, security, services, legal","This Privacy Policy ("" Privacy Policy "") applies to the Torch software and software-as-a-services platform, our website, and any related mobile applications and other websites or services provided by Torch (collectively, the "" Services "") and explains how Redfish Labs, Inc. dba Torch Leadership Labs (""Torch,"" ""we,"" ""us,"" or ""our"") collects, uses, shares and otherwise processes information relating to natural persons ("" Personal Information "")."
information we collect,we,"analytics, security, services","In particular, we use the information we collect to:
We use the information we collect for a variety of purposes, including to improve the Services, optimize our technology, and refine and customize our offerings and user experience."
internet activity,UNSPECIFIED_ACTOR,,"We, or third parties we do business with, may use certain technologies to automatically collect log files and other information about your usage of, and the devices you use to access, the Services ("" Tracking Technologie s"")."
internet activity,we,"analytics, security, services","We, or third parties we do business with, may use certain technologies to automatically collect log files and other information about your usage of, and the devices you use to access, the Services ("" Tracking Technologie s"")."
log file,UNSPECIFIED_ACTOR,,"We, or third parties we do business with, may use certain technologies to automatically collect log files and other information about your usage of, and the devices you use to access, the Services ("" Tracking Technologie s"")."
log file,we,"analytics, security, services","We, or third parties we do business with, may use certain technologies to automatically collect log files and other information about your usage of, and the devices you use to access, the Services ("" Tracking Technologie s"")."
not track signal,UNSPECIFIED_ACTOR,,Your browser settings may allow you to automatically transmit a Do Not Track signal to websites and other online services you visit.
not track signal,online service,,Your browser settings may allow you to automatically transmit a Do Not Track signal to websites and other online services you visit.
person name,we,"analytics, security, services","In these cases, we may share your name, contact information and other details you provided when making an account with our partners."
related mobile application,we,"analytics, security, services, legal","This Privacy Policy ("" Privacy Policy "") applies to the Torch software and software-as-a-services platform, our website, and any related mobile applications and other websites or services provided by Torch (collectively, the "" Services "") and explains how Redfish Labs, Inc. dba Torch Leadership Labs (""Torch,"" ""we,"" ""us,"" or ""our"") collects, uses, shares and otherwise processes information relating to natural persons ("" Personal Information "")."
service providers,we,"analytics, security, services, legal","Service Providers:
To help us do our work, we may provide limited access to some of your Personal Information to the following third parties:"
software as service platform,we,"analytics, security, services, legal","This Privacy Policy ("" Privacy Policy "") applies to the Torch software and software-as-a-services platform, our website, and any related mobile applications and other websites or services provided by Torch (collectively, the "" Services "") and explains how Redfish Labs, Inc. dba Torch Leadership Labs (""Torch,"" ""we,"" ""us,"" or ""our"") collects, uses, shares and otherwise processes information relating to natural persons ("" Personal Information "")."
torch software,we,"analytics, security, services, legal","This Privacy Policy ("" Privacy Policy "") applies to the Torch software and software-as-a-services platform, our website, and any related mobile applications and other websites or services provided by Torch (collectively, the "" Services "") and explains how Redfish Labs, Inc. dba Torch Leadership Labs (""Torch,"" ""we,"" ""us,"" or ""our"") collects, uses, shares and otherwise processes information relating to natural persons ("" Personal Information "")."
