data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"We may share your data with third-party vendors, service providers, contractors, or agents (""third parties"") who perform services for us or on our behalf and require access to such information to do that work."
UNSPECIFIED_DATA,contractor,,"We may share your data with third-party vendors, service providers, contractors, or agents (""third parties"") who perform services for us or on our behalf and require access to such information to do that work."
UNSPECIFIED_DATA,service provider,,"We may share your data with third-party vendors, service providers, contractors, or agents (""third parties"") who perform services for us or on our behalf and require access to such information to do that work."
UNSPECIFIED_DATA,we,"advertising, analytics, legal, security, services","For instance, depending on the type of request you submit, we may ask you to provide certain information so that we can match the information you provide with the information we already have on file, or we may contact you through a communication method (e.g., phone or email) that you have previously provided to us.
However, we may retain some information in our files to prevent fraud, troubleshoot problems, assist with any investigations, enforce our legal terms, and/or comply with applicable legal requirements.
If you submit the request through an authorized agent, we may need to collect additional information to verify your identity before processing your request.
In some exceptional cases, we may be legally permitted under applicable law to process your information without your consent, including, for example:
In those situations, the customer to whom we provide services and with whom we have entered into a data processing agreement is the ""data controller"" responsible for your personal information, and we merely process your information on their behalf in accordance with your instructions.
Like many businesses, we also collect information through cookies and similar technologies.
We automatically collect certain information when you visit, use, or navigate the Services.
We may process information about how you use our Services to better understand how they are being used so we can improve them.
We may process your information as part of our efforts to keep our Services safe and secure, including fraud monitoring and prevention.
We may process your information if you choose to use any of our offerings that allow for communication with another user.
We may process your information if you have given us permission (i.e., consent) to use your personal information for a specific purpose.
We may process your information if you have given us specific permission (i.e., express consent) to use your personal information for a specific purpose, or in situations where your permission can be inferred (i.e., implied consent).
We may process your information so you can create and log in to your account, as well as keep your account in working order.
We may process your information to better understand how to provide marketing and promotional campaigns that are most relevant to you.
We may process your information to develop and display personalized content and advertising tailored to your interests, location, and more.
We may process your information to fulfill and manage your orders, payments, returns, and exchanges made through the Services.
We may process your information to provide you with the requested service.
We may process your information to respond to your inquiries and solve any potential issues you might have with the requested service.
We may process your information to send you details about our products and services, changes to our terms and policies, and other similar information.
We may process your information when necessary to request feedback and to contact you about your use of our Services.
We may process your information when necessary to save or protect an individual's vital interest, such as to prevent harm.
We may process your information when we believe it is reasonably necessary to achieve our legitimate business interests and those interests do not outweigh your interests and fundamental rights and freedoms.
We may process your information where we believe it is necessary for compliance with our legal obligations, such as to cooperate with a law enforcement body or regulatory agency, exercise or defend our legal rights, or disclose your information as evidence in litigation in which we are involved.'
We may process your information where we believe it is necessary to protect your vital interests or the vital interests of a third party, such as in situations involving potential threats to the safety of any person.
We may share or transfer your information in connection with, or during negotiations of, any merger, sale of company assets, financing, or acquisition of all or a portion of our business to another company.
We may share your data with third-party vendors, service providers, contractors, or agents (""third parties"") who perform services for us or on our behalf and require access to such information to do that work."
collect personal information,we,"advertising, analytics, legal, security, services",We will use and retain the collected personal information as needed to provide the Services or for:
credit / debit card number,third party payment processor govern,,"That information is provided directly to our third-party payment processors whose use of your personal data is governed by their Privacy Policy.
We will not store or collect your payment card details."
datum collect,Google,analytics,Google uses the data collected to track and monitor the use of our Service.
geolocation,we,"advertising, analytics, legal, security, services","For example, we may use GPS and other technologies to collect geolocation data that tells us your current location (based on your IP address).
The information we collect includes: Location Data.
We collect location data such as information about your device's location, which can be either precise or imprecise.
You can opt out of allowing us to collect this information either by refusing access to the information or by disabling your Location setting on your device."
google calendar datum,we,"advertising, analytics, legal, security, services",We use Google Calendar data to prevent conflicts in bookings/appointments.
information browser send,we,"advertising, analytics, legal, security, services","We may also collect information that your browser sends whenever you visit our Service (""Log Data"")."
information describe in section call,we,"advertising, analytics, legal, security, services","If you choose to register in this way, we will collect the information described in the section called ""Social Logins"" below."
information in specific situation describe in section,UNSPECIFIED_ACTOR,,We may share information in specific situations described in this section and/or with the following third parties.
information in specific situation describe in section,we,"advertising, analytics, legal, security, services",We may share information in specific situations described in this section and/or with the following third parties.
information we receive,we,"advertising, analytics, legal, security, services",We will use the information we receive only for the purposes that are described in this privacy notice or that are otherwise made clear to you on the relevant Services.
ip address,we,"advertising, analytics, legal, security, services","For example, we may use GPS and other technologies to collect geolocation data that tells us your current location (based on your IP address).
You can opt out of allowing us to collect this information either by refusing access to the information or by disabling your Location setting on your device."
option,we,"advertising, analytics, legal, security, services","We may provide you with the option to register with us using your existing social media accounts details, like your Facebook, Twitter, or other social media account."
payment datum,Stripe,,All payment data is stored by Stripe and Paypal.
payment datum,paypal,,All payment data is stored by Stripe and Paypal.
personal information provide in request,we,"advertising, analytics, legal, security, services",We will only use personal information provided in your request to verify your identity or authority to make the request.
personal information you send to we,we,"advertising, analytics, legal, security, services",We may process the personal information you send to us for our marketing purposes if this is in accordance with your marketing preferences.
preference cookies,we,"advertising, analytics, legal, security, services",We use Preference Cookies to remember your preferences and various settings.
profile information,we,"advertising, analytics, legal, security, services","The profile information we receive may vary depending on the social media provider concerned, but will often include your name, email address, friends list, and profile picture, as well as other information you choose to make public on such a social media platform."
profile information about you,we,"advertising, analytics, legal, security, services","Where you choose to do this, we will receive certain profile information about you from your social media provider."
verification method,we,"advertising, analytics, legal, security, services",We may also use other verification methods as the circumstances dictate.
