data_type,collector,purpose,text
Headway App,useful,,"This Privacy Policy describes how Useful App, Inc. and its affiliated companies (collectively, ""Useful"", ""we"", ""our"" or ""us"") collects, stores, uses and discloses the following categories of personal data:"
UNSPECIFIED_DATA,service providers,,"Our Service Providers may have access to personal information, depending on each of their specific roles and purposes in facilitating and enhancing our Services, and may only use the data as determined in our agreements with them."
UNSPECIFIED_DATA,we,,We use both types.
advertiser,service providers,analytics,"Such service providers include hosting and server co-location services, communications and content delivery networks (CDNs), data security services, billing and payment processing services, fraud detection and prevention services, web and product analytics, email distribution and monitoring services, session or activity recording services, remote access services, content transcription and analysis services, performance measurement, data optimization and marketing services, social and advertising networks, content and data enrichment providers, event production and hosting services, email, voicemails, support, enablement and customer relation management systems, and our legal, financial and compliance advisors (collectively, ""Service Providers"")."
affiliated company,useful,,"This Privacy Policy describes how Useful App, Inc. and its affiliated companies (collectively, ""Useful"", ""we"", ""our"" or ""us"") collects, stores, uses and discloses the following categories of personal data:"
aggregated extract of information,UNSPECIFIED_ACTOR,,We may share non-identifiable / aggregated extracts of such information with our partners for our legitimate business purposes.
aggregated extract of information,we,,We may share non-identifiable / aggregated extracts of such information with our partners for our legitimate business purposes.
billing service,service providers,analytics,"Such service providers include hosting and server co-location services, communications and content delivery networks (CDNs), data security services, billing and payment processing services, fraud detection and prevention services, web and product analytics, email distribution and monitoring services, session or activity recording services, remote access services, content transcription and analysis services, performance measurement, data optimization and marketing services, social and advertising networks, content and data enrichment providers, event production and hosting services, email, voicemails, support, enablement and customer relation management systems, and our legal, financial and compliance advisors (collectively, ""Service Providers"")."
cdn,service providers,analytics,"Such service providers include hosting and server co-location services, communications and content delivery networks (CDNs), data security services, billing and payment processing services, fraud detection and prevention services, web and product analytics, email distribution and monitoring services, session or activity recording services, remote access services, content transcription and analysis services, performance measurement, data optimization and marketing services, social and advertising networks, content and data enrichment providers, event production and hosting services, email, voicemails, support, enablement and customer relation management systems, and our legal, financial and compliance advisors (collectively, ""Service Providers"")."
communication network,service providers,analytics,"Such service providers include hosting and server co-location services, communications and content delivery networks (CDNs), data security services, billing and payment processing services, fraud detection and prevention services, web and product analytics, email distribution and monitoring services, session or activity recording services, remote access services, content transcription and analysis services, performance measurement, data optimization and marketing services, social and advertising networks, content and data enrichment providers, event production and hosting services, email, voicemails, support, enablement and customer relation management systems, and our legal, financial and compliance advisors (collectively, ""Service Providers"")."
content provider,service providers,analytics,"Such service providers include hosting and server co-location services, communications and content delivery networks (CDNs), data security services, billing and payment processing services, fraud detection and prevention services, web and product analytics, email distribution and monitoring services, session or activity recording services, remote access services, content transcription and analysis services, performance measurement, data optimization and marketing services, social and advertising networks, content and data enrichment providers, event production and hosting services, email, voicemails, support, enablement and customer relation management systems, and our legal, financial and compliance advisors (collectively, ""Service Providers"")."
content transcription service,service providers,analytics,"Such service providers include hosting and server co-location services, communications and content delivery networks (CDNs), data security services, billing and payment processing services, fraud detection and prevention services, web and product analytics, email distribution and monitoring services, session or activity recording services, remote access services, content transcription and analysis services, performance measurement, data optimization and marketing services, social and advertising networks, content and data enrichment providers, event production and hosting services, email, voicemails, support, enablement and customer relation management systems, and our legal, financial and compliance advisors (collectively, ""Service Providers"")."
cookie / pixel tag,service providers,analytics,"We and our Service Providers use cookies and other technologies for performance, tracking, analytics and personalization purposes."
cookie / pixel tag,we,analytics,"We and our Service Providers use cookies and other technologies for performance, tracking, analytics and personalization purposes.
We may also use HTML5 local storage or Flash cookies for the above-mentioned purposes."
customer data,useful,,"Accordingly, Useful processes Customer Data strictly in accordance with our Customer's reasonable instructions and as further stipulated in our data processing addendum and other commercial agreements with such Customer."
data controller,useful,,"Such data is processed by Useful for its own purposes (as described in above), as an independent 'controller'; whilst those certain portions of it which are included in Customer Data will be processed by us on our Customer's behalf, as a 'processor'.
Useful is both a ""data controller"" and ""data processor"" of User Data."
