data_type,collector,purpose,text
UNSPECIFIED_DATA,advertiser,,"Some content or applications, including advertisements, on the Websites are served by third-parties, including advertisers, ad networks and servers, content providers, and application providers.
The information they collect may be associated with your personal information or they may collect information, including personal information, about your online activities over time and across different websites and other online services."
UNSPECIFIED_DATA,application provider,,"Some content or applications, including advertisements, on the Websites are served by third-parties, including advertisers, ad networks and servers, content providers, and application providers.
The information they collect may be associated with your personal information or they may collect information, including personal information, about your online activities over time and across different websites and other online services."
UNSPECIFIED_DATA,content provider,,"Some content or applications, including advertisements, on the Websites are served by third-parties, including advertisers, ad networks and servers, content providers, and application providers.
The information they collect may be associated with your personal information or they may collect information, including personal information, about your online activities over time and across different websites and other online services."
UNSPECIFIED_DATA,online activity over time,advertising,"The information they collect may be associated with your personal information or they may collect information, including personal information, about your online activities over time and across different websites and other online services."
UNSPECIFIED_DATA,server,,"Some content or applications, including advertisements, on the Websites are served by third-parties, including advertisers, ad networks and servers, content providers, and application providers.
The information they collect may be associated with your personal information or they may collect information, including personal information, about your online activities over time and across different websites and other online services."
UNSPECIFIED_DATA,we,"advertising, services","No one under age 16 may provide any information to or on the Websites.
We may also use your information to contact you about goods and services that may be of interest to you."
aggregate / deidentified / pseudonymized information,we,"advertising, services","We may disclose aggregated information about our users, and information that does not identify any individual, without restriction."
cookie / pixel tag,advertiser,,"Some content or applications, including advertisements, on the Websites are served by third-parties, including advertisers, ad networks and servers, content providers, and application providers.
These third parties may use cookies to collect information about you when you use our Websites."
cookie / pixel tag,application provider,,"Some content or applications, including advertisements, on the Websites are served by third-parties, including advertisers, ad networks and servers, content providers, and application providers.
These third parties may use cookies to collect information about you when you use our Websites."
cookie / pixel tag,content provider,,"Some content or applications, including advertisements, on the Websites are served by third-parties, including advertisers, ad networks and servers, content providers, and application providers.
These third parties may use cookies to collect information about you when you use our Websites."
cookie / pixel tag,feature of website,,"Certain features of our Websites may use local stored objects (or Flash cookies) to collect and store information about your preferences and navigation to, from, and on our Websites."
cookie / pixel tag,server,,"Some content or applications, including advertisements, on the Websites are served by third-parties, including advertisers, ad networks and servers, content providers, and application providers.
These third parties may use cookies to collect information about you when you use our Websites."
detail of transaction you carry through website,we,"advertising, services",The information we collect on or through our Websites may include: Details of transactions you carry out through our Websites and of the fulfillment of your orders.
email address,we,"advertising, services","The information we collect on or through our Websites may include: Records and copies of your correspondence (including email addresses), if you contact us."
email address,we,"advertising, services, analytics, legal","The information we collect on or through our Websites may include: Records and copies of your correspondence (including email addresses), if you contact us."
