data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,"advertising, analytics","We share data with third parties as follows: Authorized vendors: We may share your data with third-party vendors that help us operate and improve our services, process orders, and comply with your instructions and our contractual obligations.
We share data with third parties as follows: With your consent: We may share your data with third parties where we have obtained your express consent to do so."
UNSPECIFIED_DATA,Vimeo,,"This information will be received by both Vimeo and the video owner and is subject to both Vimeo's Privacy Policy as well as the video owner's privacy policy.
You may submit information through a registration form set up by a video owner or event host."
UNSPECIFIED_DATA,administrator of enterprise account,,"When you use an Enterprise Account, the administrators of the Enterprise Account may: Access information about your Enterprise Account activity, including your video viewing history;"
UNSPECIFIED_DATA,advertiser,"advertising, analytics","We share data with third parties as follows: Advertising: We may share your data with advertising companies to display relevant ads to you, and to measure the effectiveness of those ads."
UNSPECIFIED_DATA,advisor,legal,"We may share your data with our auditors and advisors for planning, financial reporting, accounting, auditing, tax filings, and legal compliance.
We may share your data with potential transaction partners, advisors, and others in the event our company is, in whole or part, acquired by a third party."
UNSPECIFIED_DATA,analytic provider,,We may share your data with analytics providers which help us understand how customers are using our services.
UNSPECIFIED_DATA,auditor,legal,"We may share your data with our auditors and advisors for planning, financial reporting, accounting, auditing, tax filings, and legal compliance."
UNSPECIFIED_DATA,potential transaction partner,,"We may share your data with potential transaction partners, advisors, and others in the event our company is, in whole or part, acquired by a third party."
UNSPECIFIED_DATA,we,"advertising, analytics, legal, security, services","5. With Whom We Share Your Data
For example, we may need to gather your data to respond to a subpoena or court order.
If the request originates from a foreign jurisdiction, we will typically disclose information where we in good faith believe that disclosure is permitted by both U.S. law and local law.
If we receive legal process pertaining to your account, we will retain your data for as long as we in good faith believe is necessary to comply with the legal process.
Similarly, if we believe that your account has been involved in wrongdoing, we may preserve your data to defend or assert our rights.
We may also use your data to contact you about products, services, or resources that might interest you.
We may also use your data to verify your identity if you offer content for sale using our services.
We may disclose your data in response to official requests (e.g., court orders, subpoenas, search warrants, national security requests, etc.) ("" requests "") that we receive from government authorities or parties to legal proceedings.
We may obtain data from third parties about you.
We may share your data with analytics providers which help us understand how customers are using our services.
We may share your data with our affiliates to the extent necessary to provide you with the services ordered.
We may share your data with our auditors and advisors for planning, financial reporting, accounting, auditing, tax filings, and legal compliance.
We may share your data with persons to whom you have granted account-level access.
We may share your data with potential transaction partners, advisors, and others in the event our company is, in whole or part, acquired by a third party.
We may use your data for the following purposes: Communicating with you: We use your data when we communicate with you (e.g., when we respond to a customer support or other inquiry).
We may use your data for the following purposes: Customizing your experience: We use your data to personalize the service to you.
We may use your data for the following purposes: Identification and authentication: We use your data to authenticate you as the owner of your account when you interact with customer support.
We may use your data for the following purposes: Improving our services: We use your data to understand how our services are being used and how we can improve them.
We may use your data for the following purposes: Legal compliance: We use your data where we are legally required to do so.
We may use your data for the following purposes: Marketing and advertising: We use your data to show you ads on third-party sites, and to measure the effectiveness of those ads.
We may use your data for the following purposes: Operating our services: We use your data to provide our services, process and fulfill orders, provide customer support, and to otherwise comply with our contractual obligations to you.
We may use your data for the following purposes: Protecting our services: We use your data to secure our platform, prevent abuse of our services, and enforce our Terms of Service.
We retain your data for as long as you have an account.
We share data with third parties as follows: Advertising: We may share your data with advertising companies to display relevant ads to you, and to measure the effectiveness of those ads.
We share data with third parties as follows: Authorized vendors: We may share your data with third-party vendors that help us operate and improve our services, process orders, and comply with your instructions and our contractual obligations.
We share data with third parties as follows: Certain legal situations: We may share your data where we believe disclosure is necessary to comply with a legal obligation or in connection with a corporate transaction as discussed in Section 6 .
We share data with third parties as follows: With your consent: We may share your data with third parties where we have obtained your express consent to do so.
You may submit data to us for limited purposes, such as requesting customer support; participating in a study or survey; entering contests or sweepstakes; applying for a job; or signing up to receive communications from us or another user."
account information,we,"advertising, analytics, legal, security, services","If you choose to sign-up and/or authenticate using a third-party account (e.g., Facebook, Google), you authorize us to obtain account information from the third-party platform."
