data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,legal,"If Meditation.LIVE Inc. gets involved in a merger, asset sale, financing, liquidation or bankruptcy, or acquisition of all or some portion of our business to another company, we may share your information with that company before and after the transaction closes.
We may share your information with the following third parties: With third parties as part of a merger or acquisition.
We may share your information with the following third parties: With third parties for legal reasons."
UNSPECIFIED_DATA,we,legal,"If Meditation.LIVE Inc. gets involved in a merger, asset sale, financing, liquidation or bankruptcy, or acquisition of all or some portion of our business to another company, we may share your information with that company before and after the transaction closes.
Our Privacy Policy

EU General Data Protection Regulation (GDPR) Compliance

Compliance with Legal Obligations: We process your data when required by law.
Our Privacy Policy

EU General Data Protection Regulation (GDPR) Compliance

Consent: We process certain data based on your consent, which you can withdraw at any time.
We may share your information with the following third parties:
We process your data when we have a legitimate interest in doing so, and this interest is not overridden by your data protection rights.
When sharing aggregated wellness metrics with employers or other third-party organizations, we provide data in an anonymized and aggregated format.
When you use our services, we collect information about which of those services you've used and how you've used them.
When you use these services, you'll share some information with us."
age,we,legal,"We collect profile picture, name, email, city, gender, age and audio or video recordings that are created by joining live sessions."
age,we,"legal, advertising","We collect profile picture, name, email, city, gender, age and audio or video recordings that are created by joining live sessions."
cookie / pixel tag,we,legal,"Like most online services and mobile applications, we may use cookies and other technologies, such as web beacons, web storage, and unique advertising identifiers, to collect information about your activity, browser, and device."
email address,we,"legal, advertising","For example, we may use email to respond to support inquiries or to share information about our products, services, and promotional offers that we think may interest you.
We collect profile picture, name, email, city, gender, age and audio or video recordings that are created by joining live sessions."
gender,we,"legal, advertising","We collect profile picture, name, email, city, gender, age and audio or video recordings that are created by joining live sessions."
information about,coach,,"Our Privacy Policy

How We Share Information

We may share the following information with Coaches or users:
We may share the following information with Coaches or users: Information about how you have interacted with our services, such as how often you use the platform, the names of users you are connected with, and other information that will help users understand your connections with others using our services."
information about,we,"legal, advertising","For example, we may collect information about how you interact with our services, how often you use our services, what's the best time of meditation for you and so on.
Our Privacy Policy

How We Share Information

We may share the following information with Coaches or users:
We may share the following information with Coaches or users: Information about how you have interacted with our services, such as how often you use the platform, the names of users you are connected with, and other information that will help users understand your connections with others using our services."
information from,we,"legal, advertising, services",We collect information from and about the devices you use.
information require,we,"legal, advertising, services",We collect information required to authenticate your identity through your enterprise SSO provider.
information you choose,we,"legal, advertising, services","When you interact with our services, we collect the information that you choose to share with us."
information you direct we,coach,,"Our Privacy Policy

How We Share Information

We may share the following information with Coaches or users:
We may share the following information with Coaches or users: Any additional information you have directed us to share."
information you direct we,we,"legal, advertising, services","Our Privacy Policy

How We Share Information

We may share the following information with Coaches or users:
We may share the following information with Coaches or users: Any additional information you have directed us to share."
internet activity,we,"legal, advertising, services","Like most online services and mobile applications, we may use cookies and other technologies, such as web beacons, web storage, and unique advertising identifiers, to collect information about your activity, browser, and device.
We collect information about your activity through our services."
log information,we,"legal, advertising, services",We also collect log information when you use our website.
metric relate to sleep,we,"legal, advertising, services","This data can include metrics related to sleep, walking, physical workouts, and other wellness indicators.
We also use this information for team challenges as e.g. for walking challenges, we would sync step count from your device to our platform and update the leaderboards.
We collect this data from sources like Apple Health and Google Health and/or any wearables that may be connected to these sources or connected independently."
person name,we,"legal, advertising","We collect profile picture, name, email, city, gender, age and audio or video recordings that are created by joining live sessions."
person name,we,"legal, advertising, services","We collect profile picture, name, email, city, gender, age and audio or video recordings that are created by joining live sessions."
personal information,UNSPECIFIED_ACTOR,legal,"Through these links, third-party integrations, and co-branded or third-party-branded services, you may be providing information (including personal information) directly to the third party, us, or both."
personal information,we,"legal, advertising, services","Through these links, third-party integrations, and co-branded or third-party-branded services, you may be providing information (including personal information) directly to the third party, us, or both.
We process your personal data on the following legal bases:
Your country only allows us to use your personal information when certain conditions apply."
profile picture,we,"legal, advertising","We collect profile picture, name, email, city, gender, age and audio or video recordings that are created by joining live sessions."
profile picture,we,"legal, advertising, services","We collect profile picture, name, email, city, gender, age and audio or video recordings that are created by joining live sessions."
sso authentication datum,we,"legal, advertising, services","Our Privacy Policy

Single Sign-On (SSO)

SSO Authentication Data:
When you or your employees use SSO to access our services, we collect and manage the following information:"
