data_type,collector,purpose,text
UNSPECIFIED_DATA,we,,"With that in mind, we collect the following types of information:"
aggregate / deidentified / pseudonymized information,we,,"We may use any aggregated data derived from or incorporating your Personal Information after you update or delete it, but not in a manner that would identify you personally."
confirmation,we,analytics,"When we do this, we may receive a confirmation when you open an email from us."
contact information,UNSPECIFIED_ACTOR,analytics,"In the 12 months immediately preceding the Effective Date of this Privacy Policy, listed at the bottom of this document, Wistia has disclosed the following categories of Personal Information to third parties that provide business and operational services to us: names; contact information; payment card information; geographic location; IP addresses; browser information; device information; information related to the use of the Websites, Media, and Services; email confirmations; user name or email address in combination with a password that would permit access to the Services; the content of communications; user profile information and submissions; job titles; employers; and firmographic information."
contact information,UNSPECIFIED_ACTOR,"analytics, services","In the 12 months immediately preceding the Effective Date of this Privacy Policy, listed at the bottom of this document, Wistia has disclosed the following categories of Personal Information to third parties that provide business and operational services to us: names; contact information; payment card information; geographic location; IP addresses; browser information; device information; information related to the use of the Websites, Media, and Services; email confirmations; user name or email address in combination with a password that would permit access to the Services; the content of communications; user profile information and submissions; job titles; employers; and firmographic information."
contact information,we,analytics,"We may also share names, contact information, geographic location, the content of communications, user profile information and submissions, job titles, employers, and firmographic information which Customers may use to market or further develop their organizations."
contact information,we,"analytics, services","We may also share names, contact information, geographic location, the content of communications, user profile information and submissions, job titles, employers, and firmographic information which Customers may use to market or further develop their organizations."
cookie / pixel tag,UNSPECIFIED_ACTOR,analytics,"If you click on a link to a third party website, such third party may transmit cookies to you."
copy of unrevised information,we,analytics,"When you update information, we may maintain a copy of the unrevised information in our records."
credit / debit card number,UNSPECIFIED_ACTOR,analytics,"In the 12 months immediately preceding the Effective Date of this Privacy Policy, listed at the bottom of this document, Wistia has disclosed the following categories of Personal Information to third parties that provide business and operational services to us: names; contact information; payment card information; geographic location; IP addresses; browser information; device information; information related to the use of the Websites, Media, and Services; email confirmations; user name or email address in combination with a password that would permit access to the Services; the content of communications; user profile information and submissions; job titles; employers; and firmographic information."
credit / debit card number,UNSPECIFIED_ACTOR,"analytics, services","In the 12 months immediately preceding the Effective Date of this Privacy Policy, listed at the bottom of this document, Wistia has disclosed the following categories of Personal Information to third parties that provide business and operational services to us: names; contact information; payment card information; geographic location; IP addresses; browser information; device information; information related to the use of the Websites, Media, and Services; email confirmations; user name or email address in combination with a password that would permit access to the Services; the content of communications; user profile information and submissions; job titles; employers; and firmographic information."
device information,UNSPECIFIED_ACTOR,analytics,"In the 12 months immediately preceding the Effective Date of this Privacy Policy, listed at the bottom of this document, Wistia has disclosed the following categories of Personal Information to third parties that provide business and operational services to us: names; contact information; payment card information; geographic location; IP addresses; browser information; device information; information related to the use of the Websites, Media, and Services; email confirmations; user name or email address in combination with a password that would permit access to the Services; the content of communications; user profile information and submissions; job titles; employers; and firmographic information."
device information,UNSPECIFIED_ACTOR,"analytics, services","In the 12 months immediately preceding the Effective Date of this Privacy Policy, listed at the bottom of this document, Wistia has disclosed the following categories of Personal Information to third parties that provide business and operational services to us: names; contact information; payment card information; geographic location; IP addresses; browser information; device information; information related to the use of the Websites, Media, and Services; email confirmations; user name or email address in combination with a password that would permit access to the Services; the content of communications; user profile information and submissions; job titles; employers; and firmographic information."
electronic personal information we collect in united states,we,analytics,We store and process all electronic Personal Information that we collect in the United States.
email address,UNSPECIFIED_ACTOR,analytics,"In the 12 months immediately preceding the Effective Date of this Privacy Policy, listed at the bottom of this document, Wistia has disclosed the following categories of Personal Information to third parties that provide business and operational services to us: names; contact information; payment card information; geographic location; IP addresses; browser information; device information; information related to the use of the Websites, Media, and Services; email confirmations; user name or email address in combination with a password that would permit access to the Services; the content of communications; user profile information and submissions; job titles; employers; and firmographic information."
email address,UNSPECIFIED_ACTOR,"analytics, services","In the 12 months immediately preceding the Effective Date of this Privacy Policy, listed at the bottom of this document, Wistia has disclosed the following categories of Personal Information to third parties that provide business and operational services to us: names; contact information; payment card information; geographic location; IP addresses; browser information; device information; information related to the use of the Websites, Media, and Services; email confirmations; user name or email address in combination with a password that would permit access to the Services; the content of communications; user profile information and submissions; job titles; employers; and firmographic information."
email address,we,analytics,"For example, when you register for our Services, we may collect your name, phone number, user name, and email address in combination with a password or security question to access the Services, and your payment information.
In doing so, you will provide us with a user name or email address and a password."
email address,we,"analytics, services","For example, when you register for our Services, we may collect your name, phone number, user name, and email address in combination with a password or security question to access the Services, and your payment information.
In doing so, you will provide us with a user name or email address and a password."
email confirmation,UNSPECIFIED_ACTOR,analytics,"In the 12 months immediately preceding the Effective Date of this Privacy Policy, listed at the bottom of this document, Wistia has disclosed the following categories of Personal Information to third parties that provide business and operational services to us: names; contact information; payment card information; geographic location; IP addresses; browser information; device information; information related to the use of the Websites, Media, and Services; email confirmations; user name or email address in combination with a password that would permit access to the Services; the content of communications; user profile information and submissions; job titles; employers; and firmographic information."
