data_type,collector,purpose,text
UNSPECIFIED_DATA,platform,,"You or the platforms may provide us with information through the platform, and we will treat such information in accordance with this Privacy Policy."
UNSPECIFIED_DATA,we,,"You or the platforms may provide us with information through the platform, and we will treat such information in accordance with this Privacy Policy."
aggregate / deidentified / pseudonymized information,we,,"We make personal information into anonymous, aggregated, or de-identified data by removing information that makes the data personally identifiable to you.
We may use this anonymous, aggregated or de-identified data and share it with third parties for our lawful business purposes, including to analyze and improve the Service and promote our business."
asset,we,"analytics, services, legal, security","We may sell, transfer or otherwise share some or all of our business or assets, including your personal information, in connection with a business transaction (or potential business transaction) such as a corporate divestiture, merger, consolidation, acquisition, reorganization or sale of assets, or in the event of bankruptcy or dissolution."
auditor,professional advisor,,"We may disclose your personal information to professional advisors, such as lawyers, bankers, auditors and insurers, where necessary in the course of the professional services that they render to us."
banker,professional advisor,,"We may disclose your personal information to professional advisors, such as lawyers, bankers, auditors and insurers, where necessary in the course of the professional services that they render to us."
calendar information,we,,"By doing so, you grant us access and agree to allow us to collect information from that platform.
For example, this information includes your calendar information, username, email address, profile picture, and calendar metadata, including meeting names, attendees, and meeting start and end times."
cookies,we,"analytics, services","In addition to the other uses included in this section, we may use the Cookies and similar technologies described above for the following purposes:"
email address,we,,"By doing so, you grant us access and agree to allow us to collect information from that platform.
For example, this information includes your calendar information, username, email address, profile picture, and calendar metadata, including meeting names, attendees, and meeting start and end times."
email address,we,"analytics, services","By doing so, you grant us access and agree to allow us to collect information from that platform.
For example, this information includes your calendar information, username, email address, profile picture, and calendar metadata, including meeting names, attendees, and meeting start and end times."
extension,we,"analytics, services, legal, security","Attn: Legal - Privacy 3415 Cascadia Avenue South Seattle, WA 98144This ""Privacy Policy"" describes the privacy practices of Xembly, Inc. and our subsidiaries and affiliates (collectively, "" Xembly "", "" we "", "" us "", or "" our "") in connection with the https://www.xembly.com/ website, the Xembly browser extension (the "" Extension ""), and any other website or mobile application that we own or control and which posts or links to this Privacy Policy (collectively, the "" Service ""), and the rights and choices available to individuals with respect to their information."
feedback you provide regard,we,"analytics, services",We may share feedback you provide regarding others who are identified as invitees/participants in your calendar meetings with such individuals.
https://www.xembly.com/ website,we,"analytics, services, legal, security","Attn: Legal - Privacy 3415 Cascadia Avenue South Seattle, WA 98144This ""Privacy Policy"" describes the privacy practices of Xembly, Inc. and our subsidiaries and affiliates (collectively, "" Xembly "", "" we "", "" us "", or "" our "") in connection with the https://www.xembly.com/ website, the Xembly browser extension (the "" Extension ""), and any other website or mobile application that we own or control and which posts or links to this Privacy Policy (collectively, the "" Service ""), and the rights and choices available to individuals with respect to their information."
insurer,professional advisor,,"We may disclose your personal information to professional advisors, such as lawyers, bankers, auditors and insurers, where necessary in the course of the professional services that they render to us."
lawyer,professional advisor,,"We may disclose your personal information to professional advisors, such as lawyers, bankers, auditors and insurers, where necessary in the course of the professional services that they render to us."
