data_type,collector,purpose,text
UNSPECIFIED_DATA,BPS Info Solutions,,"Privacy Policy & Data Usage

_session_id, unique token, sessional, Allows ULTRACART to store information about your session (referrer, landing page, etc)"
UNSPECIFIED_DATA,we,,"Privacy Policy & Data Usage

3.5 We may process information that you post for publication on our website or through our services (""publication data"").
Privacy Policy & Data Usage

3.7 We may process information contained in any enquiry you submit to us regarding goods and/or services (""enquiry data"")."
contact information,shipping partner,,"Privacy Policy & Data Usage

4.3 We may disclose your contact details to our shipping partners insofar as reasonably necessary for order processing, shipping, and tracking."
contact information,we,,"Privacy Policy & Data Usage

4.3 We may disclose your contact details to our shipping partners insofar as reasonably necessary for order processing, shipping, and tracking."
contact information,we,"advertising, analytics, security, services, legal","Privacy Policy & Data Usage

4.3 We may disclose your contact details to our shipping partners insofar as reasonably necessary for order processing, shipping, and tracking."
cookie / pixel tag,service provider,,Our service providers use cookies and those cookies may be stored on your computer when you visit our website.
cookie / pixel tag,we,"advertising, analytics, security, services","Privacy Policy & Data Usage

(c) Personalization - we use cookies to store information about your preferences and to personalise the website for you.
Privacy Policy & Data Usage

(e) Advertising - we use cookies to help us to display advertisements that will be relevant to you.
Privacy Policy & Data Usage

(f) Analysis - we use cookies to help us to analyse the use and performance of our website and services.
We use Facebook Marketing, Google Adwords, and Snapchat cookies.
We use cookies for the following purposes: (a) Authentication - we use cookies to identify you when you visit our website and as you navigate our website."
cookie / pixel tag,web browser,,"Privacy Policy & Data Usage

9.2 Cookies may be either ""persistent"" cookies or ""session"" cookies: a persistent cookie will be stored by a web browser and will remain valid until its set expiry date, unless deleted by the user before the expiry date; a session cookie, on the other hand, will expire at the end of the user session, when the web browser is closed."
custom preference,embed youtube video,,"Privacy Policy & Data Usage

(c) VISITOR_INFO1_LIVE, PREF - An embedded Youtube video collects visitor information and custom preferences"
enquiry datum,we,"advertising, analytics, security, services","Privacy Policy & Data Usage

3.7 We may process information contained in any enquiry you submit to us regarding goods and/or services (""enquiry data"")."
information about circumstance in transfer to country outside united states,we,"advertising, analytics, security, services","Privacy Policy & Data Usage

1 In this Section 5, we provide information about the circumstances in which your personal data may be transferred to other countries outside the United States and the European Economic Area (EEA)."
information about website use,Google,,Google Analytics gathers information about website use by means of cookies.
information contain in,we,"advertising, analytics, security, services","Privacy Policy & Data Usage

3.10 We may process information contained in or relating to any communication that you send to us (""correspondence data"")."
information include in personal profile on website,we,"advertising, analytics, security, services","Privacy Policy & Data Usage

3.4 We may process your information included in your personal profile on our website (""profile data"")."
information relate to transaction include purchase of good you enter into with we,we,"advertising, analytics, security, services","We may process information relating to transactions, including purchases of goods and services, that you enter into with us and/or through our website ("" transaction data "")."
information you provide to we,we,"advertising, analytics, security, services","Privacy Policy & Data Usage

3.9 We may process information that you provide to us for the purpose of subscribing to our email notifications, browser notification, and/or newsletters (""notification data"")."
landing page,BPS Info Solutions,,"Privacy Policy & Data Usage

_session_id, unique token, sessional, Allows ULTRACART to store information about your session (referrer, landing page, etc)"
notification datum,we,"advertising, analytics, security, services","Privacy Policy & Data Usage

3.9 We may process information that you provide to us for the purpose of subscribing to our email notifications, browser notification, and/or newsletters (""notification data"")."
personal information,insurer,"legal, security","Privacy Policy & Data Usage

4.2 We may disclose your personal data to our insurers and/or professional advisers insofar as reasonably necessary for the purposes of obtaining or maintaining insurance coverage, managing risks, obtaining professional advice, or the establishment, exercise or defense of legal claims, whether in court proceedings or in an administrative or out-of-court procedure."
personal information,professional adviser,"legal, security","Privacy Policy & Data Usage

4.2 We may disclose your personal data to our insurers and/or professional advisers insofar as reasonably necessary for the purposes of obtaining or maintaining insurance coverage, managing risks, obtaining professional advice, or the establishment, exercise or defense of legal claims, whether in court proceedings or in an administrative or out-of-court procedure."
personal information,we,"advertising, analytics, security, services, legal","In addition to the specific disclosures of personal data set out in this Section 4, we may disclose your personal data where such disclosure is necessary for compliance with a legal obligation to which we are subject, or in order to protect your vital interests or the vital interests of another natural person.
Privacy Policy & Data Usage

1 We may disclose your personal data to any member of our group of companies, this means our subsidiaries, our ultimate holding company and all its subsidiaries insofar as reasonably necessary for the purposes, and on the legal bases, set out in this policy.
Privacy Policy & Data Usage

4.2 We may disclose your personal data to our insurers and/or professional advisers insofar as reasonably necessary for the purposes of obtaining or maintaining insurance coverage, managing risks, obtaining professional advice, or the establishment, exercise or defense of legal claims, whether in court proceedings or in an administrative or out-of-court procedure.
Privacy Policy & Data Usage

6.3 We will retain your personal data as follows:
Privacy Policy & Data Usage

6.5 Notwithstanding the other provisions of this Section 6, we may retain your personal data where such retention is necessary for compliance with a legal obligation to which we are subject, or in order to protect your vital interests or the vital interests of another natural person.
We may also disclose your personal data where such disclosure is necessary for the establishment, exercise or defense of legal claims, whether in court proceedings or in an administrative or out-of-court procedure.
Where processing has been restricted on this basis, we may continue to store your personal data."
referrer,BPS Info Solutions,,"Privacy Policy & Data Usage

_session_id, unique token, sessional, Allows ULTRACART to store information about your session (referrer, landing page, etc)"
traffic source,utmz,,__utmz - 6 months from set/update - Stores the traffic source or campaign that explains how the user reached your site.
visitor information,embed youtube video,,"Privacy Policy & Data Usage

(c) VISITOR_INFO1_LIVE, PREF - An embedded Youtube video collects visitor information and custom preferences"
