data_type,collector,purpose,text
UNSPECIFIED_DATA,we,"advertising, analytics, legal, security, services","For instance, depending on the type of request you submit, we may ask you to provide certain information so that we can match the information you provide with the information we already have on file, or we may contact you through a communication method (e.g. phone or email) that you have previously provided to us.
However, we may retain some information in our files to prevent fraud, troubleshoot problems, assist with any investigations, enforce our Terms of Use and/or comply with applicable legal requirements.
More specifically, we may need to process your data or share your personal information in the following situations:
Privacy Policy

We only share information with your consent, to comply with laws, to provide you with services, to protect your rights, or to fulfill business obligations.
Privacy Policy

We process your information for purposes based on legitimate business interests, the fulfillment of our contract with you, compliance with our legal obligations, and/or your consent.
We keep your information for as long as necessary to fulfill the purposes outlined in this privacy notice unless otherwise required by law.
We may disclose your information where we are legally required to do so in order to comply with applicable law, governmental requests, a judicial proceeding, court order, or legal process, such as in response to a court order or a subpoena (including in response to public authorities to meet national security or law enforcement requirements).
We may disclose your information where we believe it is necessary to investigate, prevent, or take action regarding potential violations of our policies, suspected fraud, situations involving potential threats to the safety of any person and illegal activities, or as evidence in litigation in which we are involved.
We may process your data if you have given us specific consent to use your personal information for a specific purpose.
We may process your data when it is reasonably necessary to achieve our legitimate business interests.
We may share or transfer your information in connection with, or during negotiations of, any merger, sale of company assets, financing, or acquisition of all or a portion of our business to another company.
We may use cookies and other tracking technologies to collect and store your information.
We may use your information as part of our efforts to keep our Website  safe and secure (for example, for fraud monitoring and prevention).
We may use your information for the purposes of managing our account and keeping it in working order.
We may use your information in order to enable user-to-user communications with each user's consent.
We may use your information to administer prize draws and competitions when you elect to participate in our competitions.
We may use your information to fulfill and manage your orders, payments, returns, and exchanges made through the Website  .
We may use your information to provide you with the requested service.
We may use your information to request feedback and to contact you about your use of our Website  .
We may use your information to respond to your inquiries and solve any potential issues you might have with the use of our Services."
cookie / pixel tag,we,"advertising, analytics, legal, security, services","We may use cookies and other tracking technologies to collect and store your information.
We may use cookies and similar tracking technologies (like web beacons and pixels) to access or store information."
datum we hold,we,"advertising, analytics, legal, security, services",We may process or share your data that we hold based on the following legal basis:
feedback,we,"advertising, analytics, legal, security, services",We may use your information to request feedback and to contact you about your use of our Website  .
information about you,we,"advertising, analytics, legal, security, services","If you choose to register or log in to our services using a social media account, we may have access to certain information about you."
information describe in section call,we,"advertising, analytics, legal, security, services","If you choose to register in this way, we will collect the information described in the section called """
information we collect,we,"advertising, analytics, legal, security, services",We use the information we collect or receive:
information we receive,we,"advertising, analytics, legal, security, services",We will use the information we receive only for the purposes that are described in this privacy notice or that are otherwise made clear to you on the relevant
information you allow,we,"advertising, analytics, legal, security, services","If you choose to link your account with us to a third-party account (such as your Google or Facebook account), we use the information you allowed us to collect from those third parties to facilitate account creation and logon process for the performance of the contract."
option,we,"advertising, analytics, legal, security, services","We may provide you with the option to register with us using your existing social media account details, like your Facebook, Twitter or other social media account."
personal information collect via our,we,"advertising, analytics, legal, security, services",We use personal information collected via our
personal information outside instance you interact with we in person in context of,we,"advertising, analytics, legal, security, services","We may also collect other personal information outside of these categories instances where you interact with us in-person, online, or by phone or mail in the context of:"
personal information provide in request,we,"advertising, analytics, legal, security, services",We will only use personal information provided in your request to verify your identity or authority to make the request.
profile information,we,"advertising, analytics, legal, security, services","The profile information we receive may vary depending on the social media provider concerned, but will often include your name, email address, friends list, profile picture as well as other information you choose to make public on such social media platform."
profile information about you,we,"advertising, analytics, legal, security, services","Where you choose to do this, we will receive certain profile information about you from your social media provider."
verification method,we,"advertising, analytics, legal, security, services",We may also use other verification methods as the circumstances dictate.
