data_type,collector,purpose,text
UNSPECIFIED_DATA,Google,,"The Google Maps Platform APIs that we use store and access cookies and other information on your devices.
We may share your information with certain Google Maps Platform APIs (e.g., Google Maps API, Places API)."
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,We may share information in specific situations and with specific third parties.
UNSPECIFIED_DATA,we,"advertising, analytics, legal, security, services","For instance, depending on the type of request you submit, we may ask you to provide certain information so that we can match the information you provide with the information we already have on file, or we may contact you through a communication method (e.g., phone or email) that you have previously provided to us.
However, we may retain some information in our files to prevent fraud, troubleshoot problems, assist with any investigations, enforce our legal terms and/or comply with applicable legal requirements.
In Short: We keep your information for as long as necessary to fulfill the purposes outlined in this privacy notice unless otherwise required by law.
In Short: We may use cookies and other tracking technologies to collect and store your information.
In Short: We process your information to provide, improve, and administer our Services, communicate with you. for security and fraud prevention, and to comply with law.
In some exceptional cases, we may be legally permitted under applicable law to process your information without your consent, including, for example:
Like many businesses, we also collect information through cookies and similar technologies.
We automatically collect certain information when you visit, use, or navigate the Services.
We may also process your information for other purposes with your consent.
We may process information about how you use our Services to better understand how they are being used so we can improve them.
We may process your information if you choose to use any of our offerings that allow for communication with another user.
We may process your information if you have given us permission (i.e., consent) to use your personal information for a specific purpose.
We may process your information if you have given us specific permission (i.e., express consent) to use your personal information for a specific purpose, or in situations where your permission can be inferred (i.e., implied consent).
We may process your information so you can create and log in to your account, as well as keep your account in working order.
We may process your information to develop and display personalized content and advertising tailored to your interests, location, and more.
We may process your information to provide you with the requested service.
We may process your information when necessary to save or protect an individual's vital interest, such as to prevent harm.
We may process your information when we believe it is reasonably necessary to achieve our legitimate business interests and those interests do not outweigh your interests and fundamental rights and freedoms.
We may process your information where we believe it is necessary for compliance with our legal obligations, such as to cooperate with a law enforcement body or regulatory agency, exercise or defend our legal rights, or disclose your information as evidence in litigation in which we are involved.
We may process your information where we believe it is necessary to protect your vital interests or the vital interests of a third party, such as situations involving potential threats to the safety of any person.
We may share information in specific situations and with specific third parties.
We may share or transfer your information in connection with, or during negotiations of, any merger, sale of company assets, financing, or acquisition of all or a portion of our business to another company.
We may share your information with certain Google Maps Platform APIs (e.g., Google Maps API, Places API).
We process your information only when we have a valid legal reason to do so.
We process your information to provide, improve, and administer our Services, communicate with you, for security and fraud prevention, and to comply with law."
cookie / pixel tag,Google,,The Google Maps Platform APIs that we use store and access cookies and other information on your devices.
cookie / pixel tag,we,"advertising, analytics, legal, security, services","In Short: We may use cookies and other tracking technologies to collect and store your information.
We may use cookies and similar tracking technologies (like web beacons and pixels) to access or store information."
device data,we,"advertising, analytics, legal, security, services",The information we collect includes: Device Data.
geolocation,we,"advertising, analytics, legal, security, services","For example, we may use GPS and other technologies to collect geolocation data that tells us your current location (based on your IP address).
The information we collect includes: Location Data.
We collect location data such as information about your device's location, which can be either precise or imprecise.
We obtain and store on your device (""cache"") your location.
You can opt out of allowing us to collect this information either by refusing access to the information or by disabling your Location setting on your device."
information about you,we,"advertising, analytics, legal, security, services","In Short: If you choose to register or log in to our services using a social media account, we may have access to certain information about you."
information describe in section call,we,"advertising, analytics, legal, security, services","If you choose to register in this way, we will collect the information described in the section called ""HOW DO WE HANDLE YOUR SOCIAL LOGINS?"" below."
information in specific situation describe in section,UNSPECIFIED_ACTOR,,In Short: We may share information in specific situations described in this section and/or with the following third parties.
information in specific situation describe in section,we,"advertising, analytics, legal, security, services",In Short: We may share information in specific situations described in this section and/or with the following third parties.
information we receive,we,"advertising, analytics, legal, security, services",We will use the information we receive only for the purposes that are described in this privacy notice or that are otherwise made clear to you on the relevant Services.
ip address,we,"advertising, analytics, legal, security, services","For example, we may use GPS and other technologies to collect geolocation data that tells us your current location (based on your IP address).
You can opt out of allowing us to collect this information either by refusing access to the information or by disabling your Location setting on your device."
option,we,"advertising, analytics, legal, security, services","We may provide you with the option to register with us using your existing social media account details, like your Facebook, Twitter, or other social media account."
personal information provide in request,we,"advertising, analytics, legal, security, services",We will only use personal information provided in your request to verify your identity or authority to make the request.
places api,Google,,"We may share your information with certain Google Maps Platform APIs (e.g., Google Maps API, Places API)."
profile information,we,"advertising, analytics, legal, security, services","The profile information we receive may vary depending on the social media provider concerned, but will often include your name, email address, friends list, and profile picture, as well as other information you choose to make public on such a social media platform."
profile information about you,we,"advertising, analytics, legal, security, services","Where you choose to do this, we will receive certain profile information about you from your social media provider."
verification method,we,"advertising, analytics, legal, security, services",We may also use other verification methods as the circumstances dictate.
