data_type,collector,purpose,text
Facebook,social media,,"Our Services include Social Media Features, such as the Facebook ""Like"" or ""Share"" button and widgets (""Features"")."
UNSPECIFIED_DATA,law enforcement agency,,"MyVax Registry will preserve and disclose any and all information to law enforcement agencies or others if required to do so by law or in the good faith belief that such preservation or disclosure is reasonably necessary to: (a) comply with legal or regulatory process (such as a judicial proceeding, court order, or government inquiry) or obligations that MyVax Registry may owe pursuant to ethical and other professional rules, laws, and regulations; (b) enforce the MyVax Registry Terms of Service and other policies; (c) respond to claims that any content violates the rights of third parties; or (d) protect the rights, property, or personal safety of MyVax Registry, its employees, its users, its clients, and the public."
UNSPECIFIED_DATA,myvax registry,"analytics, legal, services","MyVax Registry will preserve and disclose any and all information to law enforcement agencies or others if required to do so by law or in the good faith belief that such preservation or disclosure is reasonably necessary to: (a) comply with legal or regulatory process (such as a judicial proceeding, court order, or government inquiry) or obligations that MyVax Registry may owe pursuant to ethical and other professional rules, laws, and regulations; (b) enforce the MyVax Registry Terms of Service and other policies; (c) respond to claims that any content violates the rights of third parties; or (d) protect the rights, property, or personal safety of MyVax Registry, its employees, its users, its clients, and the public.
You can restrict our processing of your Personal Information where one of the following applies: (a) you dispute the accuracy of Personal Information processed by MyVax Registry (for a period enabling us to verify its accuracy); (b) the processing is unlawful and you oppose the erasure of the Personal Information and request the restriction of its use instead; (c) MyVax Registry no longer needs the Personal Information for the purposes of the processing, but it is required by you for the establishment, exercise or defense of legal claims; and (d) you have objected to certain processing relying on legitimate interest, pending the verification whether MyVax Registry's legitimate grounds override your rights."
UNSPECIFIED_DATA,we,"analytics, security","For example, you may provide us with information about your personal traits (e.g., eye color, height), ethnicity, disease conditions (e.g. Type 2 Diabetes), other health-related information (e.g. pulse rate, cholesterol levels, visual acuity), and family history information (e.g. information similar to the foregoing about your family members).
Our Privacy Statement is designed to help you better understand how we collect, use, store, process, and transfer your information when using our Services.
We collect and process your information when you create an account, complete research surveys, post on our Forums or use other messaging features, and contact Customer Care.
We generally collect the following information: Information from our DNA testing services.
When you contact Customer Care or correspond with us about our Service, we collect information to: track and respond to your inquiry; investigate any breach of our Terms of Service, Privacy Statement or applicable laws or regulations; and analyze and improve our Services."
age,we,"analytics, security","If you use a third party site, such as Facebook or Twitter, in connection with our Services to communicate with another person (e.g., to make or post referrals or to request that we communicate with another person), then in addition to that person's name and contact information, we may also collect other information (e.g., your profile picture, network, gender, username, user ID, age range, language, country, friends lists or followers) depending on your privacy settings on the third party site."
aggregate / deidentified / pseudonymized information,we,"analytics, security","We may share Aggregate Information, which is information that has been stripped of your name and contact information and combined with information of others so that you cannot reasonably be identified as an individual, with third parties."
aggregate genetic information,myvax registry research,,"MyVax Registry Research uses Aggregate and/or Individual-level Genetic Information and Self-Reported Information as specified in the appropriate Consent Documents, as explained in greater detail below."
cookie / pixel tag,UNSPECIFIED_ACTOR,"advertising, analytics, security, services","We and our third party service providers use cookies and similar technologies (such as web beacons, tags, scripts and device identifiers) to: .help us recognize you when you use our Services;"
cookie / pixel tag,myvax registry,"analytics, legal, services","MyVax Registry collects and stores the following types of Personal Information: Web-Behavior Information: information on how you use MyVax Registry Services collected through log files, web beacons, and similar technologies, (e.g., browser type, domains, page views)."
cookie / pixel tag,we,"analytics, security, advertising, services","We and our third party service providers use cookies and similar technologies (such as web beacons, tags, scripts and device identifiers) to: .help us recognize you when you use our Services;"
date of birth,UNSPECIFIED_ACTOR,"advertising, analytics, security, services","MyVax Registry and our third party genotyping laboratory will retain your Genetic Information, date of birth, and sex as required for compliance with applicable legal obligations, including the federal Clinical Laboratory Improvement Amendments of 1988 (CLIA) and CA Business and Professional Code Section 1265 and CAP accreditation requirements."
date of birth,myvax registry,"analytics, legal, services","MyVax Registry and our third party genotyping laboratory will retain your Genetic Information, date of birth, and sex as required for compliance with applicable legal obligations, including the federal Clinical Laboratory Improvement Amendments of 1988 (CLIA) and CA Business and Professional Code Section 1265 and CAP accreditation requirements."
de - identify individual level genetic information,UNSPECIFIED_ACTOR,"advertising, analytics, security, services","If you have completed the Individual Level Data Sharing Consent, or additional consent agreement, in addition to the uses above under the Main Consent Document, MyVax Registry may share De-identified Individual-level Genetic Information and Self-Reported Information with select third party research collaborators for MyVax Registry partners for Research purposes."
de - identify individual level genetic information,myvax registry,"analytics, legal, services","If you have completed the Individual Level Data Sharing Consent, or additional consent agreement, in addition to the uses above under the Main Consent Document, MyVax Registry may share De-identified Individual-level Genetic Information and Self-Reported Information with select third party research collaborators for MyVax Registry partners for Research purposes."
demographic information about user base,UNSPECIFIED_ACTOR,"advertising, analytics, security, services","We and our third party service providers use cookies and similar technologies (such as web beacons, tags, scripts and device identifiers) to: .help us recognize you when you use our Services; gather demographic information about our user base;"
