data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,We share information outside of Neeto only as described below: Trusted Third Parties: We disclose information to our service providers or other third-parties so they can help us provide our Services and run our business.
UNSPECIFIED_DATA,service provider,,We share information outside of Neeto only as described below: Trusted Third Parties: We disclose information to our service providers or other third-parties so they can help us provide our Services and run our business.
UNSPECIFIED_DATA,we,"legal, security","We receive other information from You when You choose to interact with Us in other ways, such as if You sign up for one of our webinars or e-books, participate in a research study, contest, sweepstake, or event, apply for a job, or otherwise communicate with us.
We share information outside of Neeto only as described below: Change in Business Structure: If Neeto is involved in a merger, acquisition, public offering, asset sale, insolvency, bankruptcy, or similar change in our business structure, We may need to disclose Your information to those involved in the transaction, subject to confidentiality requirements.
We share information outside of Neeto only as described below: For Legal Reasons: We may release Your information if We believe it is necessary to comply with the law, regulation, valid legal process, an enforceable government request, to prevent fraud or a security breach, enforce our policies or agreements, or protect Our or others' rights, property, or safety.
We share information outside of Neeto only as described below: Trusted Third Parties: We disclose information to our service providers or other third-parties so they can help us provide our Services and run our business.
We share information outside of Neeto only as described below: With Your Consent: We'll otherwise share your information only with your consent.
We use your information in the following ways:
We'll only disclose the information necessary for these parties to perform their services for Us, and they'll be bound by contractual obligations to protect Your personal information."
access control,we,"legal, security","We use industry-standard security practices to keep your information secure, such as encryption, access controls, physical security measures, and internal reviews of data collection, use, and storage."
account information,we,"legal, security","For example, if you choose to enable a third-party integration, we may share account information and/or content from Your account, but only as authorized by You when You enable or use the integration."
authentication information provide to we,we,"legal, security, services","Additionally, if You sign up or login to our Services using one of our single-sign-on providers (e.g., Google, Apple, etc.), We collect authentication information provided to us by the provider to allow You to log in."
choice,neeto,,"This Privacy Policy describes how Neeto collects, uses, and shares your personal information, as well as your choices and rights with respect to your personal information."
content,we,"legal, security, services","For example, if you choose to enable a third-party integration, we may share account information and/or content from Your account, but only as authorized by You when You enable or use the integration."
content,we,"legal, security, services, analytics","For example, if you choose to enable a third-party integration, we may share account information and/or content from Your account, but only as authorized by You when You enable or use the integration."
cookie / pixel tag,we,"legal, security, services, analytics","We use cookies or similar technologies (including third-party cookies) to remember Your preferences, understand how You interact with our Services or emails that we send you, maintain the security of our Services, and administer, improve and promote our Services."
customer datum,we,"legal, security, services, analytics","In using the Services, Our customers submit or upload video recordings, seek user support, or provide other Customer Data to Us.
We use Customer Data according to our customers' instructions and our Terms of Service."
for datum,we,"legal, security, services, analytics","We may receive marketing or demographic information about You from third parties or partners, for example, data about your organization or industry or other public information from sources like social media or online professional profiles."
how much information,we,"legal, security, services, analytics","When interacting with the Services, you choose what personal information and how much information you provide to Us."
information we receive,we,"legal, security, services, analytics","For any other information we may receive or collect from You, we'll retain that information for only as long as is necessary for the purposes described in this Privacy Policy."
information you store on service,we,"legal, security, services, analytics",We'll retain the information You store on our Services for as long as Your Account exists or as long as we need it to provide you the Services.
internet activity,we,"legal, security, services, analytics",We automatically collect usage data about how You interact with the Services when You use them.
marketing information about you,we,"legal, security, services, analytics","We may receive marketing or demographic information about You from third parties or partners, for example, data about your organization or industry or other public information from sources like social media or online professional profiles."
personal information,neeto,,"This Privacy Policy describes how Neeto collects, uses, and shares your personal information, as well as your choices and rights with respect to your personal information."
personal information,we,"legal, security, services, analytics","When interacting with the Services, you choose what personal information and how much information you provide to Us."
public information,we,"legal, security, services, analytics","We may receive marketing or demographic information about You from third parties or partners, for example, data about your organization or industry or other public information from sources like social media or online professional profiles."
type of datum,we,"legal, security, services, analytics","Our servers automatically log certain types of data when you visit or use our Services, for example, when you navigate through Neeto Website."
video recording,we,"legal, security, services, analytics","In using the Services, Our customers submit or upload video recordings, seek user support, or provide other Customer Data to Us."
